line,year,policy_id,train_final,train_win,base_train_final,test_final,test_trades,test_win,release,train_years,train_year_count,train_start_year,train_end_year,causal_train_window
D,2026,same_day_trend_m00_d1,479387.3851924754,0.6376518218623481,479387.3851924754,35493.34094311187,57,0.5964912280701754,selected,2021;2022;2023;2024;2025,5,2021,2025,True
R,2014,same_day_trend_m00_d1,10000.0,0.0,10000.0,17589.403688232676,2,1.0,selected,,0,,,True
R,2015,same_day_trend_m00_d1,10000.0,0.0,10000.0,11682.242990654206,1,1.0,selected,,0,,,True
R,2016,same_day_trend_m00_d1,10000.0,0.0,10000.0,9677.41935483871,1,0.0,selected,,0,,,True
R,2017,same_day_trend_m05_d20,23599.214897400467,0.75,19885.518188384845,11551.267784615278,3,0.6666666666666666,selected,2014;2015;2016,3,2014,2016,True
R,2018,same_day_trend_m00_d1,13123.160779115007,0.6,13123.160779115007,10603.735319921163,4,0.5,selected,2015;2016;2017,3,2015,2017,True
R,2019,same_day_trend_m00_d1,11911.627208390508,0.5,11911.627208390508,11926.704628483814,3,0.6666666666666666,selected,2016;2017;2018,3,2016,2018,True
R,2020,same_day_trend_m00_d1,14680.200800438763,0.6,14680.200800438763,14789.71521298225,3,1.0,selected,2017;2018;2019,3,2017,2019,True
R,2021,same_day_trend_m00_d1,18704.20070438667,0.7,18704.20070438667,15592.585258325871,4,1.0,selected,2018;2019;2020,3,2018,2020,True
R,2022,same_day_trend_m00_d1,27504.161068984162,0.9,27504.161068984162,13635.90494208148,4,0.75,selected,2019;2020;2021,3,2019,2021,True
R,2023,same_day_trend_m00_d1,31445.746124429996,0.9090909090909091,31445.746124429996,12321.644056903335,5,0.8,selected,2020;2021;2022,3,2020,2022,True
R,2024,same_day_trend_m00_d1,26198.15765680619,0.8461538461538461,26198.15765680619,14039.114093132797,6,0.5,selected,2021;2022;2023,3,2021,2023,True
R,2025,same_day_trend_m00_d1,23588.06562737193,0.6666666666666666,23588.06562737193,13609.130066972686,4,1.0,selected,2022;2023;2024,3,2022,2024,True
R,2026,same_day_trend_m00_d1,23541.74911857302,0.7333333333333333,23541.74911857302,10829.914168517427,4,1.0,selected,2023;2024;2025,3,2023,2025,True
