line,window,min_years,margin,mode,keep_base,base_policy_id,release_final,release_trades,release_win,release_avg,release_positive_year_rate,release_max_dd,holdout_final,holdout_trades,holdout_win,holdout_avg,holdout_positive_year_rate,holdout_max_dd,current_rolling_final,current_rolling_win,current_rolling_avg,current_rolling_positive_year_rate,current_rolling_max_dd,delta_final_vs_current,delta_win_vs_current
C,3,3,0.05,base_relative,True,same_day_trend_m00_d1,209530.0633488588,38,0.7894736842105263,0.08932218221987973,0.9230769230769231,-0.13681027966742254,19592.808303748083,9,0.8888888888888888,0.08251318872380435,1.0,-0.015853279452906488,166213.414382352,0.7837837837837838,0.084655773071298,0.9230769230769232,-0.1368102796674225,43316.64896650679,0.005689900426742556
S,5,5,0.05,base_relative,True,same_day_no_chase_00,149989.34029461912,44,0.7727272727272727,0.06811391291811812,0.8461538461538461,-0.12698412698412687,22607.807588808093,16,0.8125,0.05607988492370234,1.0,-0.07274997034417696,112285.35257065356,0.717391304347826,0.0590761067518001,0.7692307692307693,-0.1472564987020375,37703.98772396556,0.055335968379446654
D,5,5,0.05,base_relative,True,same_day_trend_m00_d1,656342.4981681213,1303,0.6646201074443592,0.04960418251482127,1.0,-0.18567242452795885,302807.48738075874,473,0.678646934460888,0.061904331370139294,1.0,-0.14388172419188605,644518.632055169,0.6623177283192633,0.0486967484309416,1.0,-0.2071000887069766,11823.866112952353,0.002302379125095899
R,3,3,0.05,base_relative,True,same_day_trend_m00_d1,232901.1069937751,44,0.7727272727272727,0.07961853542609489,0.9230769230769231,-0.13681027966742254,20691.648058773077,14,0.7857142857142857,0.057077136955847874,1.0,-0.033165051157781233,182705.7829013111,0.7674418604651163,0.0751136911697738,0.9230769230769232,-0.1368102796674225,50195.324092464,0.005285412262156397
