year,trades,win_rate,avg_return,sum_return
2019,178,0.7528089887640449,0.03847487925173596,6.848528506809002
2020,80,0.85,0.1037206087055551,8.297648696444409
2021,225,0.64,0.044495199527624936,10.01141989371561
2022,105,0.7047619047619048,0.06356636316526065,6.674468132352369
2023,242,0.5165289256198347,0.014551387807499358,3.5214358494148446
2024,211,0.6919431279620853,0.08016557472125954,16.914936266185762
2025,205,0.6878048780487804,0.04788526037843383,9.816478377578935
2026,57,0.5964912280701754,0.04472515954931909,2.549334094311188
