version,year,trades,active,win,avg,sum
formal_base_exit_guard,2019,178,178,0.7808988764044944,0.03505542501174945,6.239865652091402
formal_base_exit_guard,2020,80,80,0.85,0.10021482926807099,8.01718634144568
formal_base_exit_guard,2021,225,225,0.6355555555555555,0.041319494978373415,9.296886370134018
formal_base_exit_guard,2022,227,227,0.5506607929515418,0.027734035086420736,6.295625964617507
formal_base_exit_guard,2023,242,242,0.5397489539748954,0.015310551728245636,3.705153518235444
formal_base_exit_guard,2024,242,242,0.6224066390041494,0.06472203873377924,15.662733373574575
formal_base_exit_guard,2025,243,243,0.5850622406639004,0.025964120222061116,6.309281213960851
formal_base_exit_guard,2026,76,76,0.4868421052631579,0.012336963548425834,0.9376092296803633
strict_rolling_extra_overlay,2019,178,178,0.7808988764044944,0.03505542501174945,6.239865652091402
strict_rolling_extra_overlay,2020,80,80,0.85,0.10021482926807099,8.01718634144568
strict_rolling_extra_overlay,2021,225,225,0.6355555555555555,0.041319494978373415,9.296886370134018
strict_rolling_extra_overlay,2022,227,227,0.5506607929515418,0.027734035086420736,6.295625964617507
strict_rolling_extra_overlay,2023,242,233,0.5521739130434783,0.01603306407885698,3.880001507083389
strict_rolling_extra_overlay,2024,242,79,0.9367088607594937,0.04698137323650682,11.36949232323465
strict_rolling_extra_overlay,2025,243,201,0.542713567839196,0.016676219601087252,4.052321363064202
strict_rolling_extra_overlay,2026,76,76,0.4868421052631579,0.012336963548425834,0.9376092296803633
