year,rule,score,n_total,n_active,active_rate,win,avg,sum,pf,annual_avg_sum,worst_year_sum,positive_year_rate
2022,no_line_overheat_0.45_0.2_0.03,45.81643110336347,483,475,0.9834368530020704,0.7347368421052631,0.04999716187964408,23.748651892830935,5.216008455023424,7.916217297610312,6.393045386247251,1.0
2022,no_line_overheat_0.55_0.2_0.03,45.81643110336347,483,475,0.9834368530020704,0.7347368421052631,0.04999716187964408,23.748651892830935,5.216008455023424,7.916217297610312,6.393045386247251,1.0
2022,no_line_overheat_0.65_0.2_0.03,45.81643110336347,483,475,0.9834368530020704,0.7347368421052631,0.04999716187964408,23.748651892830935,5.216008455023424,7.916217297610312,6.393045386247251,1.0
2022,no_line_overheat_0.65_0.2_-0.02,45.591487788207665,483,472,0.9772256728778468,0.7330508474576272,0.0498936231755967,23.54979013888164,5.180705279086768,7.84993004629388,6.393045386247251,1.0
2022,no_line_overheat_0.65_0.2_0.0,45.591487788207665,483,472,0.9772256728778468,0.7330508474576272,0.0498936231755967,23.54979013888164,5.180705279086768,7.84993004629388,6.393045386247251,1.0
2022,no_line_overheat_0.45_0.2_-0.02,45.558269846262476,483,471,0.9751552795031055,0.732484076433121,0.04994030395358271,23.521883162137453,5.175751058929826,7.840627720712486,6.393045386247251,1.0
2022,no_line_overheat_0.45_0.2_0.0,45.558269846262476,483,471,0.9751552795031055,0.732484076433121,0.04994030395358271,23.521883162137453,5.175751058929826,7.840627720712486,6.393045386247251,1.0
2022,no_line_overheat_0.55_0.2_-0.02,45.558269846262476,483,471,0.9751552795031055,0.732484076433121,0.04994030395358271,23.521883162137453,5.175751058929826,7.840627720712486,6.393045386247251,1.0
2022,no_line_overheat_0.55_0.2_0.0,45.558269846262476,483,471,0.9751552795031055,0.732484076433121,0.04994030395358271,23.521883162137453,5.175751058929826,7.840627720712486,6.393045386247251,1.0
2022,base_exit_guard,45.17569432126734,483,483,1.0,0.7246376811594203,0.04876591793720725,23.5539383636711,5.0376724952326635,7.851312787890367,6.239865652091402,1.0
