year,chosen_rule,train_score,n_total,n_active,active_rate,win,avg,sum,pf,annual_avg_sum,worst_year_sum,positive_year_rate
2019,base_exit_guard,,178,178,1.0,0.7808988764044944,0.03505542501174946,6.239865652091403,5.11394629456054,6.239865652091402,6.239865652091402,1.0
2020,base_exit_guard,,80,80,1.0,0.85,0.10021482926807099,8.01718634144568,19.458993667643878,8.01718634144568,8.01718634144568,1.0
2021,base_exit_guard,,225,225,1.0,0.6355555555555555,0.04131949497837342,9.29688637013402,3.394586341726961,9.296886370134018,9.296886370134018,1.0
2022,no_line_overheat_0.45_0.2_0.03,45.81643110336347,227,227,1.0,0.5506607929515418,0.027734035086420736,6.295625964617507,2.011157660714716,6.295625964617507,6.295625964617507,1.0
2023,no_line_overheat_0.45_0.2_0.03,50.77831354434579,242,233,0.9628099173553719,0.5450643776824035,0.01665236698319051,3.880001507083389,2.0598744706257084,3.880001507083389,3.880001507083389,1.0
2024,history_line_win_ge_0.5,49.87481293116403,242,79,0.32644628099173556,0.9367088607594937,0.14391762434474242,11.36949232323465,97.96726816535377,11.36949232323465,11.36949232323465,1.0
2025,no_line_overheat_0.45_0.2_0.03,65.42633704492518,243,201,0.8271604938271605,0.5373134328358209,0.020160802801314437,4.052321363064201,1.8814258796622352,4.052321363064202,4.052321363064202,1.0
2026,base_exit_guard,70.66467892186968,76,76,1.0,0.4868421052631579,0.01233696354842583,0.9376092296803631,1.3626031139021406,0.9376092296803633,0.9376092296803633,1.0
