rule_id,scope,exec_mode,trade_id,year,line,symbol,name,signal_date,entry_date,original_exit_date,exit_date_new,exit_close_new,ret_original,ret_new,exit_reason,hold_bars,policy,selector,rank_score,trend_score,rebound_score,panic_score,median_ret20,median_ret60,low_pos_rate,deep_drop_rate,median_dd60,sym_252_n,sym_252_avg,sym_252_win,sym_252_pf,line_252_n,line_252_avg,line_252_win,line_252_pf,sym_504_n,sym_504_avg,sym_504_win,sym_504_pf,line_504_n,line_504_avg,line_504_win,line_504_pf,selected_param_id,cold_start,ret_eval,active,extra_rule
base_original,all,original,0,2019,D,159930,能源ETF,2019-01-02,2019-01-03,2019-05-22,2019-05-22,0.723,0.1531100478468898,0.1531100478468898,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,78.67299697656841,0.1120778750572799,0.6692133043609791,0.7794784580498867,-0.0808580858085807,-0.1015965166908562,0.8571428571428571,0.5714285714285714,-0.1372623574144486,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1531100478468898,True,base_exit_guard
base_original,all,original,1,2019,D,159902,中小板ETF,2019-01-03,2019-01-04,2019-05-23,2019-05-23,2.646,0.149435273675065,0.149435273675065,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,72.59826152683296,0.1466498697469065,0.6588651192040892,0.7046107331821618,-0.0781249999999998,-0.0618747684327528,0.8571428571428571,0.4285714285714285,-0.1258992805755395,0,,,,0,,,,0,,,,0,,,,D43740,True,0.149435273675065,True,base_exit_guard
base_original,all,original,2,2019,D,159930,能源ETF,2019-01-04,2019-01-07,2019-05-24,2019-05-24,0.716,0.1100775193798448,0.1100775193798448,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,63.67016250944822,0.2864380819404887,0.5252743981377987,0.6202947845804989,-0.0476973684210526,-0.0527870062753784,0.7142857142857143,0.2857142857142857,-0.0706260032102729,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1100775193798448,True,base_exit_guard
base_original,all,original,3,2019,D,159930,能源ETF,2019-01-07,2019-01-08,2019-05-27,2019-05-27,0.721,0.1109399075500769,0.1109399075500769,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,59.85213529856387,0.4404648943243786,0.4531156658651475,0.5684051398337113,-0.0160116448326055,-0.0026943802925325,0.5714285714285714,0.0,-0.0635491606714627,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1109399075500769,True,base_exit_guard
base_original,all,original,4,2019,D,159930,能源ETF,2019-01-08,2019-01-09,2019-05-28,2019-05-28,0.723,0.1071975497702908,0.1071975497702908,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,60.51067649281936,0.3771347776103733,0.4570271768687371,0.5941421012849585,-0.0217706821480404,-0.0068859984697779,0.5714285714285714,0.0,-0.0674157303370787,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1071975497702908,True,base_exit_guard
base_original,all,original,5,2019,D,159930,能源ETF,2019-01-09,2019-01-10,2019-05-29,2019-05-29,0.723,0.1004566210045661,0.1004566210045661,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,58.0342970521542,0.4004479927458391,0.4577280984104033,0.5452758881330311,-0.0203193033381711,0.0128155339805824,0.4285714285714285,0.0,-0.07223113964687,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1004566210045661,True,base_exit_guard
base_original,all,original,6,2019,D,512880,证券ETF,2019-01-10,2019-01-11,2019-05-30,2019-05-30,0.904,0.1604621309370988,0.1604621309370988,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,59.98743138230155,0.3823244160641884,0.4595391315164472,0.5704837490551776,-0.0329041487839769,0.0180109631949882,0.4285714285714285,0.0,-0.0731414868105515,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1604621309370988,True,base_exit_guard
base_original,all,original,7,2019,D,159930,能源ETF,2019-01-11,2019-01-14,2019-05-31,2019-05-31,0.722,0.0972644376899696,0.0972644376899696,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,54.42743764172336,0.4533160204079865,0.4197864040478547,0.4986016628873772,-0.0201149425287354,0.0175131348511383,0.4285714285714285,0.0,-0.0659472422062349,0,,,,0,,,,0,,,,0,,,,D43740,True,0.0972644376899696,True,base_exit_guard
base_original,all,original,8,2019,D,159902,中小板ETF,2019-01-14,2019-01-15,2019-06-03,2019-06-03,2.675,0.1164440734557594,0.1164440734557594,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,61.218348450491305,0.3961546403644733,0.3719801573067188,0.5732426303854876,-0.043046357615894,0.0490018148820325,0.4285714285714285,0.0,-0.07223113964687,0,,,,0,,,,0,,,,0,,,,D43740,True,0.1164440734557594,True,base_exit_guard
base_original,all,original,9,2019,D,159930,能源ETF,2019-01-15,2019-01-16,2019-06-04,2019-06-04,0.711,0.0723981900452488,0.0723981900452488,original,90,priority_DCS_raw_noskip,conservative_tp_center15_profit_first,53.01256613756614,0.5532094039943479,0.39352892483489,0.4798941798941799,-0.0051194539249146,0.0392156862745096,0.4285714285714285,0.0,-0.0642054574638845,0,,,,0,,,,0,,,,0,,,,D43740,True,0.0723981900452488,True,base_exit_guard
