scenario,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
fear_greed_1slot_liquidity,1,liquidity,10000.0,15171.600000000002,5171.600000000002,0.5171600000000003,0.07792445711000506,12,12,0.5833333333333334,0.039606389543398325,0,15171.600000000002,0.0,2026-07-29,万三，单边最低5元；100股整数手
fear_greed_1slot_fear,1,fear,10000.0,14759.7,4759.700000000001,0.47597,0.07259669729463991,12,12,0.5,0.038134137648604294,0,14759.7,0.0,2026-07-29,万三，单边最低5元；100股整数手
fear_greed_3slot_liquidity,3,liquidity,10000.0,14319.499999999996,4319.499999999996,0.4319499999999996,0.06676637773349348,32,32,0.59375,0.038151209873029675,0,14319.499999999996,0.0,2026-07-29,万三，单边最低5元；100股整数手
fear_greed_3slot_fear,3,fear,10000.0,13949.499999999996,3949.4999999999964,0.3949499999999997,0.06175103449115982,32,32,0.5625,0.03583746606917772,0,13949.499999999996,0.0,2026-07-29,万三，单边最低5元；100股整数手
baseline_1slot_fear,1,fear,10000.0,13463.850000000002,3463.850000000002,0.34638500000000016,0.054916410037544106,24,24,0.4583333333333333,0.01697427135256854,0,13463.850000000002,0.0,2026-07-29,万三，单边最低5元；100股整数手
baseline_3slot_liquidity,3,liquidity,10000.0,13161.550000000003,3161.550000000003,0.3161550000000002,0.05061917436475194,60,60,0.5333333333333333,0.016076531554047747,0,13161.550000000003,0.0,2026-07-29,万三，单边最低5元；100股整数手
baseline_3slot_fear,3,fear,10000.0,12724.650000000001,2724.6500000000015,0.2724650000000002,0.044263233864017426,60,60,0.5,0.014509062495614167,0,12724.650000000001,0.0,2026-07-29,万三，单边最低5元；100股整数手
baseline_1slot_liquidity,1,liquidity,10000.0,9796.700000000003,-203.29999999999745,-0.020329999999999737,-0.003685147793549448,24,24,0.4583333333333333,0.002777625636968375,0,9796.700000000003,0.0,2026-07-29,万三，单边最低5元；100股整数手
