overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,meaningful_worst_year,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,selection_score
qvix_ge_40,qvix,40.0,,hold_90_greed_80,90,80.0,0.8524590163934426,68,68,0,55,0.8088235294117647,0.11715535512535771,0.10410700296015585,796.6564148524325,0.0,796.6564148524325,3,0.0,0.3800123133488626,0.5765018042116625
qvix_ge_40,qvix,40.0,,hold_90_greed_off,90,,0.8524590163934426,68,68,0,54,0.7941176470588235,0.11068290527925198,0.10410700296015585,752.6437558989135,0.0,752.6437558989135,3,0.0,0.36600692408324687,0.5686511817149147
qvix_ge_40,qvix,40.0,,hold_120_greed_off,120,,0.8032786885245902,68,68,0,52,0.7647058823529411,0.15517693117227874,0.1475605991736938,1055.2031319714954,0.0,1055.2031319714954,3,0.25,0.2353227719071808,0.5681464888289878
qvix_ge_40,qvix,40.0,,hold_120_greed_80,120,80.0,0.8032786885245902,68,68,0,52,0.7647058823529411,0.15988486739980057,0.1475605991736938,1087.217098318644,0.0,1087.217098318644,3,0.0,0.36675684801433434,0.5588087467972959
enhanced_ge_40,enhanced,40.0,,hold_90_greed_70,90,70.0,0.6239316239316239,194,194,0,139,0.7164948453608248,0.05583135555809352,0.038659793814433074,1083.1282978270144,0.0,1083.1282978270144,3,0.0,0.37365529619479654,0.5359025814640956
enhanced_ge_40,enhanced,40.0,,hold_120_greed_70,120,70.0,0.6239316239316239,194,194,0,139,0.7164948453608248,0.055394921913693426,0.038659793814433074,1074.6614851256525,0.0,1074.6614851256525,3,0.0,0.37365529619479654,0.5357934730529955
recovery_peak_50_change_le_0p0,recovery,50.0,0.0,hold_90_greed_70,90,70.0,0.7283950617283951,110,110,0,81,0.7363636363636363,0.056384027046332344,0.03640838527930956,620.2242975096558,0.0,620.2242975096558,3,0.0,0.3742255452740023,0.5349323739140737
recovery_peak_50_change_le_0p0,recovery,50.0,0.0,hold_120_greed_70,120,70.0,0.7283950617283951,110,110,0,81,0.7363636363636363,0.05560795834647649,0.03640838527930956,611.6875418112414,0.0,611.6875418112414,3,0.0,0.3742255452740023,0.5347383567391097
recovery_peak_50_change_le_2p5,recovery,50.0,2.5,hold_90_greed_70,90,70.0,0.7065217391304348,124,124,0,90,0.7258064516129032,0.05274799273832251,0.03393425238600223,654.0751099551991,0.0,654.0751099551991,3,0.0,0.3751341698954728,0.5347244179356263
recovery_peak_50_change_le_2p5,recovery,50.0,2.5,hold_120_greed_70,120,70.0,0.7065217391304348,124,124,0,90,0.7258064516129032,0.0520595446981278,0.03393425238600223,645.5383542567847,0.0,645.5383542567847,3,0.0,0.3751341698954728,0.5345523059255776
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_90_greed_70,90,70.0,0.7323943661971831,99,99,0,74,0.7474747474747475,0.05499289193007363,0.03393425238600223,544.4296301077289,0.0,544.4296301077289,3,0.0,0.3749546725610578,0.533348377844585
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_120_greed_70,120,70.0,0.7323943661971831,99,99,0,74,0.7474747474747475,0.05407578169195958,0.03393425238600223,535.3502387503999,0.0,535.3502387503999,3,0.0,0.3749546725610578,0.5331191002850565
enhanced_ge_35,enhanced,35.0,,hold_90_greed_70,90,70.0,0.6390977443609023,229,229,0,159,0.6943231441048034,0.051635179436751534,0.03299293008641002,1182.44560910161,0.0,1182.44560910161,3,0.0,0.34417479980041776,0.5284010445816916
enhanced_ge_35,enhanced,35.0,,hold_120_greed_70,120,70.0,0.6390977443609023,229,229,0,159,0.6943231441048034,0.05122496025035665,0.03299293008641002,1173.0515897331672,0.0,1173.0515897331672,3,0.0,0.34417479980041776,0.5282984897850929
core_ge_55,core,55.0,,hold_120_greed_70,120,70.0,0.5540540540540541,144,144,0,105,0.7291666666666666,0.053973146975834746,0.03868218758652142,777.2133164520203,0.0,777.2133164520203,3,0.0,0.39162989708326834,0.5258543364187387
core_ge_55,core,55.0,,hold_90_greed_70,90,70.0,0.5540540540540541,144,144,0,105,0.7291666666666666,0.05379029122082449,0.03868218758652142,774.5801935798727,0.0,774.5801935798727,3,0.0,0.39162989708326834,0.525808622479986
enhanced_ge_40,enhanced,40.0,,hold_60_greed_70,60,70.0,0.5982905982905983,194,194,0,136,0.7010309278350515,0.056712435498241655,0.03404561456509414,1100.221248665888,0.0,1100.221248665888,3,0.0,0.3711280860699912,0.5247469156500766
recovery_peak_50_change_le_2p5,recovery,50.0,2.5,hold_60_greed_70,60,70.0,0.6847826086956522,124,124,0,88,0.7096774193548387,0.051876371558302194,0.032869376758782654,643.2670073229472,0.0,643.2670073229472,3,0.0,0.37171084562466944,0.5234549928880359
recovery_peak_50_change_le_0p0,recovery,50.0,0.0,hold_60_greed_70,60,70.0,0.7037037037037037,110,110,0,79,0.7181818181818181,0.05534351625861779,0.033463591236206125,608.7786788447956,0.0,608.7786788447956,3,0.0,0.36990498435428926,0.5222232782961093
enhanced_ge_45,enhanced,45.0,,hold_90_greed_70,90,70.0,0.6060606060606061,149,149,0,104,0.697986577181208,0.055939714194272315,0.03421727972626187,833.5017414946575,0.0,833.5017414946575,3,0.0,0.38768493478424365,0.5222058465988568
enhanced_ge_45,enhanced,45.0,,hold_120_greed_70,120,70.0,0.6060606060606061,149,149,0,104,0.697986577181208,0.05589525871822055,0.03421727972626187,832.8393549014862,0.0,832.8393549014862,3,0.0,0.38768493478424365,0.522194732729844
core_ge_55,core,55.0,,hold_60_greed_70,60,70.0,0.5405405405405406,144,144,0,104,0.7222222222222222,0.055959913328208856,0.03404561456509414,805.8227519262075,0.0,805.8227519262075,3,0.0,0.391095187411947,0.5208945555312887
qvix_ge_40,qvix,40.0,,hold_60_greed_80,60,80.0,0.7540983606557377,68,68,0,49,0.7205882352941176,0.12159470959306591,0.06737966500535397,826.8440252328481,0.0,826.8440252328481,3,0.0,0.3545233316415054,0.5207790159456989
core_ge_50,core,50.0,,hold_120_greed_70,120,70.0,0.5978260869565217,180,180,0,125,0.6944444444444444,0.046412014625882944,0.03291595656862878,835.416263265893,0.0,835.416263265893,3,0.0,0.3474572256834466,0.5207025608674954
core_ge_50,core,50.0,,hold_90_greed_70,90,70.0,0.5978260869565217,180,180,0,125,0.6944444444444444,0.04626573002187474,0.03291595656862878,832.7831403937454,0.0,832.7831403937454,3,0.0,0.3474572256834466,0.5206659897164935
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_60_greed_70,60,70.0,0.704225352112676,99,99,0,72,0.7272727272727273,0.053905375008630796,0.03299293008641002,533.6632125854449,0.0,533.6632125854449,3,0.0,0.36999299923406415,0.5191470702666976
core_ge_60,core,60.0,,hold_120_greed_70,120,70.0,0.5689655172413793,113,113,0,85,0.7522123893805309,0.06040642618891225,0.042241379310344884,682.5926159347085,0.0,682.5926159347085,3,0.0,0.4095407299153993,0.5191227037638019
core_ge_60,core,60.0,,hold_90_greed_70,90,70.0,0.5689655172413793,113,113,0,85,0.7522123893805309,0.060063814393222344,0.042241379310344884,678.7211026434126,0.0,678.7211026434126,3,0.0,0.4095407299153993,0.5190370508148794
enhanced_ge_35,enhanced,35.0,,hold_60_greed_70,60,70.0,0.6165413533834586,229,229,0,156,0.6812227074235808,0.051934572796529514,0.031044214487300215,1189.3017170405258,0.0,1189.3017170405258,3,0.0,0.3408090789449069,0.5188114736028491
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_40_greed_70,40,70.0,0.704225352112676,99,99,0,72,0.7272727272727273,0.04239996129472282,0.02892561983471076,419.75961681775595,0.0,419.75961681775595,3,0.0,0.36999299923406415,0.5162707168382206
recovery_peak_50_change_le_2p5,recovery,50.0,2.5,hold_40_greed_70,40,70.0,0.6739130434782609,124,124,0,87,0.7016129032258065,0.04091479817223541,0.027993966650930013,507.3434973357191,0.0,507.3434973357191,3,0.0,0.3700937332437161,0.5151812756848706
core_ge_35,core,35.0,,hold_90_greed_70,90,70.0,0.6384615384615384,256,256,0,171,0.66796875,0.04221885876081198,0.026075827867541257,1080.8027842767867,0.0,1080.8027842767867,3,0.0,0.3206632972810759,0.5146552566769477
core_ge_35,core,35.0,,hold_120_greed_70,120,70.0,0.6384615384615384,256,256,0,171,0.66796875,0.04198205068209407,0.026075827867541257,1074.7404974616081,0.0,1074.7404974616081,3,0.0,0.3206632972810759,0.5145960546572682
enhanced_ge_40,enhanced,40.0,,hold_40_greed_70,40,70.0,0.5811965811965812,194,194,0,134,0.6907216494845361,0.046497998340155174,0.031941598769073876,902.0611677990104,0.0,902.0611677990104,3,0.0,0.3696533194021345,0.5145925459546233
recovery_peak_50_change_le_0p0,recovery,50.0,0.0,hold_40_greed_70,40,70.0,0.691358024691358,110,110,0,78,0.7090909090909091,0.04286127859229808,0.029341431687128328,471.4740645152789,0.0,471.4740645152789,3,0.0,0.367863802696404,0.5128687070148538
core_ge_60,core,60.0,,hold_60_greed_70,60,70.0,0.5517241379310345,113,113,0,84,0.7433628318584071,0.06235914108663259,0.04063860667634267,704.6582942789482,0.0,704.6582942789482,3,0.0,0.40897579022200453,0.5126450920060899
core_ge_45,core,45.0,,hold_120_greed_70,120,70.0,0.6018518518518519,207,207,0,140,0.6763285024154589,0.0429687105836429,0.02870442203258361,889.452309081408,0.0,889.452309081408,3,0.0,0.3341258760867241,0.51245413654448
core_ge_45,core,45.0,,hold_90_greed_70,90,70.0,0.6018518518518519,207,207,0,140,0.6763285024154589,0.0428415065801575,0.02870442203258361,886.8191862092604,0.0,886.8191862092604,3,0.0,0.3341258760867241,0.5124223355436087
enhanced_ge_35,enhanced,35.0,,hold_40_greed_70,40,70.0,0.6015037593984962,229,229,0,154,0.6724890829694323,0.042894038748242914,0.027283511269276417,982.2734873347628,0.0,982.2734873347628,3,0.0,0.33873216453703,0.5100950419185889
core_ge_55,core,55.0,,hold_40_greed_70,40,70.0,0.5135135135135135,144,144,0,102,0.7083333333333334,0.04911011244946527,0.033463591236206125,707.1856192722998,0.0,707.1856192722998,3,0.0,0.39033558766967225,0.5082443747924862
core_ge_40,core,40.0,,hold_120_greed_70,120,70.0,0.6101694915254238,229,229,0,152,0.6637554585152838,0.04217282455630517,0.027283511269276417,965.7576823393886,0.0,965.7576823393886,3,0.0,0.3228437022088387,0.5081188629488247
core_ge_50,core,50.0,,hold_60_greed_70,60,70.0,0.5652173913043478,180,180,0,122,0.6777777777777778,0.04779417089708949,0.030330199571731664,860.2950761476109,0.0,860.2950761476109,3,0.0,0.34389864323804725,0.5081081488497697
core_ge_40,core,40.0,,hold_90_greed_70,90,70.0,0.6101694915254238,229,229,0,152,0.6637554585152838,0.04208701078966551,0.027283511269276417,963.7925470833402,0.0,963.7925470833402,3,0.0,0.3228437022088387,0.5080974095071648
enhanced_ge_45,enhanced,45.0,,hold_60_greed_70,60,70.0,0.5757575757575758,149,149,0,101,0.6778523489932886,0.05696919635238931,0.03299293008641002,848.8410256506007,0.0,848.8410256506007,3,0.0,0.38554560505972635,0.5080217948769331
baseline,baseline,0.0,,hold_90_greed_70,90,70.0,0.647887323943662,287,287,0,186,0.6480836236933798,0.04062812233503939,0.02494154325798914,1166.0271110156305,0.0,1166.0271110156305,3,0.0,0.3099381824895682,0.5065868864228336
baseline,baseline,0.0,,hold_120_greed_70,120,70.0,0.647887323943662,287,287,0,186,0.6480836236933798,0.040300804587010026,0.02494154325798914,1156.6330916471877,0.0,1156.6330916471877,3,0.0,0.3099381824895682,0.5065050569858263
enhanced_ge_40,enhanced,40.0,,hold_90_greed_80,90,80.0,0.6486486486486487,194,194,0,124,0.6391752577319587,0.05512654780751512,0.03796676141869615,1069.4550274657934,0.0,1069.4550274657934,3,0.0,0.3059939269993329,0.5061870489552088
core_ge_35,core,35.0,,hold_60_greed_70,60,70.0,0.6153846153846154,256,256,0,168,0.65625,0.042368293787536884,0.02578844795129187,1084.6283209609442,0.0,1084.6283209609442,3,0.0,0.3163288316191844,0.5057184592250418
core_ge_45,core,45.0,,hold_60_greed_70,60,70.0,0.5740740740740741,207,207,0,137,0.6618357487922706,0.04391577564361511,0.02734375,909.0565558228327,0.0,909.0565558228327,3,0.0,0.3304600277235206,0.5015711272002684
baseline,baseline,0.0,,hold_60_greed_70,60,70.0,0.6267605633802817,287,287,0,183,0.6376306620209059,0.04077981293565158,0.024691358024691468,1170.3806312532004,0.0,1170.3806312532004,3,0.0,0.3052987144371369,0.49860047159643717
core_ge_40,core,40.0,,hold_60_greed_70,60,70.0,0.5847457627118644,229,229,0,149,0.6506550218340611,0.04272218051246761,0.026315789473684292,978.3379337355083,0.0,978.3379337355083,3,0.0,0.31884494405986585,0.4982123249271378
core_ge_50,core,50.0,,hold_40_greed_70,40,70.0,0.5434782608695652,180,180,0,120,0.6666666666666666,0.04237667234297319,0.026075827867541257,762.7801021735174,0.0,762.7801021735174,3,0.0,0.34188983917777155,0.4980980534152896
core_ge_35,core,35.0,,hold_40_greed_70,40,70.0,0.6,256,256,0,166,0.6484375,0.03558106906766356,0.023900586486157116,910.8753681321872,0.0,910.8753681321872,3,0.0,0.31361559561507907,0.49802476961770953
qvix_ge_40,qvix,40.0,,hold_60_greed_off,60,,0.7540983606557377,68,68,0,46,0.6764705882352942,0.11441860514514114,0.06737966500535397,778.0465149869598,0.0,778.0465149869598,3,0.0,0.35548537633422056,0.4968492027288888
core_ge_60,core,60.0,,hold_40_greed_70,40,70.0,0.5172413793103449,113,113,0,82,0.7256637168141593,0.05505446757951663,0.03706896551724159,622.1154836485379,0.0,622.1154836485379,3,0.0,0.40832918777773813,0.49684868050962483
qvix_ge_40,qvix,40.0,,hold_40_greed_80,40,80.0,0.7377049180327869,68,68,0,48,0.7058823529411765,0.06283086301363079,0.05733176102712234,427.24986849268936,0.0,427.24986849268936,3,0.0,0.3506913354964165,0.496582656422534
qvix_ge_40,qvix,40.0,,hold_40_greed_off,40,,0.7377049180327869,68,68,0,48,0.7058823529411765,0.06280173942443701,0.05357147589204103,427.0518280861717,0.0,427.0518280861717,3,0.0,0.3506913354964165,0.4965753755252356
enhanced_ge_45,enhanced,45.0,,hold_40_greed_70,40,70.0,0.5555555555555556,149,149,0,99,0.6644295302013423,0.045143795534016276,0.02734375,672.6425534568425,0.0,672.6425534568425,3,0.0,0.3844077927095264,0.4954147572340798
qvix_ge_40,qvix,40.0,,hold_90_greed_70,90,70.0,0.7213114754098361,68,68,0,47,0.6911764705882353,0.0854958552789966,0.04187772385984179,581.3718158971769,0.0,581.3718158971769,3,0.0,0.3469891570513848,0.4927331211945648
