symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
512880,证券ETF,baseline,2021-01-04,1.232,2021-05-21,1.06,2700,5.0,3331.4,2021-05-21,1.06,5.0,-0.14240259350423248,-474.4000000000001,closed
515210,钢铁ETF,baseline,2021-01-04,1.254,2021-05-21,1.572,2600,5.0,3265.4,2021-05-21,1.572,5.0,0.2501378085380046,816.8000000000002,closed
515210,钢铁ETF,baseline,2021-01-05,1.242,2021-05-24,1.547,2700,5.0,3358.4,2021-05-24,1.547,5.0,0.24222844211529285,813.4999999999995,closed
515210,钢铁ETF,baseline,2021-06-01,1.568,2021-06-24,1.545,2300,5.0,3611.4,2021-06-24,1.545,5.0,-0.017417068173007724,-62.90000000000009,closed
515210,钢铁ETF,baseline,2021-06-02,1.536,2021-06-24,1.545,2400,5.0,3691.4,2021-06-24,1.545,5.0,0.003142439182965788,11.599999999999909,closed
515210,钢铁ETF,baseline,2021-06-03,1.583,2021-06-24,1.545,2400,5.0,3804.2,2021-06-24,1.545,5.0,-0.026602176541717003,-101.19999999999982,closed
515210,钢铁ETF,baseline,2021-06-24,1.545,2021-07-22,1.8,2300,5.0,3558.5,2021-07-22,1.8,5.0,0.16200646339749894,576.5,closed
515210,钢铁ETF,baseline,2021-06-25,1.583,2021-07-22,1.8,2300,5.0,3645.9,2021-07-22,1.8,5.0,0.13415068981595762,489.0999999999999,closed
515210,钢铁ETF,baseline,2021-06-28,1.568,2021-07-22,1.8,2400,5.0,3768.2000000000003,2021-07-22,1.8,5.0,0.14510907064380862,546.7999999999997,closed
510880,红利ETF,baseline,2021-08-16,2.892,2021-09-02,3.194,1400,5.0,4053.7999999999997,2021-09-02,3.194,5.0,0.10183038137056605,412.80000000000064,closed
512400,有色金属ETF,baseline,2021-10-11,1.388,2021-11-23,1.423,3100,5.0,4307.799999999999,2021-11-23,1.423,5.0,0.022865499791076868,98.50000000000091,closed
515210,钢铁ETF,baseline,2021-10-11,1.847,2021-11-23,1.685,2300,5.0,4253.1,2021-11-23,1.685,5.0,-0.08995791305165651,-382.60000000000036,closed
512400,有色金属ETF,baseline,2021-10-12,1.346,2021-11-23,1.423,3300,5.0,4446.8,2021-11-23,1.423,5.0,0.05489340649455796,244.10000000000036,closed
515790,光伏ETF,baseline,2022-01-04,1.629,2022-05-24,1.358,2600,5.0,4240.4,2022-05-24,1.358,5.0,-0.168521837562494,-714.5999999999995,closed
159930,能源ETF,baseline,2022-11-08,1.166,2023-01-04,1.05,3500,5.0,4085.9999999999995,2023-01-04,1.05,5.0,-0.10181106216348497,-415.99999999999955,closed
159930,能源ETF,baseline,2022-11-09,1.147,2023-01-04,1.05,3500,5.0,4019.5,2023-01-04,1.05,5.0,-0.08695111332255255,-349.5,closed
159930,能源ETF,baseline,2022-11-14,1.134,2023-01-04,1.05,3600,5.0,4087.3999999999996,2023-01-04,1.05,5.0,-0.07643000440377738,-312.39999999999964,closed
159766,旅游ETF,baseline,2023-02-07,1.063,2023-02-24,1.096,3500,5.0,3725.5,2023-02-24,1.096,5.0,0.028318346530667147,105.50000000000045,closed
159766,旅游ETF,baseline,2023-02-08,1.065,2023-02-24,1.096,3500,5.0,3732.5,2023-02-24,1.096,5.0,0.026389819156061742,98.50000000000045,closed
159766,旅游ETF,baseline,2023-02-09,1.083,2023-02-24,1.096,3400,5.0,3687.2,2023-02-24,1.096,5.0,0.009275330874376295,34.20000000000027,closed
159766,旅游ETF,baseline,2023-02-28,1.114,2023-03-20,1.053,3400,5.0,3792.6000000000004,2023-03-20,1.053,5.0,-0.057322153667668754,-217.40000000000055,closed
159766,旅游ETF,baseline,2023-03-01,1.119,2023-03-20,1.053,3400,5.0,3809.6,2023-03-20,1.053,5.0,-0.06152876942461153,-234.4000000000001,closed
159766,旅游ETF,baseline,2023-03-02,1.125,2023-03-20,1.053,3400,5.0,3830.0,2023-03-20,1.053,5.0,-0.06652741514360318,-254.80000000000018,closed
159766,旅游ETF,baseline,2023-03-20,1.053,2023-04-03,1.116,3300,5.0,3479.8999999999996,2023-04-03,1.116,5.0,0.05686945027155969,197.90000000000055,closed
159766,旅游ETF,baseline,2023-03-22,1.068,2023-04-03,1.116,3300,5.0,3529.4,2023-04-03,1.116,5.0,0.042046806822689436,148.4000000000001,closed
159766,旅游ETF,baseline,2023-03-23,1.062,2023-04-04,1.12,3400,5.0,3615.8,2023-04-04,1.12,5.0,0.05177277504286749,187.20000000000027,closed
159766,旅游ETF,baseline,2023-04-03,1.116,2023-04-14,1.101,3300,5.0,3687.8,2023-04-14,1.101,5.0,-0.01613428060090039,-59.500000000000455,closed
512720,计算机ETF,baseline,2023-05-05,1.298,2023-06-16,1.416,2800,5.0,3639.4,2023-06-16,1.416,5.0,0.08803648953124131,320.39999999999964,closed
512720,计算机ETF,baseline,2023-05-08,1.333,2023-06-16,1.416,2800,5.0,3737.4,2023-06-16,1.416,5.0,0.05950660887247809,222.39999999999964,closed
159811,5G50ETF,baseline,2023-05-08,0.992,2023-06-16,1.116,3800,5.0,3774.6,2023-06-16,1.116,5.0,0.12218513219943843,461.2000000000003,closed
159813,半导体ETF鹏华,baseline,2023-06-16,0.706,2023-07-04,0.691,5700,5.0,4029.2,2023-07-04,0.691,5.0,-0.023701975578278568,-95.5,closed
159813,半导体ETF鹏华,baseline,2023-06-19,0.709,2023-07-04,0.691,5700,5.0,4046.2999999999997,2023-07-04,0.691,5.0,-0.027827892148382452,-112.59999999999991,closed
510880,红利ETF,baseline,2023-07-03,2.973,2023-07-14,2.992,1300,5.0,3869.8999999999996,2023-07-14,2.992,5.0,0.003798547766092218,14.700000000000273,closed
512980,传媒ETF,baseline,2023-07-04,0.867,2023-07-14,0.879,4600,5.0,3993.2,2023-07-14,0.879,5.0,0.011319242712611508,45.20000000000027,closed
512720,计算机ETF,baseline,2023-07-04,1.319,2023-07-14,1.283,3100,5.0,4093.8999999999996,2023-07-14,1.283,5.0,-0.029702728449644573,-121.59999999999991,closed
512980,传媒ETF,baseline,2023-07-14,0.879,2023-07-26,0.819,4500,5.0,3960.5,2023-07-26,0.819,5.0,-0.07069814417371544,-280.0,closed
159887,银行ETF,baseline,2023-07-14,0.896,2023-07-26,0.915,4400,5.0,3947.4,2023-07-26,0.915,5.0,0.018645184171859935,73.59999999999991,closed
512980,传媒ETF,baseline,2023-07-17,0.858,2023-07-27,0.808,4600,5.0,3951.7999999999997,2023-07-27,0.808,5.0,-0.060731818411862835,-239.99999999999955,closed
159611,电力ETF,baseline,2023-07-26,0.919,2023-08-07,0.936,4200,5.0,3864.8,2023-08-07,0.936,5.0,0.01588697992134136,61.40000000000009,closed
512980,传媒ETF,baseline,2023-07-26,0.819,2023-08-07,0.851,4700,5.0,3854.2999999999997,2023-08-07,0.851,5.0,0.03642684793607143,140.4000000000001,closed
159611,电力ETF,baseline,2023-07-27,0.915,2023-11-16,0.865,4100,5.0,3756.5,2023-11-16,0.865,5.0,-0.057234127512311994,-215.0,closed
159611,电力ETF,baseline,2023-08-07,0.936,2023-11-16,0.865,4200,5.0,3936.2000000000003,2023-11-16,0.865,5.0,-0.07829886692749359,-308.2000000000003,closed
159611,电力ETF,baseline,2023-08-15,0.922,2023-11-16,0.865,4300,5.0,3969.6000000000004,2023-11-16,0.865,5.0,-0.06426340185409118,-255.10000000000036,closed
512400,有色金属ETF,baseline,2025-01-08,0.984,2025-02-21,1.031,3600,5.0,3547.4,2025-02-21,1.031,5.0,0.044877938772058354,159.19999999999982,closed
512660,军工ETF,baseline,2025-01-08,0.965,2025-02-21,1.043,3800,5.0,3672.0,2025-02-21,1.043,5.0,0.07799564270152495,286.39999999999964,closed
512400,有色金属ETF,baseline,2025-01-10,0.987,2025-02-21,1.031,3700,5.0,3656.9,2025-02-21,1.031,5.0,0.04178402472039151,152.79999999999973,closed
159811,5G50ETF,baseline,2025-04-02,1.257,2025-05-09,1.186,3000,5.0,3775.9999999999995,2025-05-09,1.186,5.0,-0.05905720338983039,-222.99999999999955,closed
159811,5G50ETF,baseline,2025-04-03,1.211,2025-05-09,1.186,3100,5.0,3759.1000000000004,2025-05-09,1.186,5.0,-0.02327684818174575,-87.50000000000045,closed
159766,旅游ETF,baseline,2025-06-27,0.676,2025-07-09,0.673,5500,5.0,3723.0000000000005,2025-07-09,0.673,5.0,-0.00711791565941445,-26.5,closed
159766,旅游ETF,baseline,2025-06-30,0.677,2025-07-10,0.676,5500,5.0,3728.5000000000005,2025-07-10,0.676,5.0,-0.004157167761834517,-15.5,closed
