symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
515210,钢铁ETF,enhanced_ge_40,2021-01-07,1.267,2021-05-26,1.553,2600,5.0,3299.2,2021-05-26,1.553,5.0,0.22235693501454898,733.5999999999999,closed
515210,钢铁ETF,enhanced_ge_40,2021-01-08,1.272,2021-05-27,1.565,2600,5.0,3312.2000000000003,2021-05-27,1.565,5.0,0.2269790471589879,751.7999999999997,closed
515210,钢铁ETF,enhanced_ge_40,2021-01-11,1.232,2021-05-28,1.558,2700,5.0,3331.4,2021-05-28,1.558,5.0,0.2612115026715496,870.2000000000003,closed
515210,钢铁ETF,enhanced_ge_40,2021-06-03,1.583,2021-06-24,1.545,2500,5.0,3962.5,2021-06-24,1.545,5.0,-0.026498422712933754,-105.0,closed
515210,钢铁ETF,enhanced_ge_40,2021-06-04,1.554,2021-06-24,1.545,2600,5.0,4045.4,2021-06-24,1.545,5.0,-0.008256291096059744,-33.40000000000009,closed
515210,钢铁ETF,enhanced_ge_40,2021-06-09,1.565,2021-06-24,1.545,2700,5.0,4230.5,2021-06-24,1.545,5.0,-0.015128235433163929,-64.0,closed
510880,红利ETF,enhanced_ge_40,2021-08-16,2.892,2021-09-02,3.194,1300,5.0,3764.6,2021-09-02,3.194,5.0,0.1016309833714073,382.5999999999999,closed
512400,有色金属ETF,enhanced_ge_40,2021-10-11,1.388,2021-11-23,1.423,3000,5.0,4169.0,2021-11-23,1.423,5.0,0.022787239146078195,95.0,closed
515210,钢铁ETF,enhanced_ge_40,2021-10-11,1.847,2021-11-23,1.685,2200,5.0,4068.4,2021-11-23,1.685,5.0,-0.09005997443712518,-366.4000000000001,closed
512400,有色金属ETF,enhanced_ge_40,2021-10-12,1.346,2021-11-23,1.423,3100,5.0,4177.6,2021-11-23,1.423,5.0,0.054744350823439245,228.69999999999982,closed
