window,recent_weight,category,test_year,strategy_id,train_years,train_count,train_avg_return,train_win_rate,train_compound_return,train_vol,train_downside_vol,train_mdd,train_max_loss,train_calendar_compound,train_broad_compound,train_excess_compound,train_excess_avg_annual,train_excess_vol_annual,score_profit_first,score_compound,score_avg_return,score_win_rate,score_sharpe_trade,score_sortino_trade,score_calmar_trade,score_excess_compound_calendar,score_excess_avg_calendar,score_sharpe_excess_calendar,score_composite_risk,score_drawdown_guard,selected_score,score_func
5y,none,宽基/风格指数,2014,PBS_b25_s90_00144,2009/2010/2011/2012/2013,4,0.01619748612170085,0.75,0.05918498327623922,0.05852169093966951,0.0742138049258476,0.07421380492584773,-0.0742138049258476,0.05918498327623922,0.4356178621121336,-0.3764328788358944,-0.12462464609219193,0.40713053189095855,0.27670847608744437,0.05918498327623922,0.01619748612170085,0.75,0.27677747962071353,0.21825435493661427,0.7974929103093102,-0.3764328788358944,-0.12462464609219193,-0.3061048885551623,0.18178693276328448,0.13497117835039152,0.21825435493661427,sortino_trade
5y,none,宽基/风格指数,2015,PBS_b25_s90_00144,2010/2011/2012/2013/2014,5,0.1416771067601829,0.8,0.831739471636564,0.1757280726845191,0.0742138049258476,0.07421380492584773,-0.0742138049258476,0.831739471636564,-0.04012394790647733,0.8718634195430414,0.15079290832086964,0.19736589244225317,0.8807207897421214,0.831739471636564,0.1416771067601829,0.8,0.8062292187869528,1.909039792526926,11.207341712992704,0.8718634195430414,0.15079290832086964,0.7640271905857582,0.5970199634080431,0.9175256667107163,1.909039792526926,sortino_trade
5y,none,周期资源/公用事业,2016,PBS_b25_s90_00117,2011/2012/2013/2014/2015,3,0.10871558741599074,0.6666666666666666,0.33105537556141695,0.13520542809050523,0.078544551675984,-0.0,-0.078544551675984,0.33105537556141695,0.26152507976177275,0.0695302957996442,-0.00432636221142324,0.14735589952423447,0.5073488127528409,0.33105537556141695,0.10871558741599074,0.6666666666666666,0.8040770918044317,1.3841263982648435,331055375561.41693,0.0695302957996442,-0.00432636221142324,-0.029359952505209043,0.31477631322701966,0.46438870889475026,1.3841263982648435,sortino_trade
5y,none,宽基/风格指数,2016,PBS_b25_s90_00171,2011/2012/2013/2014/2015,3,0.09387252560694583,1.0,0.3047320921407102,0.05042172963262044,0.0,-0.0,0.0353376222757551,0.3047320921407102,0.26152507976177275,0.043207012378937426,-0.0132321992968502,0.21446319786998505,0.5767117808913719,0.3047320921407102,0.09387252560694583,1.0,1.8617474309003683,93872525606.94583,304732092140.7102,0.043207012378937426,-0.0132321992968502,-0.061699160640187385,0.3844830016039496,0.5047320921407101,93872525606.94583,sortino_trade
5y,none,周期资源/公用事业,2017,PBS_b25_s90_00117,2012/2013/2014/2015/2016,4,0.08868894813949808,0.75,0.3691355791451687,0.12212116802989097,0.078544551675984,-0.0,-0.078544551675984,0.3691355791451687,0.62450701218953,-0.2553714330443613,-0.039901237984038815,0.07985699218604211,0.5351702956265993,0.3691355791451687,0.08868894813949808,0.75,0.7262373065172772,1.1291546803173964,369135579145.1687,-0.2553714330443613,-0.039901237984038815,-0.49965866345906945,0.3456307630185182,0.5191355791451687,1.1291546803173964,sortino_trade
5y,none,宽基/风格指数,2017,PBS_b25_s90_00144,2012/2013/2014/2015/2016,5,0.15783895053218208,0.8,0.9721515825811993,0.17096773336008858,0.0639389761950284,0.06393897619502842,-0.0639389761950284,0.9721515825811993,0.62450701218953,0.3476445703916693,0.06637181881278294,0.2065187361763706,0.9811299000809016,0.9721515825811993,0.15783895053218208,0.8,0.9232090022438436,2.468587392583028,15.204365794045739,0.3476445703916693,0.06637181881278294,0.32138400631978914,0.6443486783045935,1.068212606386171,2.468587392583028,sortino_trade
5y,none,军工/基建/交通/央企,2018,PBS_b25_s90_00002,2013/2014/2015/2016/2017,3,-0.030387054038817335,0.6666666666666666,-0.09471289183937359,0.0648006035458082,0.1217154763631024,0.12171547636310243,-0.1217154763631024,-0.09471289183937359,0.8330093267843683,-0.9277222186237419,-0.1557601861595061,0.1546413259156201,0.1127852108575585,-0.09471289183937359,-0.030387054038817335,0.6666666666666666,-0.4689316514909847,-0.2496564524622721,-0.7781499499377327,-0.9277222186237419,-0.1557601861595061,-1.0072351956131653,0.08072228047073708,-0.08309503486914269,-0.2496564524622721,sortino_trade
5y,none,周期资源/公用事业,2018,PBS_b25_s90_00117,2013/2014/2015/2016/2017,6,0.06741531264991862,0.8333333333333334,0.43736192039555055,0.10498472349873571,0.078544551675984,-0.0,-0.078544551675984,0.4373619203955508,0.8330093267843683,-0.39564740638881757,-0.05639822321996518,0.08467245774324868,0.5798324648872489,0.43736192039555055,0.06741531264991862,0.8333333333333334,0.6421440225071253,0.8583066706799144,437361920395.55054,-0.39564740638881757,-0.05639822321996518,-0.6660751881127012,0.393866552867338,0.6040285870622173,0.8583066706799144,sortino_trade
5y,none,宽基/风格指数,2018,PBS_b25_s90_00162,2013/2014/2015/2016/2017,6,0.13935441937530377,0.8333333333333334,1.0647081344203433,0.1614518328656775,0.0639389761950284,0.06393897619502842,-0.0639389761950284,1.0647081344203433,0.8330093267843683,0.23169880763597495,0.04929484807556482,0.21711607512577266,1.0281793000275097,1.0647081344203433,0.13935441937530377,0.8333333333333334,0.8631330899190153,2.179490940675397,16.65194217617888,0.23169880763597495,0.04929484807556482,0.22704375089123124,0.690917065818098,1.1674358248919816,2.179490940675397,sortino_trade
5y,none,军工/基建/交通/央企,2019,PBS_b25_s90_00000,2014/2015/2016/2017/2018,4,0.024566765932716724,0.75,0.07637601756936419,0.1116940806761659,0.1197102605557122,0.11971026055571221,-0.1197102605557122,0.07637601756936419,0.2549913155807706,-0.1786152980114064,-0.051477611555346824,0.3026878690313357,0.2953923764743352,0.07637601756936419,0.024566765932716724,0.75,0.2199468922952424,0.20521854867301312,0.638007278692551,-0.1786152980114064,-0.051477611555346824,-0.170068300787593,0.19960265953957332,0.106665757013652,0.20521854867301312,sortino_trade
5y,none,周期资源/公用事业,2019,PBS_b25_s90_00131,2014/2015/2016/2017/2018,8,0.0673527740579947,0.75,0.6243608404966261,0.10190336005660636,0.06587564672085723,0.09696674086744406,-0.0930627316019993,0.6243608404966261,0.2549913155807706,0.3693695249158555,0.033666259450200596,0.164313460734469,0.6669692783559703,0.6243608404966261,0.0673527740579947,0.75,0.6609475293054117,1.0224229652328765,6.4389174566948055,0.3693695249158555,0.033666259450200596,0.2048904532806382,0.46549895602677743,0.6773940996291821,1.0224229652328765,sortino_trade
5y,none,宽基/风格指数,2019,PBS_b25_s90_00153,2014/2015/2016/2017/2018,6,0.13454499617235674,0.8333333333333334,1.0071905657604643,0.16485694854475857,0.0639389761950284,0.06393897619502842,-0.0639389761950284,1.0071905657604643,0.2549913155807706,0.7521992501796937,0.10961199135261412,0.23300986588812966,0.9888593356286353,1.0071905657604643,0.13454499617235674,0.8333333333333334,0.8161317879483357,2.104271982082723,15.752372428869545,0.7521992501796937,0.10961199135261412,0.4704178122859806,0.6770975885765622,1.1099182562321026,2.104271982082723,sortino_trade
