year,trades,win_rate,gross_return
2014,2,1.0,0.7571948998178504
2015,1,1.0,0.15887062789717654
2016,1,0.0,-0.0635644768856447
2017,1,1.0,0.0024038461538462563
2018,3,1.0,0.16551618878252272
2019,3,0.6666666666666666,0.16035454549876316
2020,3,1.0,0.19194787935585134
2021,4,1.0,0.4184680881731113
2022,5,0.6,0.28073859828329684
2023,6,0.6666666666666666,0.001289738056984957
2024,10,0.6,0.9077843002218278
2025,6,0.8333333333333334,0.3230157405354006
2026,5,0.4,-0.048155800560206186
