evidence_floor,active_years,full_trades,full_gross_final_1000,full_net_final_10000,full_win_rate,full_avg_return,full_avg_annual_return,full_positive_year_rate,full_max_drawdown,dev_trades,dev_gross_final_1000,dev_net_final_10000,dev_win_rate,dev_avg_return,dev_avg_annual_return,dev_positive_year_rate,dev_max_drawdown,holdout_trades,holdout_gross_final_1000,holdout_net_final_10000,holdout_win_rate,holdout_avg_return,holdout_avg_annual_return,holdout_positive_year_rate,holdout_max_drawdown
15,"2019,2020,2021,2022,2023,2024,2025,2026",46,16922.516514095394,162645.26327000002,0.717391304347826,0.06966256637977886,0.2675564919578501,0.8461538461538461,-0.13975155279503104,21,3322.887830494604,32589.359019999996,0.7142857142857143,0.06484313644010824,0.29287447793902555,0.8,-0.13975155279503104,10,2122.994274869461,21046.228830000004,0.7,0.08434651832398549,0.3060155062301981,1.0,-0.038081805359661325
20,"2021,2022,2023,2024,2025,2026",46,22259.729970258017,214238.33237000013,0.7608695652173914,0.07564295715048548,0.2896156227181503,0.9230769230769231,-0.13975155279503104,21,4370.897541548084,42761.73403000001,0.8095238095238095,0.07794304003308464,0.350228217915806,1.0,-0.13975155279503104,10,2122.994274869461,21046.228830000004,0.7,0.08434651832398549,0.3060155062301981,1.0,-0.038081805359661325
25,"2022,2023,2024,2025,2026",46,22171.746847845923,213429.53296,0.7608695652173914,0.07552913971365414,0.28913943472420633,0.9230769230769231,-0.13975155279503104,21,4353.621266680304,42595.31655000002,0.8095238095238095,0.0776937256476446,0.3489901291315518,1.0,-0.13975155279503093,10,2122.994274869461,21046.228830000004,0.7,0.08434651832398549,0.3060155062301981,1.0,-0.038081805359661325
30,"2023,2024,2025,2026",46,22524.779435479817,216775.71758000008,0.7608695652173914,0.0758784147893653,0.29078493808028916,0.9230769230769231,-0.13975155279503104,21,4422.942380253427,43294.344960000024,0.8095238095238095,0.07845880438491663,0.3532684378573672,1.0,-0.13975155279503093,10,2122.994274869461,21046.228830000004,0.7,0.08434651832398549,0.3060155062301981,1.0,-0.038081805359661325
32,"2023,2024,2025,2026",46,22524.779435479817,216775.71758000008,0.7608695652173914,0.0758784147893653,0.29078493808028916,0.9230769230769231,-0.13975155279503104,21,4422.942380253427,43294.344960000024,0.8095238095238095,0.07845880438491663,0.3532684378573672,1.0,-0.13975155279503093,10,2122.994274869461,21046.228830000004,0.7,0.08434651832398549,0.3060155062301981,1.0,-0.038081805359661325
35,"2024,2025,2026",46,21684.16001634401,208675.53359000004,0.7608695652173914,0.07495423919600257,0.28717473672524396,0.9230769230769231,-0.13975155279503104,21,4257.87922102429,41680.02940000002,0.8095238095238095,0.07643441975183635,0.34388191433424964,1.0,-0.13975155279503093,10,2122.994274869461,21046.228830000004,0.7,0.08434651832398549,0.3060155062301981,1.0,-0.038081805359661325
40,2026,46,20130.055241677026,193722.57168999998,0.7608695652173914,0.0730466664922882,0.2786667955624998,0.9230769230769231,-0.13975155279503104,21,4257.87922102429,41680.02940000002,0.8095238095238095,0.07643441975183635,0.34388191433424964,1.0,-0.13975155279503093,10,1970.8391747097833,19543.801,0.7,0.0755716838868994,0.26914776119164,1.0,-0.038081805359661325
45,,46,20130.055241677026,193722.57168999998,0.7608695652173914,0.0730466664922882,0.2786667955624998,0.9230769230769231,-0.13975155279503104,21,4257.87922102429,41680.02940000002,0.8095238095238095,0.07643441975183635,0.34388191433424964,1.0,-0.13975155279503093,10,1970.8391747097833,19543.801,0.7,0.0755716838868994,0.26914776119164,1.0,-0.038081805359661325
