year,net_account_return
2014,0.7440227249999996
2015,0.15715853874553165
2016,-0.06375029644804586
2017,0.10501950623474476
2018,0.1299067433839578
2019,0.1580133106205459
2020,0.41716934752570434
2021,0.5553525924198564
2022,0.3601941474105177
2023,0.2543934776652823
2024,0.3699331334505933
2025,0.5402654094391823
2026,-7.457737624239069e-05
