line,method,baseline_final_cny,winner_final_cny,baseline_win_rate,winner_win_rate,baseline_avg_annual_return,winner_avg_annual_return,baseline_max_drawdown,winner_max_drawdown,holdout_baseline_return,holdout_winner_return,holdout_baseline_win_rate,holdout_winner_win_rate
C,历史证据门槛 + 强趋势延后卖出,193722.57168999998,216775.71758000008,0.7608695652173914,0.7608695652173914,0.27464236683616217,0.28673877369781753,-0.13975155279503104,-0.13975155279503104,0.9543800999999998,1.1046228830000002,0.7,0.7
S,历史证据门槛 + 强趋势延后卖出,100089.89242999999,129352.12527000005,0.7,0.72,0.2157833187910432,0.24611554926179025,-0.15973409512267256,-0.15973409512267256,0.861602119,1.3596563080000013,0.6190476190476191,0.6190476190476191
D,强趋势至少+2%，最多延后3日，年度滚动选择阈值,23624.232774008313,24428.95535800624,0.7307692307692307,0.7692307692307693,0.12072825684940133,0.12626185625352673,-0.12957710133768152,-0.12957710133768152,0.8323677580000004,0.8828485700000002,1.0,1.0
