year,window,train_end,rule,train_score,train_trades,neighbors
2019,all,2018,extend:ma20_gap:-0.0200:d40,1.9792525574474176,15,3
2020,all,2019,extend:ret20:+0.0800:d30,1.850645522596309,18,3
2021,all,2020,extend:ma20_gap:+0.0500:d30,2.227229587439604,23,2
2022,all,2021,extend:ma20_gap:+0.0500:d30,2.7284525710627583,27,2
2023,all,2022,extend:ret20:+0.0800:d30,3.068746837966563,32,3
2024,all,2023,extend:ret20:+0.0800:d30,3.28911906948344,36,3
2025,all,2024,extend:ret20:+0.0800:d30,3.602375244820841,39,2
2026,all,2025,extend:ret20:+0.0800:d30,4.06063533031874,42,2
