test_year,rule,buy_combo,sell_combo,symbol,name,entry_date,exit_date,entry_close,exit_close,hold_days,status,return_rate,pnl_cny,mark_close,unrealized_return,unrealized_pnl_cny,signal_date,fear_core,fear_qvix,fear_north,fear_enhanced,fear_change3,fear_peak5,greed_enhanced,regime,symbol_fear,buy_quality,exit_reason,exit_key,max_hold,greed_threshold,mark_date,overlay
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512660,军工ETF,2021-02-10,2021-04-15,1.187,1.036,1083.0,closed,-0.1272114574557709,-12.72114574557709,1.093,,,2021-02-09,49.811035525321245,64.41798941798942,4.894179894179894,54.1931216931217,-12.804232804232782,68.95502645502646,45.8068783068783,中性,73.67724867724868,63.93518518518519,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512660,军工ETF,2021-02-18,2021-04-16,1.179,1.039,1082.0,closed,-0.11874469889737072,-11.874469889737071,1.093,,,2021-02-10,43.85865457294028,73.01587301587301,31.216931216931215,52.6058201058201,-16.349206349206355,68.95502645502646,47.3941798941799,中性,80.78703703703704,66.69642857142857,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-09,2021-04-14,1.198,1.145,1127.0,closed,-0.04424040066777957,-4.424040066777957,1.489,,,2021-02-08,53.94935752078609,67.46031746031747,4.497354497354497,58.0026455026455,-3.7037037037036953,68.95502645502646,41.9973544973545,中性,61.69471080185366,59.848678152249576,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-10,2021-04-15,1.215,1.137,1126.0,closed,-0.06419753086419755,-6.419753086419755,1.489,,,2021-02-09,49.811035525321245,64.41798941798942,4.894179894179894,54.1931216931217,-12.804232804232782,68.95502645502646,45.8068783068783,中性,52.6824175896668,53.43776964139425,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-18,2021-04-16,1.219,1.145,1125.0,closed,-0.06070549630844957,-6.0705496308449565,1.489,,,2021-02-10,43.85865457294028,73.01587301587301,31.216931216931215,52.6058201058201,-16.349206349206355,68.95502645502646,47.3941798941799,中性,48.93028625215399,50.768053178987046,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-16,2021-05-17,1.154,1.166,1107.0,closed,0.010398613518197486,1.0398613518197486,1.489,,,2021-03-15,80.13983371126228,59.523809523809526,56.34920634920635,73.95502645502646,-6.468253968253961,85.34391534391534,26.044973544973544,恐惧,79.37498170686825,76.66500408094736,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-17,2021-05-18,1.162,1.176,1106.0,closed,0.012048192771084265,1.2048192771084265,1.489,,,2021-03-16,65.51398337112622,50.661375661375665,21.164021164021165,61.05820105820105,-9.814814814814824,80.42328042328042,38.94179894179895,恐惧,65.32512405726138,63.19166255773121,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-18,2021-05-19,1.164,1.174,1105.0,closed,0.00859106529209619,0.8591065292096189,1.489,,,2021-03-17,62.3771730914588,53.43915343915344,10.052910052910052,59.69576719576719,-7.738095238095241,73.95502645502646,40.30423280423281,中性,62.57307612423948,61.13442166000333,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-19,2021-05-20,1.15,1.169,1104.0,closed,0.016521739130434865,1.6521739130434865,1.489,,,2021-03-18,62.58503401360544,48.544973544973544,64.15343915343915,58.373015873015866,-15.58201058201059,73.95502645502646,41.626984126984134,中性,61.792866569058546,60.0829412210372,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-22,2021-05-21,1.169,1.164,1103.0,closed,-0.004277159965782817,-0.42771599657828174,1.489,,,2021-03-19,74.31972789115646,54.1005291005291,24.735449735449734,68.25396825396825,7.195767195767203,73.95502645502646,31.746031746031747,恐惧,71.923934616964,70.08895143546613,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
