test_year,overlay,exit_key,max_hold,greed_threshold,prior_years,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std
2021,baseline,hold_40_greed_off,40,,0,142,142,0,96,0.676056338028169,0.05197839203803485,0.03958691910499157,738.0931669400949,0.0,738.0931669400949,1,0.676056338028169,0.0
2022,baseline,hold_40_greed_off,40,,1,4,4,0,0,0.0,-0.07926038968877663,-0.07570928618870165,-31.704155875510654,0.0,-31.704155875510654,1,0.0,0.0
2023,baseline,hold_40_greed_off,40,,2,141,141,0,50,0.3546099290780142,-0.027369961944152022,-0.02925731432858214,-385.9164634125435,0.0,-385.9164634125435,1,0.3546099290780142,0.0
2025,core_ge_40,hold_40_greed_off,40,,3,30,30,0,28,0.9333333333333333,0.07080231049620321,0.06574174210737405,212.40693148860964,0.0,212.40693148860964,1,0.9333333333333333,0.0
2026,core_ge_40,hold_40_greed_off,40,,4,26,26,0,6,0.23076923076923078,-0.13185787819709985,-0.18892419177626618,-342.83048331245965,0.0,-342.83048331245965,1,0.23076923076923078,0.0
