test_year,rule,buy_combo,sell_combo,symbol,name,entry_date,exit_date,entry_close,exit_close,hold_days,status,return_rate,pnl_cny,mark_close,unrealized_return,unrealized_pnl_cny,signal_date,fear_core,fear_qvix,fear_north,fear_enhanced,fear_change3,fear_peak5,greed_enhanced,regime,symbol_fear,buy_quality
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512660,军工ETF,2021-02-10,2025-08-04,1.187,1.199,1083.0,closed,0.010109519797809607,1.0109519797809607,1.093,,,2021-02-09,49.811035525321245,64.41798941798942,4.894179894179894,54.1931216931217,-12.804232804232782,68.95502645502646,45.8068783068783,中性,73.67724867724868,63.93518518518519
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512660,军工ETF,2021-02-18,2025-08-04,1.179,1.199,1082.0,closed,0.016963528413910023,1.6963528413910023,1.093,,,2021-02-10,43.85865457294028,73.01587301587301,31.216931216931215,52.6058201058201,-16.349206349206355,68.95502645502646,47.3941798941799,中性,80.78703703703704,66.69642857142857
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-09,2025-10-10,1.198,1.481,1127.0,closed,0.23622704507512537,23.622704507512537,1.489,,,2021-02-08,53.94935752078609,67.46031746031747,4.497354497354497,58.0026455026455,-3.7037037037036953,68.95502645502646,41.9973544973545,中性,61.69471080185366,59.848678152249576
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-10,2025-10-10,1.215,1.481,1126.0,closed,0.21893004115226344,21.893004115226343,1.489,,,2021-02-09,49.811035525321245,64.41798941798942,4.894179894179894,54.1931216931217,-12.804232804232782,68.95502645502646,45.8068783068783,中性,52.6824175896668,53.43776964139425
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-18,2025-10-10,1.219,1.481,1125.0,closed,0.21493027071369974,21.493027071369973,1.489,,,2021-02-10,43.85865457294028,73.01587301587301,31.216931216931215,52.6058201058201,-16.349206349206355,68.95502645502646,47.3941798941799,中性,48.93028625215399,50.768053178987046
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-16,2025-10-10,1.154,1.481,1107.0,closed,0.28336221837088416,28.336221837088416,1.489,,,2021-03-15,80.13983371126228,59.523809523809526,56.34920634920635,73.95502645502646,-6.468253968253961,85.34391534391534,26.044973544973544,恐惧,79.37498170686825,76.66500408094736
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-17,2025-10-10,1.162,1.481,1106.0,closed,0.2745266781411362,27.452667814113617,1.489,,,2021-03-16,65.51398337112622,50.661375661375665,21.164021164021165,61.05820105820105,-9.814814814814824,80.42328042328042,38.94179894179895,恐惧,65.32512405726138,63.19166255773121
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-18,2025-10-10,1.164,1.481,1105.0,closed,0.2723367697594503,27.23367697594503,1.489,,,2021-03-17,62.3771730914588,53.43915343915344,10.052910052910052,59.69576719576719,-7.738095238095241,73.95502645502646,40.30423280423281,中性,62.57307612423948,61.13442166000333
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-19,2025-10-10,1.15,1.481,1104.0,closed,0.2878260869565219,28.78260869565219,1.489,,,2021-03-18,62.58503401360544,48.544973544973544,64.15343915343915,58.373015873015866,-15.58201058201059,73.95502645502646,41.626984126984134,中性,61.792866569058546,60.0829412210372
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-22,2025-10-10,1.169,1.481,1103.0,closed,0.2668947818648417,26.689478186484173,1.489,,,2021-03-19,74.31972789115646,54.1005291005291,24.735449735449734,68.25396825396825,7.195767195767203,73.95502645502646,31.746031746031747,恐惧,71.923934616964,70.08895143546613
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-23,2025-10-10,1.15,1.481,1102.0,closed,0.2878260869565219,28.78260869565219,1.489,,,2021-03-22,60.582010582010575,46.42857142857143,92.5925925925926,56.33597883597883,-3.359788359788361,68.25396825396825,43.66402116402117,中性,61.16266762895734,58.749323232468086
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-24,2025-10-10,1.129,1.481,1101.0,closed,0.3117803365810452,31.17803365810452,1.489,,,2021-03-23,66.34542705971276,40.74074074074074,6.613756613756613,58.66402116402115,0.29100529100528405,68.25396825396825,41.33597883597885,中性,74.11276888397268,66.3883950239969
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-29,2025-10-10,1.16,1.481,1098.0,closed,0.27672413793103456,27.672413793103456,1.489,,,2021-03-26,63.3219954648526,30.555555555555557,30.423280423280424,53.49206349206348,-5.171957671957671,66.49470899470899,46.50793650793652,中性,68.94979029943289,61.220926895748185
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-20,2025-10-10,1.164,1.481,1083.0,closed,0.2723367697594503,27.23367697594503,1.489,,,2021-04-19,46.42857142857143,26.71957671957672,6.878306878306878,40.51587301587301,-10.436507936507937,57.44708994708995,59.48412698412699,中性,57.943988502775,49.229930759324006
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-21,2025-10-10,1.159,1.481,1082.0,closed,0.27782571182053495,27.782571182053495,1.489,,,2021-04-20,51.47392290249433,26.58730158730159,0.9259259259259258,44.007936507936506,-9.074074074074076,53.08201058201058,55.992063492063494,中性,58.460178870402785,51.234057689169646
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-22,2025-10-10,1.162,1.481,1081.0,closed,0.2745266781411362,27.452667814113617,1.489,,,2021-04-21,53.98715041572184,28.703703703703702,69.97354497354497,46.40211640211639,-2.5529100529100646,53.08201058201058,53.59788359788361,中性,67.12618795088562,56.76415217650101
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-23,2025-10-10,1.162,1.481,1080.0,closed,0.2745266781411362,27.452667814113617,1.489,,,2021-04-22,49.14965986394558,27.91005291005291,75.26455026455027,42.77777777777778,2.2619047619047663,48.955026455026456,57.22222222222222,中性,55.07467295124386,48.92622536451082
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-26,2025-10-10,1.156,1.481,1079.0,closed,0.281141868512111,28.114186851211098,1.489,,,2021-04-23,41.043083900226755,29.232804232804234,80.55555555555556,37.5,-6.507936507936506,46.40211640211639,62.5,贪婪,55.11503056502376,46.30751528251188
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-11-09,2025-10-10,1.292,1.481,949.0,closed,0.14628482972136236,14.628482972136236,1.489,,,2021-11-08,55.87679516250945,39.285714285714285,69.57671957671958,50.8994708994709,-5.6084656084656,64.25925925925925,49.1005291005291,中性,59.06353585851734,54.98150337899412
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-11-10,2025-10-10,1.289,1.481,948.0,closed,0.14895267649340593,14.895267649340592,1.489,,,2021-11-09,47.14663643235072,39.41798941798942,72.08994708994709,44.82804232804232,1.415343915343911,56.5079365079365,55.17195767195768,中性,53.86196575871793,49.34500404338013
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-11-11,2025-10-10,1.306,1.481,947.0,closed,0.13399693721286376,13.399693721286376,1.489,,,2021-11-10,58.7679516250945,20.8994708994709,82.4074074074074,47.40740740740742,-6.904761904761898,54.31216931216932,52.59259259259258,中性,54.70010432328724,51.05375586534733
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-11-12,2025-10-10,1.316,1.481,946.0,closed,0.12537993920972657,12.537993920972657,1.489,,,2021-11-11,51.03930461073319,31.084656084656086,99.20634920634922,45.05291005291005,-5.846560846560848,54.31216931216932,54.94708994708995,中性,51.164614239835785,48.10876214637292
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-11-15,2025-10-10,1.307,1.481,945.0,closed,0.13312930374904375,13.312930374904376,1.489,,,2021-11-12,35.73318216175359,27.380952380952383,5.291005291005291,33.22751322751323,-11.600529100529094,50.8994708994709,66.77248677248677,贪婪,49.12989848193911,41.17870585472617
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-23,2021-08-03,1.025,1.357,90.0,closed,0.3239024390243903,32.39024390243903,1.79,,,2021-03-22,60.582010582010575,46.42857142857143,92.5925925925926,56.33597883597883,-3.359788359788361,68.25396825396825,43.66402116402117,中性,71.13095238095238,63.73346560846561
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-24,2021-08-03,0.982,1.357,89.0,closed,0.3818737270875763,38.18737270875763,1.79,,,2021-03-23,66.34542705971276,40.74074074074074,6.613756613756613,58.66402116402115,0.29100529100528405,68.25396825396825,41.33597883597885,中性,87.20238095238095,72.93320105820105
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-26,2021-08-03,1.024,1.357,87.0,closed,0.3251953125,32.51953125,1.79,,,2021-03-25,71.86318972033258,41.4021164021164,12.3015873015873,62.72486772486772,6.388888888888893,68.25396825396825,37.27513227513228,恐惧,82.10978835978835,72.41732804232804
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-29,2021-08-03,1.021,1.357,86.0,closed,0.3290891283055828,32.90891283055828,1.79,,,2021-03-26,63.3219954648526,30.555555555555557,30.423280423280424,53.49206349206348,-5.171957671957671,66.49470899470899,46.50793650793652,中性,79.33201058201058,66.41203703703704
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-30,2021-08-03,1.038,1.357,85.0,closed,0.30732177263969174,30.732177263969174,1.79,,,2021-03-29,65.87301587301587,31.349206349206348,8.201058201058201,55.51587301587301,-10.978835978835974,66.49470899470899,44.48412698412699,中性,79.76190476190476,67.63888888888889
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-31,2021-08-03,1.01,1.357,84.0,closed,0.34356435643564365,34.35643564356437,1.79,,,2021-03-30,60.60090702947847,30.82010582010582,95.23809523809523,51.66666666666667,-11.05820105820105,66.49470899470899,48.33333333333333,中性,75.89285714285714,63.779761904761905
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-01,2021-08-03,1.02,1.357,83.0,closed,0.33039215686274503,33.0392156862745,1.79,,,2021-03-31,63.39758125472412,28.04232804232804,20.634920634920633,52.7910052910053,-0.7010582010581814,62.72486772486772,47.2089947089947,中性,88.16137566137567,70.47619047619048
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-02,2021-08-03,1.03,1.357,82.0,closed,0.31747572815533975,31.747572815533974,1.79,,,2021-04-01,50.11337868480725,22.75132275132275,,41.9047619047619,-13.611111111111114,55.51587301587301,58.0952380952381,中性,77.64550264550265,59.77513227513227
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-06,2021-08-03,1.033,1.357,81.0,closed,0.3136495643756052,31.364956437560522,1.79,,,2021-04-02,56.273620559334844,24.206349206349206,,46.653439153439145,-5.013227513227527,55.51587301587301,53.346560846560855,中性,75.760582010582,61.20701058201057
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-07,2021-08-03,1.047,1.357,80.0,closed,0.29608404966571156,29.608404966571158,1.79,,,2021-04-06,53.760393046107325,26.322751322751326,,45.529100529100525,-7.261904761904773,52.7910052910053,54.470899470899475,中性,74.47089947089947,60.0
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-08,2021-08-03,1.061,1.357,79.0,closed,0.2789820923656927,27.898209236569272,1.79,,,2021-04-07,47.52456538170823,21.296296296296298,97.61904761904762,39.656084656084644,-2.2486772486772537,52.7910052910053,60.343915343915356,贪婪,72.15608465608466,55.90608465608465
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-09,2021-08-03,1.057,1.357,78.0,closed,0.28382213812677404,28.382213812677403,1.79,,,2021-04-08,43.31065759637188,18.51851851851852,86.90476190476191,35.87301587301587,-10.780423280423271,46.653439153439145,64.12698412698413,贪婪,70.46957671957672,53.1712962962963
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-12,2021-08-03,1.013,1.357,77.0,closed,0.3395853899308985,33.958538993089846,1.79,,,2021-04-09,52.53212396069538,17.989417989417987,81.74603174603175,42.169312169312164,-3.359788359788361,46.653439153439145,57.830687830687836,中性,69.37830687830687,55.77380952380952
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-10-11,2025-08-04,1.388,1.245,927.0,closed,-0.1030259365994235,-10.30259365994235,1.79,,,2021-10-08,61.99924414210127,34.25925925925926,53.57142857142857,53.67724867724866,-8.346560846560855,70.5026455026455,46.32275132275134,中性,80.58862433862433,67.13293650793649
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-10-12,2025-08-04,1.346,1.245,926.0,closed,-0.07503714710252596,-7.503714710252596,1.79,,,2021-10-11,67.00680272108843,29.100529100529098,83.86243386243386,55.634920634920626,-14.867724867724881,70.5026455026455,44.365079365079374,中性,76.65343915343915,66.14417989417989
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-10-13,2025-08-04,1.365,1.245,925.0,closed,-0.08791208791208782,-8.791208791208781,1.79,,,2021-10-12,79.78080120937264,27.513227513227513,61.37566137566137,64.1005291005291,-0.330687830687836,70.5026455026455,35.8994708994709,恐惧,88.78968253968253,76.44510582010582
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-10-14,2025-08-04,1.401,1.245,924.0,closed,-0.11134903640256955,-11.134903640256955,1.79,,,2021-10-13,67.61148904006048,29.4973544973545,,56.17724867724868,2.500000000000014,64.43121693121694,43.82275132275132,中性,78.83597883597884,67.50661375661376
