overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,robust_score
enhanced_ge_65,enhanced,65.0,,hold_120_greed_70,120,70.0,32,21,11,14,0.6666666666666666,0.05840253805214172,0.022529069767442067,122.64532990949762,-253.46875517789508,-130.82342526839744,3,0.0,0.4177070344950713,-inf
enhanced_ge_65,enhanced,65.0,,hold_90_greed_70,90,70.0,32,21,11,14,0.6666666666666666,0.05681735822719828,0.022529069767442067,119.31645227711638,-253.46875517789508,-134.1523029007787,3,0.0,0.4177070344950713,-inf
enhanced_ge_70,enhanced,70.0,,hold_60_greed_70,60,70.0,11,6,5,4,0.6666666666666666,0.024048495575032875,0.035917223615467675,14.429097345019725,-128.7045905342094,-114.27549318918966,2,0.5,0.25,-inf
enhanced_ge_70,enhanced,70.0,,hold_60_greed_off,60,,11,6,5,4,0.6666666666666666,0.018046943979206087,0.032874343041524035,10.828166387523652,-128.7045905342094,-117.87642414668574,2,0.5,0.25,-inf
enhanced_ge_70,enhanced,70.0,,hold_60_greed_80,60,80.0,11,6,5,4,0.6666666666666666,0.018046943979206087,0.032874343041524035,10.828166387523652,-128.7045905342094,-117.87642414668574,2,0.5,0.25,-inf
enhanced_ge_70,enhanced,70.0,,hold_60_greed_60,60,60.0,11,6,5,4,0.6666666666666666,-0.0010361001311566438,0.010934391137785493,-0.6216600786939863,-128.7045905342094,-129.32625061290338,2,0.5,0.25,-inf
enhanced_ge_70,enhanced,70.0,,hold_90_greed_60,90,60.0,11,6,5,4,0.6666666666666666,-0.0010361001311566438,0.010934391137785493,-0.6216600786939863,-128.7045905342094,-129.32625061290338,2,0.5,0.25,-inf
enhanced_ge_70,enhanced,70.0,,hold_120_greed_60,120,60.0,11,6,5,4,0.6666666666666666,-0.0010361001311566438,0.010934391137785493,-0.6216600786939863,-128.7045905342094,-129.32625061290338,2,0.5,0.25,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_60_greed_70,60,70.0,30,26,4,17,0.6538461538461539,0.051301755261251164,0.0351631376686008,133.38456367925303,-88.17011123342347,45.214452445829565,3,0.0,0.4129334138926253,-inf
core_ge_70,core,70.0,,hold_60_greed_80,60,80.0,33,26,7,17,0.6538461538461539,0.046533016094154375,0.025121555915721183,120.98584184480137,-163.27501264088883,-42.28917079608746,3,0.5333333333333333,0.19058785674472012,-inf
core_ge_70,core,70.0,,hold_60_greed_60,60,60.0,33,26,7,17,0.6538461538461539,0.03628320873271379,0.025696095418463072,94.33634270505586,-163.27501264088883,-68.93866993583298,3,0.4,0.282842712474619,-inf
core_ge_70,core,70.0,,hold_90_greed_60,90,60.0,33,26,7,17,0.6538461538461539,0.03628320873271379,0.025696095418463072,94.33634270505586,-163.27501264088883,-68.93866993583298,3,0.4,0.282842712474619,-inf
core_ge_70,core,70.0,,hold_120_greed_60,120,60.0,33,26,7,17,0.6538461538461539,0.03628320873271379,0.025696095418463072,94.33634270505586,-163.27501264088883,-68.93866993583298,3,0.4,0.282842712474619,-inf
enhanced_ge_65,enhanced,65.0,,hold_60_greed_70,60,70.0,32,21,11,13,0.6190476190476191,0.06544276424936728,0.03090315560391743,137.42980492367127,-253.46875517789508,-116.0389502542238,3,0.0,0.41247895569215276,-inf
core_ge_70,core,70.0,,hold_120_greed_80,120,80.0,33,26,7,16,0.6153846153846154,0.07101578563218393,0.04950856912251922,184.6410426436782,-163.27501264088883,21.36603000278936,3,0.4666666666666667,0.21873811941086518,-inf
recovery_peak_75_change_le_m2p5,recovery,75.0,-2.5,hold_120_greed_off,120,,10,10,0,6,0.6,0.0963098458763331,0.15734577856840504,96.30984587633309,0.0,96.30984587633309,2,0.3333333333333333,0.33333333333333337,-inf
recovery_peak_75_change_le_0p0,recovery,75.0,0.0,hold_120_greed_off,120,,10,10,0,6,0.6,0.0963098458763331,0.15734577856840504,96.30984587633309,0.0,96.30984587633309,2,0.3333333333333333,0.33333333333333337,-inf
recovery_peak_75_change_le_2p5,recovery,75.0,2.5,hold_120_greed_off,120,,10,10,0,6,0.6,0.0963098458763331,0.15734577856840504,96.30984587633309,0.0,96.30984587633309,2,0.3333333333333333,0.33333333333333337,-inf
recovery_peak_75_change_le_m2p5,recovery,75.0,-2.5,hold_120_greed_80,120,80.0,10,10,0,6,0.6,0.06552226352673082,0.08574579286826312,65.52226352673082,0.0,65.52226352673082,2,0.3333333333333333,0.33333333333333337,-inf
recovery_peak_75_change_le_0p0,recovery,75.0,0.0,hold_120_greed_80,120,80.0,10,10,0,6,0.6,0.06552226352673082,0.08574579286826312,65.52226352673082,0.0,65.52226352673082,2,0.3333333333333333,0.33333333333333337,-inf
recovery_peak_75_change_le_2p5,recovery,75.0,2.5,hold_120_greed_80,120,80.0,10,10,0,6,0.6,0.06552226352673082,0.08574579286826312,65.52226352673082,0.0,65.52226352673082,2,0.3333333333333333,0.33333333333333337,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_60_greed_60,60,60.0,30,26,4,15,0.5769230769230769,0.016667837908018082,0.006056908992742582,43.33637856084701,-88.17011123342347,-44.83373267257646,3,0.0,0.40843672725694086,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_90_greed_60,90,60.0,30,26,4,15,0.5769230769230769,0.016667837908018082,0.006056908992742582,43.33637856084701,-88.17011123342347,-44.83373267257646,3,0.0,0.40843672725694086,-inf
