date,symbol,name,open,high,low,close,volume,amount,pct_change,turnover_rate,amplitude,change
2021-05-27,513580,恒生科技ETF,0.99,0.995,0.987,0.993,853441.0,84637472.0,-0.6,1.33,0.8,-0.006
2021-05-28,513580,恒生科技ETF,0.996,0.998,0.972,0.975,752942.0,74254937.0,-1.81,1.18,2.62,-0.018
2021-05-31,513580,恒生科技ETF,0.979,0.987,0.978,0.987,448235.0,44007954.0,1.23,0.7,0.92,0.012
2021-06-01,513580,恒生科技ETF,0.988,1.012,0.988,1.01,1621889.0,162976314.0,2.33,2.53,2.43,0.023
2021-06-02,513580,恒生科技ETF,1.013,1.017,1.005,1.007,717005.0,72485193.0,-0.3,1.12,1.19,-0.003
2021-06-03,513580,恒生科技ETF,1.007,1.017,1.0,1.002,971181.0,98140462.0,-0.5,1.52,1.69,-0.005
2021-06-04,513580,恒生科技ETF,0.999,1.007,0.994,0.999,542231.0,54290571.0,-0.3,0.85,1.3,-0.003
2021-06-07,513580,恒生科技ETF,1.0,1.002,0.985,0.991,477850.0,47351252.0,-0.8,0.75,1.7,-0.008
2021-06-08,513580,恒生科技ETF,0.992,0.997,0.977,0.979,428181.0,42082041.0,-1.21,0.67,2.02,-0.012
2021-06-09,513580,恒生科技ETF,0.979,0.985,0.976,0.98,373057.0,36618298.0,0.1,0.58,0.92,0.001
2021-06-10,513580,恒生科技ETF,0.981,0.989,0.977,0.978,433585.0,42617266.0,-0.2,0.68,1.22,-0.002
2021-06-11,513580,恒生科技ETF,0.98,0.99,0.977,0.977,400377.0,39227686.0,-0.1,0.63,1.33,-0.001
2021-06-15,513580,恒生科技ETF,0.985,0.986,0.968,0.976,488917.0,47651161.0,-0.1,0.76,1.84,-0.001
2021-06-16,513580,恒生科技ETF,0.973,0.974,0.964,0.966,349857.0,33886894.0,-1.02,0.55,1.02,-0.01
2021-06-17,513580,恒生科技ETF,0.965,0.972,0.958,0.971,377071.0,36489830.0,0.52,0.59,1.45,0.005
2021-06-18,513580,恒生科技ETF,0.972,0.998,0.972,0.992,569632.0,56491460.0,2.16,0.89,2.68,0.021
2021-06-21,513580,恒生科技ETF,0.992,0.992,0.978,0.984,610242.0,60056328.0,-0.81,0.95,1.41,-0.008
2021-06-22,513580,恒生科技ETF,0.984,0.986,0.97,0.973,477909.0,46597516.0,-1.12,0.75,1.63,-0.011
2021-06-23,513580,恒生科技ETF,0.975,0.997,0.973,0.996,563795.0,55619555.0,2.36,0.88,2.47,0.023
2021-06-24,513580,恒生科技ETF,0.997,1.004,0.997,0.999,400816.0,40104810.0,0.3,0.63,0.7,0.003
2021-06-25,513580,恒生科技ETF,1.0,1.02,1.0,1.019,705401.0,71526111.0,2.0,1.1,2.0,0.02
2021-06-28,513580,恒生科技ETF,1.03,1.03,1.017,1.021,431737.0,44045560.0,0.2,0.67,1.28,0.002
2021-06-29,513580,恒生科技ETF,1.025,1.03,1.01,1.011,618188.0,63035751.0,-0.98,0.97,1.96,-0.01
2021-06-30,513580,恒生科技ETF,1.016,1.022,1.009,1.011,372263.0,37777290.0,0.0,0.58,1.29,0.0
2021-07-01,513580,恒生科技ETF,1.01,1.012,1.003,1.007,86882.0,8772593.0,-0.4,0.14,0.89,-0.004
2021-07-02,513580,恒生科技ETF,1.003,1.007,0.977,0.979,265166.0,26139194.0,-2.78,0.41,2.98,-0.028
2021-07-05,513580,恒生科技ETF,0.975,0.976,0.954,0.96,459868.0,44337470.0,-1.94,0.72,2.25,-0.019
2021-07-06,513580,恒生科技ETF,0.959,0.96,0.943,0.952,459320.0,43616930.0,-0.83,0.72,1.77,-0.008
2021-07-07,513580,恒生科技ETF,0.951,0.951,0.936,0.942,534704.0,50386206.0,-1.05,0.83,1.58,-0.01
2021-07-08,513580,恒生科技ETF,0.946,0.946,0.917,0.919,708378.0,65689139.0,-2.44,1.11,3.08,-0.023
2021-07-09,513580,恒生科技ETF,0.919,0.935,0.901,0.932,582416.0,53666975.0,1.41,0.91,3.7,0.013
2021-07-12,513580,恒生科技ETF,0.94,0.944,0.928,0.94,355660.0,33303421.0,0.86,0.56,1.72,0.008
2021-07-13,513580,恒生科技ETF,0.947,0.963,0.939,0.954,344214.0,32864316.0,1.49,0.54,2.55,0.014
