date,symbol,name,open,high,low,close,volume,amount,pct_change,turnover_rate,amplitude,change
2021-03-19,159851,金融科技ETF,0.488,0.498,0.488,0.49,625829.0,61433123.0,-1.8,0.6,2.0,-0.009
2021-03-22,159851,金融科技ETF,0.491,0.501,0.49,0.5,241452.0,24013438.0,2.04,0.23,2.24,0.01
2021-03-23,159851,金融科技ETF,0.5,0.507,0.498,0.505,468633.0,47179584.0,1.0,0.45,1.8,0.005
2021-03-24,159851,金融科技ETF,0.505,0.509,0.501,0.503,205467.0,20776401.0,-0.4,0.2,1.58,-0.002
2021-03-25,159851,金融科技ETF,0.503,0.524,0.5,0.519,357998.0,36881515.0,3.18,0.34,4.77,0.016
2021-03-26,159851,金融科技ETF,0.519,0.524,0.515,0.521,192793.0,20065380.0,0.39,0.18,1.73,0.002
2021-03-29,159851,金融科技ETF,0.521,0.528,0.514,0.516,152297.0,15866376.0,-0.96,0.15,2.69,-0.005
2021-03-30,159851,金融科技ETF,0.511,0.526,0.511,0.513,88277.0,9080189.0,-0.58,0.08,2.91,-0.003
2021-03-31,159851,金融科技ETF,0.515,0.521,0.514,0.516,139225.0,14420406.0,0.58,0.13,1.36,0.003
2021-04-01,159851,金融科技ETF,0.519,0.519,0.512,0.517,101839.0,10492813.0,0.19,0.1,1.36,0.001
2021-04-02,159851,金融科技ETF,0.516,0.526,0.516,0.521,68272.0,7130440.0,0.77,0.07,1.93,0.004
2021-04-06,159851,金融科技ETF,0.522,0.525,0.519,0.523,88879.0,9257415.0,0.38,0.08,1.15,0.002
2021-04-07,159851,金融科技ETF,0.518,0.521,0.514,0.518,47216.0,4872863.0,-0.96,0.05,1.34,-0.005
2021-04-08,159851,金融科技ETF,0.518,0.518,0.513,0.514,42270.0,4354229.0,-0.77,0.04,0.97,-0.004
2021-04-09,159851,金融科技ETF,0.517,0.517,0.509,0.512,77555.0,7923456.0,-0.39,0.07,1.56,-0.002
2021-04-12,159851,金融科技ETF,0.511,0.513,0.503,0.506,58584.0,5961414.0,-1.17,0.06,1.95,-0.006
2021-04-13,159851,金融科技ETF,0.508,0.513,0.504,0.51,35741.0,3648190.0,0.79,0.03,1.78,0.004
2021-04-14,159851,金融科技ETF,0.514,0.517,0.509,0.517,54575.0,5614049.0,1.37,0.05,1.57,0.007
2021-04-15,159851,金融科技ETF,0.516,0.523,0.513,0.517,70587.0,7323346.0,0.0,0.07,1.93,0.0
2021-04-16,159851,金融科技ETF,0.517,0.53,0.516,0.529,134847.0,14196130.0,2.32,0.13,2.71,0.012
2021-04-19,159851,金融科技ETF,0.529,0.54,0.524,0.538,78212.0,8353283.0,1.7,0.07,3.02,0.009
2021-04-20,159851,金融科技ETF,0.539,0.544,0.534,0.534,74314.0,7992891.0,-0.74,0.07,1.86,-0.004
2021-04-21,159851,金融科技ETF,0.542,0.542,0.53,0.534,41674.0,4453790.0,0.0,0.04,2.25,0.0
2021-04-22,159851,金融科技ETF,0.534,0.541,0.533,0.54,52461.0,5641979.0,1.12,0.05,1.5,0.006
2021-04-23,159851,金融科技ETF,0.54,0.54,0.533,0.535,55382.0,5930727.0,-0.93,0.05,1.3,-0.005
2021-04-26,159851,金融科技ETF,0.537,0.539,0.525,0.526,35202.0,3754704.0,-1.68,0.03,2.62,-0.009
2021-04-27,159851,金融科技ETF,0.526,0.527,0.519,0.527,43647.0,4558542.0,0.19,0.04,1.52,0.001
2021-04-28,159851,金融科技ETF,0.528,0.528,0.519,0.524,36166.0,3776100.0,-0.57,0.03,1.71,-0.003
2021-04-29,159851,金融科技ETF,0.524,0.527,0.522,0.526,29036.0,3047309.0,0.38,0.03,0.95,0.002
2021-04-30,159851,金融科技ETF,0.525,0.526,0.518,0.521,42220.0,4392336.0,-0.95,0.04,1.52,-0.005
2021-05-06,159851,金融科技ETF,0.517,0.524,0.512,0.519,23848.0,2468003.0,-0.38,0.02,2.3,-0.002
2021-05-07,159851,金融科技ETF,0.519,0.524,0.516,0.517,24513.0,2543089.0,-0.39,0.02,1.54,-0.002
2021-05-10,159851,金融科技ETF,0.523,0.53,0.518,0.528,53324.0,5596272.0,2.13,0.05,2.32,0.011
2021-05-11,159851,金融科技ETF,0.528,0.532,0.522,0.529,86210.0,9112803.0,0.19,0.08,1.89,0.001
2021-05-12,159851,金融科技ETF,0.529,0.532,0.522,0.531,46790.0,4948358.0,0.38,0.04,1.89,0.002
2021-05-13,159851,金融科技ETF,0.526,0.537,0.524,0.53,25934.0,2760696.0,-0.19,0.02,2.45,-0.001
2021-05-14,159851,金融科技ETF,0.533,0.553,0.531,0.552,95130.0,10347227.0,4.15,0.09,4.15,0.022
2021-05-17,159851,金融科技ETF,0.552,0.553,0.546,0.547,46636.0,5111757.0,-0.91,0.04,1.27,-0.005
2021-05-18,159851,金融科技ETF,0.545,0.553,0.544,0.549,39714.0,4364361.0,0.37,0.04,1.65,0.002
2021-05-19,159851,金融科技ETF,0.55,0.551,0.544,0.546,19585.0,2144833.0,-0.55,0.02,1.28,-0.003
2021-05-20,159851,金融科技ETF,0.544,0.549,0.54,0.546,24105.0,2620120.0,0.0,0.02,1.65,0.0
2021-05-21,159851,金融科技ETF,0.546,0.547,0.537,0.537,20349.0,2203559.0,-1.65,0.02,1.83,-0.009
2021-05-24,159851,金融科技ETF,0.539,0.554,0.539,0.55,57811.0,6347753.0,2.42,0.06,2.79,0.013
2021-05-25,159851,金融科技ETF,0.55,0.57,0.548,0.568,44151.0,4954055.0,3.27,0.04,4.0,0.018
2021-05-26,159851,金融科技ETF,0.575,0.577,0.565,0.567,79983.0,9084134.0,-0.18,0.08,2.11,-0.001
2021-05-27,159851,金融科技ETF,0.56,0.579,0.56,0.568,39181.0,4436240.0,0.18,0.04,3.35,0.001
2021-05-28,159851,金融科技ETF,0.567,0.569,0.563,0.565,28310.0,3196220.0,-0.53,0.03,1.06,-0.003
2021-05-31,159851,金融科技ETF,0.565,0.574,0.564,0.574,33614.0,3833883.0,1.59,0.03,1.77,0.009
2021-06-01,159851,金融科技ETF,0.576,0.58,0.567,0.571,57960.0,6614604.0,-0.52,0.06,2.26,-0.003
2021-06-02,159851,金融科技ETF,0.572,0.572,0.557,0.559,72157.0,8106577.0,-2.1,0.07,2.63,-0.012
2021-06-03,159851,金融科技ETF,0.559,0.569,0.556,0.556,66035.0,7427286.0,-0.54,0.06,2.33,-0.003
2021-06-04,159851,金融科技ETF,0.549,0.56,0.549,0.553,57959.0,6402853.0,-0.54,0.06,1.98,-0.003
2021-06-07,159851,金融科技ETF,0.55,0.564,0.55,0.564,41068.0,4587571.0,1.99,0.04,2.53,0.011
2021-06-08,159851,金融科技ETF,0.565,0.575,0.565,0.567,37811.0,4301876.0,0.53,0.04,1.77,0.003
2021-06-09,159851,金融科技ETF,0.557,0.57,0.557,0.569,20900.0,2361651.0,0.35,0.02,2.29,0.002
2021-06-10,159851,金融科技ETF,0.562,0.597,0.562,0.596,93180.0,10947952.0,4.75,0.09,6.15,0.027
2021-06-11,159851,金融科技ETF,0.608,0.61,0.598,0.603,78405.0,9461600.0,1.17,0.07,2.01,0.007
2021-06-15,159851,金融科技ETF,0.597,0.612,0.595,0.602,65743.0,7957721.0,-0.17,0.06,2.82,-0.001
2021-06-16,159851,金融科技ETF,0.595,0.604,0.587,0.592,50321.0,5989733.0,-1.66,0.05,2.82,-0.01
2021-06-17,159851,金融科技ETF,0.592,0.61,0.586,0.605,63029.0,7558144.0,2.2,0.06,4.05,0.013
2021-06-18,159851,金融科技ETF,0.605,0.615,0.599,0.609,32519.0,3954063.0,0.66,0.03,2.64,0.004
2021-06-21,159851,金融科技ETF,0.602,0.62,0.602,0.62,53030.0,6535803.0,1.81,0.05,2.96,0.011
2021-06-22,159851,金融科技ETF,0.619,0.627,0.616,0.619,32626.0,4055630.0,-0.16,0.03,1.77,-0.001
2021-06-23,159851,金融科技ETF,0.622,0.622,0.611,0.618,32583.0,4006785.0,-0.16,0.03,1.78,-0.001
2021-06-24,159851,金融科技ETF,0.619,0.62,0.607,0.608,27982.0,3417684.0,-1.62,0.03,2.1,-0.01
2021-06-25,159851,金融科技ETF,0.608,0.62,0.6,0.61,46087.0,5626769.0,0.33,0.04,3.29,0.002
2021-06-28,159851,金融科技ETF,0.608,0.616,0.603,0.611,39068.0,4761904.0,0.16,0.04,2.13,0.001
2021-06-29,159851,金融科技ETF,0.605,0.623,0.603,0.605,82666.0,10120332.0,-0.98,0.08,3.27,-0.006
2021-06-30,159851,金融科技ETF,0.604,0.615,0.604,0.615,28757.0,3507960.0,1.65,0.03,1.82,0.01
2021-07-01,159851,金融科技ETF,0.615,0.62,0.59,0.593,68187.0,8178339.0,-3.58,0.07,4.88,-0.022
2021-07-02,159851,金融科技ETF,0.593,0.593,0.581,0.585,39760.0,4653194.0,-1.35,0.04,2.02,-0.008
2021-07-05,159851,金融科技ETF,0.587,0.587,0.581,0.584,26976.0,3150529.0,-0.17,0.03,1.03,-0.001
2021-07-06,159851,金融科技ETF,0.58,0.598,0.58,0.59,36255.0,4277449.0,1.03,0.03,3.08,0.006
2021-07-07,159851,金融科技ETF,0.588,0.591,0.58,0.59,45895.0,5376689.0,0.0,0.04,1.86,0.0
2021-07-08,159851,金融科技ETF,0.589,0.596,0.588,0.594,65511.0,7757020.0,0.68,0.06,1.36,0.004
2021-07-09,159851,金融科技ETF,0.594,0.594,0.582,0.588,32959.0,3855237.0,-1.01,0.03,2.02,-0.006
2021-07-12,159851,金融科技ETF,0.59,0.613,0.59,0.613,74746.0,9013896.0,4.25,0.07,3.91,0.025
2021-07-13,159851,金融科技ETF,0.614,0.625,0.608,0.61,46075.0,5641714.0,-0.49,0.04,2.77,-0.003
2021-07-14,159851,金融科技ETF,0.61,0.618,0.606,0.608,51580.0,6314473.0,-0.33,0.05,1.97,-0.002
2021-07-15,159851,金融科技ETF,0.608,0.608,0.596,0.602,33584.0,4026031.0,-0.99,0.03,1.97,-0.006
2021-07-16,159851,金融科技ETF,0.601,0.613,0.6,0.6,35695.0,4333023.0,-0.33,0.03,2.16,-0.002
2021-07-19,159851,金融科技ETF,0.6,0.605,0.588,0.59,40000.0,4725504.0,-1.67,0.04,2.83,-0.01
2021-07-20,159851,金融科技ETF,0.589,0.594,0.585,0.592,39425.0,4651664.0,0.34,0.04,1.53,0.002
2021-07-21,159851,金融科技ETF,0.596,0.611,0.596,0.611,64594.0,7840338.0,3.21,0.06,2.53,0.019
2021-07-22,159851,金融科技ETF,0.611,0.614,0.607,0.614,34089.0,4163974.0,0.49,0.03,1.15,0.003
2021-07-23,159851,金融科技ETF,0.614,0.614,0.598,0.599,37529.0,4521893.0,-2.44,0.04,2.61,-0.015
2021-07-26,159851,金融科技ETF,0.599,0.599,0.571,0.579,42457.0,4958161.0,-3.34,0.04,4.67,-0.02
2021-07-27,159851,金融科技ETF,0.578,0.585,0.567,0.568,41812.0,4824003.0,-1.9,0.04,3.11,-0.011
