date,symbol,symbol_fear,close,amount,name,market_fear,buy_quality,market_pass,symbol_pass,buy_pass
2026-08-11,159813,88.35978835978835,0.76,281031422.5,半导体ETF鹏华,58.03099017384732,73.19538926681784,True,True,True
2026-08-11,159811,83.16798941798942,2.97,24581631.675,5G50ETF,58.03099017384732,70.59948979591837,True,True,True
2026-08-11,159663,82.93650793650794,1.03,60500317.49999999,机床ETF,58.03099017384732,70.48374905517763,True,True,True
2026-08-11,512660,79.72883597883597,1.148,226375162.0,军工ETF,58.03099017384732,68.87991307634165,True,True,True
2026-08-11,159611,79.06746031746032,1.069,688752193.9999999,电力ETF,58.03099017384732,68.54922524565382,True,True,True
2026-08-11,515210,78.14153439153439,1.16,84606444.0,钢铁ETF,58.03099017384732,68.08626228269085,True,True,True
2026-08-11,512400,77.41402116402116,1.92,2126980479.75,有色金属ETF,58.03099017384732,67.72250566893425,True,True,True
2026-08-11,159565,76.02935592002748,1.336,28432837.5,汽车零部件ETF,58.03099017384732,67.0301730469374,True,True,True
2026-08-11,159902,74.30555555555556,4.71,4662157.500000001,中小板ETF,58.03099017384732,66.16827286470144,True,True,True
2026-08-11,512950,73.04894179894181,1.519,8991144.45,央企改革ETF,58.03099017384732,65.53996598639456,True,True,True
2026-08-11,159870,71.494708994709,0.819,641722675.8,化工ETF,58.03099017384732,64.76284958427816,True,True,True
2026-08-11,159887,71.23015873015873,1.309,81832999.05,银行ETF,58.03099017384732,64.63057445200303,True,True,True
2026-08-11,159755,70.1058201058201,0.981,317354150.65,电池ETF,58.03099017384732,64.06840513983371,True,True,True
2026-08-11,515790,68.1547619047619,0.868,230972802.2,光伏ETF,58.03099017384732,63.09287603930461,True,False,False
2026-08-11,159996,67.69179894179894,1.432,60598894.12499999,家电ETF,58.03099017384732,62.86139455782313,True,False,False
2026-08-11,159666,67.3941798941799,0.971,20276004.0,交通运输ETF,58.03099017384732,62.712585034013614,True,False,False
2026-08-11,516750,66.26984126984127,0.591,11803309.2,建材ETF,58.03099017384732,62.1504157218443,True,False,False
2026-08-11,159825,65.90608465608466,0.73,102049256.5,农业ETF,58.03099017384732,61.96853741496599,True,False,False
2026-08-11,512980,64.05423280423281,0.87,315582157.9,传媒ETF,58.03099017384732,61.04261148904007,True,False,False
2026-08-11,512720,60.41666666666667,1.22,37527498.25,计算机ETF,58.03099017384732,59.22382842025699,True,False,False
2026-08-11,516970,59.25925925925926,1.119,40251587.74999999,基建ETF,58.03099017384732,58.64512471655329,True,False,False
2026-08-11,159766,57.242063492063494,0.569,133232887.0,旅游ETF,58.03099017384732,57.63652683295541,True,False,False
2026-08-11,159930,54.19973544973545,1.718,90962726.625,能源ETF,58.03099017384732,56.115362811791385,True,False,False
2026-08-11,159768,52.51322751322751,0.443,61825291.25000001,房地产ETF,58.03099017384732,55.27210884353742,True,False,False
2026-08-11,515170,48.87566137566137,0.48,135454790.1,食品饮料ETF,58.03099017384732,53.45332577475435,True,False,False
2026-08-11,159883,47.652116402116405,0.446,83530585.60000001,医疗器械ETF,58.03099017384732,52.84155328798187,True,False,False
2026-08-11,512880,45.304232804232804,1.093,1517811942.5,证券ETF,58.03099017384732,51.66761148904006,True,False,False
2026-08-11,560080,42.32804232804233,1.003,82063175.625,中药ETF,58.03099017384732,50.17951625094483,True,False,False
2026-08-11,510880,40.74074074074074,3.31,560663568.75,红利ETF,58.03099017384732,49.38586545729403,True,False,False
2026-08-11,159992,38.82275132275132,0.922,1430180255.95,创新药ETF,58.03099017384732,48.42687074829932,True,False,False
