line,symbol,name,entry_date,exit_date,ret,cash_before,cash_after,source_variant,line_eval,variant
C,515210,钢铁ETF,2021-01-05,2021-03-04,0.2447665056360708,10000.0,12447.665056360709,,C,baseline_forced
C,159902,中小板ETF,2021-03-05,2021-05-06,-0.0593521421107627,12447.665056360709,11708.869470988413,,C,baseline_forced
C,512880,证券ETF,2021-05-07,2021-07-05,0.0407149950347569,11708.869470988413,12185.596033362324,,C,baseline_forced
C,159930,能源ETF,2021-07-06,2021-08-31,0.2010309278350515,12185.596033362324,14635.277710172275,,C,baseline_forced
C,512880,证券ETF,2021-09-01,2021-11-05,-0.0658119658119658,14635.277710172275,13672.101313861793,,C,baseline_forced
C,516970,基建ETF,2021-11-08,2022-01-04,0.1094890510948904,13672.101313861793,15169.046713189726,,C,baseline_forced
C,159813,半导体ETF鹏华,2022-01-05,2022-03-09,-0.0868232890704799,15169.046713189726,13852.020185486841,,C,baseline_forced
C,512950,央企改革ETF,2022-03-10,2022-05-12,-0.0866721177432543,13852.020185486841,12651.43626098839,,C,baseline_forced
C,159811,5G50ETF,2022-05-13,2022-07-11,0.0724137931034483,12651.43626098839,13567.574748853067,,C,baseline_forced
C,159930,能源ETF,2022-07-12,2022-09-06,0.1987179487179486,13567.574748853067,16263.695372022587,,C,baseline_forced
C,159813,半导体ETF鹏华,2022-09-07,2022-11-10,-0.1192052980132448,16263.695372022587,14324.976718404005,,C,baseline_forced
C,512660,军工ETF,2022-11-11,2023-01-09,-0.0695876288659793,14324.976718404005,13328.135555009912,,C,baseline_forced
C,159825,农业ETF,2023-01-10,2023-03-14,0.0150637311703361,13328.135555009912,13528.90700601238,,C,baseline_forced
C,516750,建材ETF,2023-03-15,2023-05-16,-0.1162280701754385,13528.90700601238,11956.46825312059,,C,baseline_forced
C,512950,央企改革ETF,2023-05-17,2023-07-14,0.0328125000000001,11956.46825312059,12348.789867676112,,C,baseline_forced
C,515170,食品饮料ETF,2023-07-17,2023-09-11,0.0174418604651163,12348.789867676112,12564.17573746116,,C,baseline_forced
C,515790,光伏ETF,2023-09-12,2023-11-15,-0.0577864838393731,12564.17573746116,11838.136199253317,,C,baseline_forced
C,515790,光伏ETF,2023-11-16,2024-01-12,-0.055793991416309,11838.136199253317,11177.63932976708,,C,baseline_forced
C,512950,央企改革ETF,2024-01-15,2024-03-19,0.104888888888889,11177.63932976708,12350.049499467095,,C,baseline_forced
C,515790,光伏ETF,2024-03-20,2024-05-22,-0.0653889515219843,12350.049499467095,11542.492711452334,,C,baseline_forced
C,515790,光伏ETF,2024-05-23,2024-07-19,-0.1425030978934326,11542.492711452334,9897.65174265801,,C,baseline_forced
C,515790,光伏ETF,2024-07-22,2024-09-18,-0.0780346820809247,9897.65174265801,9125.291635571983,,C,baseline_forced
C,515170,食品饮料ETF,2024-09-19,2024-11-21,0.2836134453781513,9125.291635571983,11713.347036416979,,C,baseline_forced
C,512950,央企改革ETF,2024-11-22,2025-01-20,-0.0232035928143713,11713.347036416979,11441.555301290537,,C,baseline_forced
C,512950,央企改革ETF,2025-01-21,2025-03-26,0.0153609831029186,11441.555301290537,11617.30883894477,,C,baseline_forced
C,159902,中小板ETF,2025-03-27,2025-05-28,-0.0607623961020349,11617.30883894477,10911.413317633136,,C,baseline_forced
C,510880,红利ETF,2025-05-29,2025-07-25,0.0595238095238095,10911.413317633136,11560.90220558749,,C,baseline_forced
C,159768,房地产ETF,2025-07-28,2025-09-22,0.0511945392491468,11560.90220558749,12152.757267306988,,C,baseline_forced
C,515210,钢铁ETF,2025-09-23,2025-11-26,0.0647534952170714,12152.757267306988,12939.690776889782,,C,baseline_forced
C,512950,央企改革ETF,2025-11-27,2026-01-26,0.1033262561924981,12939.690776889782,14276.7005811544,,C,baseline_forced
C,515170,食品饮料ETF,2026-01-27,2026-04-01,-0.0113421550094517,14276.7005811544,14114.772030139418,,C,baseline_forced
C,159930,能源ETF,2026-04-02,2026-06-03,0.0223495702005729,14114.772030139418,14430.231118492102,,C,baseline_forced
C,512660,军工ETF,2026-06-04,2026-07-31,-0.1447574334898279,14430.231118492102,12341.347897114138,,C,baseline_forced
C,515210,钢铁ETF,2021-01-05,2021-03-04,0.2447665056360708,10000.0,12447.665056360709,,C,roll_q_profit_keep70
C,159902,中小板ETF,2021-03-05,2021-05-06,-0.0593521421107627,12447.665056360709,11708.869470988413,,C,roll_q_profit_keep70
C,512880,证券ETF,2021-05-07,2021-07-05,0.0407149950347569,11708.869470988413,12185.596033362324,,C,roll_q_profit_keep70
C,159930,能源ETF,2021-07-06,2021-08-31,0.2010309278350515,12185.596033362324,14635.277710172275,,C,roll_q_profit_keep70
C,512880,证券ETF,2021-09-01,2021-11-05,-0.0658119658119658,14635.277710172275,13672.101313861793,,C,roll_q_profit_keep70
C,516970,基建ETF,2021-11-08,2022-01-04,0.1094890510948904,13672.101313861793,15169.046713189726,,C,roll_q_profit_keep70
C,159813,半导体ETF鹏华,2022-01-05,2022-03-09,-0.0868232890704799,15169.046713189726,13852.020185486841,,C,roll_q_profit_keep70
C,512950,央企改革ETF,2022-03-10,2022-05-12,-0.0866721177432543,13852.020185486841,12651.43626098839,,C,roll_q_profit_keep70
C,159811,5G50ETF,2022-05-13,2022-07-11,0.0724137931034483,12651.43626098839,13567.574748853067,,C,roll_q_profit_keep70
