line,variant,min_retention,score_mode,signal_retention,raw_signals,trades,final,total_return,cagr,win_rate,avg_trade,max_drawdown,pass_frequency
C,baseline_forced,1.0,baseline,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_profit_keep70,0.7,profit,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_balanced_keep70,0.7,balanced,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_win_keep70,0.7,win,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_profit_keep80,0.8,profit,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_balanced_keep80,0.8,balanced,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_win_keep80,0.8,win,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_profit_keep90,0.9,profit,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_balanced_keep90,0.9,balanced,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
C,roll_q_win_keep90,0.9,win,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,True
S,baseline_forced,1.0,baseline,1.0,869,79,13817.623664828881,0.3817623664828882,0.05951435505819336,0.4936708860759494,0.00669994451911646,-0.33510457460055887,True
S,roll_q_profit_keep70,0.7,profit,0.9021864211737629,784,78,13151.549269169562,0.31515492691695624,0.050222341927101066,0.47435897435897434,0.006490464148971285,-0.5087082496887112,True
S,roll_q_balanced_keep70,0.7,balanced,0.9436133486766398,820,78,10042.941529856604,0.004294152985660382,0.0007667391558550118,0.4230769230769231,0.0029082347085232197,-0.624833985601703,True
S,roll_q_win_keep70,0.7,win,0.9482163406214039,824,78,11773.76183863964,0.17737618386396403,0.02972653132595493,0.48717948717948717,0.007222733131594715,-0.5221142637330075,True
S,roll_q_profit_keep80,0.8,profit,0.9666283084004603,840,78,9799.281319644879,-0.020071868035512086,-0.0036308313055870567,0.44871794871794873,0.002061965807038551,-0.5387502225722903,True
S,roll_q_balanced_keep80,0.8,balanced,0.9666283084004603,840,78,9799.281319644879,-0.020071868035512086,-0.0036308313055870567,0.44871794871794873,0.002061965807038551,-0.5387502225722903,True
S,roll_q_win_keep80,0.8,win,0.9482163406214039,824,78,11773.76183863964,0.17737618386396403,0.02972653132595493,0.48717948717948717,0.007222733131594715,-0.5221142637330075,True
S,roll_q_profit_keep90,0.9,profit,0.9735327963176065,846,78,9520.439625432839,-0.04795603745671617,-0.008777493595276908,0.4358974358974359,0.0018164236669549671,-0.5387502225722903,True
S,roll_q_balanced_keep90,0.9,balanced,0.9735327963176065,846,78,9520.439625432839,-0.04795603745671617,-0.008777493595276908,0.4358974358974359,0.0018164236669549671,-0.5387502225722903,True
S,roll_q_win_keep90,0.9,win,0.9815880322209436,853,78,9892.65954503011,-0.010734045496988975,-0.0019370314749557194,0.4358974358974359,0.0022741039614142247,-0.5387502225722903,True
D,baseline_forced,1.0,baseline,1.0,1355,40,13698.911148952628,0.36989111489526283,0.058056538786254386,0.5,0.010545034998099796,-0.2838620103592915,True
D,roll_q_profit_keep70,0.7,profit,0.8715867158671586,1181,31,14142.07433262742,0.4142074332627421,0.06411404767596252,0.5161290322580645,0.014319040591262803,-0.2838620103592915,True
D,roll_q_balanced_keep70,0.7,balanced,0.9387453874538746,1272,35,11814.428748750426,0.18144287487504251,0.0303485571313864,0.45714285714285713,0.007343094317459815,-0.2838620103592915,True
D,roll_q_win_keep70,0.7,win,0.9955719557195571,1349,40,14123.681682050024,0.41236816820500244,0.06386576268181088,0.5,0.011309757968426731,-0.2838620103592915,True
D,roll_q_profit_keep80,0.8,profit,0.8789667896678967,1191,32,13448.270320526772,0.3448270320526772,0.05455903102580062,0.46875,0.01221506548041852,-0.2968924353780661,True
D,roll_q_balanced_keep80,0.8,balanced,0.9387453874538746,1272,35,11814.428748750426,0.18144287487504251,0.0303485571313864,0.45714285714285713,0.007343094317459815,-0.2838620103592915,True
D,roll_q_win_keep80,0.8,win,0.9955719557195571,1349,40,14123.681682050024,0.41236816820500244,0.06386576268181088,0.5,0.011309757968426731,-0.2838620103592915,True
D,roll_q_profit_keep90,0.9,profit,0.9527675276752767,1291,35,13867.702770793703,0.3867702770793704,0.06038242179462738,0.5142857142857142,0.012295021199754229,-0.2838620103592915,True
D,roll_q_balanced_keep90,0.9,balanced,0.9616236162361623,1303,36,13459.907112598863,0.34599071125988634,0.05472259316521311,0.5,0.01123979993296523,-0.2838620103592915,True
D,roll_q_win_keep90,0.9,win,0.9955719557195571,1349,40,14123.681682050024,0.41236816820500244,0.06386576268181088,0.5,0.011309757968426731,-0.2838620103592915,True
V,baseline_ma120,1.0,baseline,1.0,373,2,13228.688140968841,0.32286881409688406,0.057177688159919526,1.0,0.1510073746915852,0.0,True
