line,variant,signal_retention,raw_signals,trades,final,total_return,cagr,win_rate,avg_trade,max_drawdown,realized_pnl,open_batches
C,strict_rolling_exit_selector,1.0,1356,34,15525.004713761378,0.5525004713761379,0.08189808342071636,0.5,0.019291736672417598,-0.4389164684386767,,
C,baseline,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,,
S,strict_rolling_exit_selector,1.0,869,80,19587.739704522657,0.9587739704522658,0.12838701257349316,0.4875,0.011772966471958708,-0.4450397467324273,,
S,baseline,1.0,869,79,13817.623664828881,0.3817623664828882,0.05951435505819336,0.4936708860759494,0.00669994451911646,-0.33510457460055887,,
D,strict_rolling_exit_selector,1.0,1355,41,14930.59422239037,0.493059422239037,0.07425278020432513,0.5365853658536586,0.012706499285642072,-0.2838620103592914,,
D,baseline,1.0,1355,40,13698.911148952628,0.36989111489526283,0.058056538786254386,0.5,0.010545034998099796,-0.2838620103592915,,
V,strict_rolling_exit_selector,1.0,373,253,,,,0.7312252964426877,0.11442014820266641,,2894.8297495274605,120.0
V,baseline,1.0,373,251,,,,0.7290836653386454,0.17414865429266038,,4371.131222745775,122.0
