line,variant,signal_retention,raw_signals,trades,final,total_return,cagr,win_rate,avg_trade,max_drawdown,realized_pnl,open_batches
C,baseline,1.0,1356,33,12341.347897114138,0.23413478971141366,0.03844147752493576,0.5151515151515151,0.011945727419752781,-0.4389164684386767,,
C,tp0.1_sl-0.08_trNone_ts0.1,1.0,1356,48,9863.42101169717,-0.01365789883028301,-0.0024628078985103885,0.4583333333333333,0.003363243657835411,-0.5833612163750087,,
C,tp0.1_sl-0.08_tr0.06_ts0.1,1.0,1356,48,9863.42101169717,-0.01365789883028301,-0.0024628078985103885,0.4583333333333333,0.003363243657835411,-0.5833612163750087,,
C,tp0.1_sl-0.08_tr0.1_ts0.15,1.0,1356,48,9863.42101169717,-0.01365789883028301,-0.0024628078985103885,0.4583333333333333,0.003363243657835411,-0.5833612163750087,,
C,tp0.1_sl-0.12_trNone_ts0.1,1.0,1356,45,7120.576230976292,-0.2879423769023708,-0.05907542091590101,0.5111111111111111,-0.00214139047882824,-0.489136474762199,,
C,tp0.1_sl-0.12_tr0.06_ts0.1,1.0,1356,45,7120.576230976292,-0.2879423769023708,-0.05907542091590101,0.5111111111111111,-0.00214139047882824,-0.489136474762199,,
C,tp0.1_sl-0.12_tr0.1_ts0.15,1.0,1356,45,7120.576230976292,-0.2879423769023708,-0.05907542091590101,0.5111111111111111,-0.00214139047882824,-0.489136474762199,,
C,tp0.1_slNone_trNone_ts0.1,1.0,1356,38,11593.671814952066,0.15936718149520668,0.02681631145878738,0.4473684210526316,0.008565604364640083,-0.3990268664658705,,
C,tp0.1_slNone_tr0.06_ts0.1,1.0,1356,38,11593.671814952066,0.15936718149520668,0.02681631145878738,0.4473684210526316,0.008565604364640083,-0.3990268664658705,,
C,tp0.1_slNone_tr0.1_ts0.15,1.0,1356,38,11593.671814952066,0.15936718149520668,0.02681631145878738,0.4473684210526316,0.008565604364640083,-0.3990268664658705,,
C,tp0.15_sl-0.08_trNone_ts0.1,1.0,1356,43,11584.862104721302,0.1584862104721303,0.026676637283022053,0.4883720930232558,0.007569822288563718,-0.5999074142744858,,
C,tp0.15_sl-0.08_tr0.06_ts0.1,1.0,1356,46,10732.205421539622,0.07322054215396223,0.012726066990045082,0.45652173913043476,0.005727260545708756,-0.6015421132968575,,
C,tp0.15_sl-0.08_tr0.1_ts0.15,1.0,1356,43,11584.862104721302,0.1584862104721303,0.026676637283022053,0.4883720930232558,0.007569822288563718,-0.5999074142744858,,
C,tp0.15_sl-0.12_trNone_ts0.1,1.0,1356,37,24669.992984465072,1.4669992984465074,0.1761354019877197,0.6216216216216216,0.029738119980750908,-0.274871647578358,,
C,tp0.15_sl-0.12_tr0.06_ts0.1,1.0,1356,42,18459.100157836543,0.8459100157836543,0.11593802401325148,0.5714285714285714,0.020662792035222075,-0.3741032596967425,,
C,tp0.15_sl-0.12_tr0.1_ts0.15,1.0,1356,37,24669.992984465072,1.4669992984465074,0.1761354019877197,0.6216216216216216,0.029738119980750908,-0.274871647578358,,
C,tp0.15_slNone_trNone_ts0.1,1.0,1356,35,14991.704952022848,0.49917049520228485,0.07515150096219259,0.4857142857142857,0.01727876237631838,-0.5419014272459113,,
C,tp0.15_slNone_tr0.06_ts0.1,1.0,1356,37,14476.284751616176,0.44762847516161774,0.06844118010596012,0.4594594594594595,0.015997060510728606,-0.41969712497734746,,
C,tp0.15_slNone_tr0.1_ts0.15,1.0,1356,35,14991.704952022848,0.49917049520228485,0.07515150096219259,0.4857142857142857,0.01727876237631838,-0.5419014272459113,,
C,tp0.2_sl-0.08_trNone_ts0.1,1.0,1356,43,8294.314569047056,-0.17056854309529446,-0.033089020309565176,0.4186046511627907,-0.00019188978061470918,-0.5942712710957769,,
C,tp0.2_sl-0.08_tr0.06_ts0.1,1.0,1356,45,7229.540948844632,-0.27704590511553684,-0.056698900842675926,0.4222222222222222,-0.0034995807117595744,-0.599213181064008,,
C,tp0.2_sl-0.08_tr0.1_ts0.15,1.0,1356,43,8294.314569047056,-0.17056854309529446,-0.033089020309565176,0.4186046511627907,-0.00019188978061470918,-0.5942712710957769,,
C,tp0.2_sl-0.12_trNone_ts0.1,1.0,1356,36,17665.331433633513,0.7665331433633513,0.10763851599178764,0.5277777777777778,0.021393219812291378,-0.4208226682212396,,
C,tp0.2_sl-0.12_tr0.06_ts0.1,1.0,1356,38,10521.755964827289,0.05217559648272885,0.009261794303372373,0.47368421052631576,0.007666375730956531,-0.45681885124516663,,
C,tp0.2_sl-0.12_tr0.1_ts0.15,1.0,1356,36,17665.331433633513,0.7665331433633513,0.10763851599178764,0.5277777777777778,0.021393219812291378,-0.4208226682212396,,
C,tp0.2_slNone_trNone_ts0.1,1.0,1356,34,10617.075982623192,0.0617075982623192,0.01092939445872454,0.47058823529411764,0.006537346866893992,-0.5148223906353109,,
C,tp0.2_slNone_tr0.06_ts0.1,1.0,1356,36,12786.935896029463,0.2786935896029463,0.045431606070602815,0.4444444444444444,0.01120496472360389,-0.37587722117460964,,
C,tp0.2_slNone_tr0.1_ts0.15,1.0,1356,34,10149.758860514214,0.014975886051421305,0.0026834499725958416,0.5,0.0045776287189692524,-0.5148223906353109,,
C,tpNone_sl-0.08_trNone_ts0.1,1.0,1356,42,8559.310460686389,-0.1440689539313611,-0.027602189092506335,0.40476190476190477,0.0017171526174900229,-0.594271271095777,,
C,tpNone_sl-0.08_tr0.06_ts0.1,1.0,1356,42,8358.382256887864,-0.1641617743112136,-0.03174944245598588,0.42857142857142855,0.00025081164083578286,-0.5840507592411195,,
C,tpNone_sl-0.08_tr0.1_ts0.15,1.0,1356,42,7582.095217329727,-0.24179047826702726,-0.048582917764435574,0.40476190476190477,-0.0024185872100642284,-0.594271271095777,,
C,tpNone_sl-0.12_trNone_ts0.1,1.0,1356,36,10103.740513679084,0.010374051367908477,0.0018605071343804624,0.5,0.007996808518483275,-0.5036691987717518,,
C,tpNone_sl-0.12_tr0.06_ts0.1,1.0,1356,37,10846.757710226006,0.08467577102260049,0.014710158594219536,0.4864864864864865,0.009193436924753376,-0.5036691987717519,,
C,tpNone_sl-0.12_tr0.1_ts0.15,1.0,1356,36,11990.527914677408,0.1990527914677409,0.03323487964485383,0.5,0.012604129171101831,-0.5036691987717518,,
C,tpNone_slNone_tr0.06_ts0.1,1.0,1356,35,15843.779715846451,0.5843779715846451,0.08619237849243566,0.5142857142857142,0.017913478278220145,-0.41741959914360527,,
