source,symbol,exists,rows,start,end,duplicate_dates,invalid_rows,bad_ohlc,review_jumps,hard_jumps,passed,reason
S_staging,159666,True,849,2023-02-13,2026-08-11,0,0,0,0,0,True,ok
S_staging,512660,True,2430,2016-08-08,2026-08-11,0,0,0,0,0,True,ok
S_staging,516970,True,1238,2021-07-05,2026-08-11,0,0,0,0,0,True,ok
S_staging,512950,True,1833,2019-01-18,2026-08-11,0,0,0,0,0,True,ok
S_staging,560080,True,928,2022-10-17,2026-08-11,0,0,0,0,0,True,ok
S_staging,159992,True,1537,2020-04-10,2026-08-11,0,0,0,0,0,True,ok
S_staging,159883,True,1280,2021-04-30,2026-08-11,0,0,0,0,0,True,ok
S_staging,516750,True,1156,2021-11-05,2026-08-11,0,0,0,0,0,True,ok
S_staging,512400,True,2169,2017-09-01,2026-08-11,0,0,0,0,0,True,ok
S_staging,159611,True,1112,2022-01-07,2026-08-11,0,0,0,0,0,True,ok
S_staging,159930,True,3131,2013-09-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,515210,True,1565,2020-03-02,2026-08-11,0,0,0,1,0,True,ok
S_staging,159902,True,4032,2010-01-04,2026-08-11,0,0,0,0,0,True,ok
S_staging,510880,True,4754,2007-01-18,2026-08-11,0,0,0,1,0,True,ok
S_staging,515790,True,1368,2020-12-18,2026-08-11,0,0,0,0,0,True,ok
S_staging,159870,True,1321,2021-03-03,2026-08-11,0,0,0,0,0,True,ok
S_staging,159663,True,921,2022-10-26,2026-08-11,0,0,0,0,0,True,ok
S_staging,159565,True,598,2024-02-26,2026-08-11,0,0,0,0,0,True,ok
S_staging,159755,True,1245,2021-06-24,2026-08-11,0,0,0,0,0,True,ok
S_staging,512980,True,2075,2018-01-19,2026-08-11,0,0,0,0,0,True,ok
S_staging,159825,True,1361,2020-12-29,2026-08-11,0,0,0,0,0,True,ok
S_staging,159996,True,1555,2020-03-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,159766,True,1224,2021-07-23,2026-08-11,0,0,0,0,0,True,ok
S_staging,515170,True,1351,2021-01-13,2026-08-11,0,0,0,0,0,True,ok
S_staging,159811,True,1529,2020-04-22,2026-08-11,0,0,0,0,0,True,ok
S_staging,159813,True,1509,2020-05-25,2026-08-11,0,0,0,0,0,True,ok
S_staging,512720,True,1693,2019-08-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,159768,True,1089,2022-02-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,512880,True,2430,2016-08-08,2026-08-11,0,0,0,0,0,True,ok
S_staging,159887,True,1269,2021-05-20,2026-08-11,0,0,0,0,0,True,ok
S_staging,510050,True,4032,2010-01-04,2026-08-11,0,0,0,2,0,True,ok
S_staging,510300,True,3453,2012-05-28,2026-08-11,0,0,0,6,0,True,ok
S_staging,510500,True,3256,2013-03-15,2026-08-11,0,0,0,0,0,True,ok
S_staging,512100,True,2372,2016-11-04,2026-08-11,0,0,0,0,0,True,ok
S_staging,159915,True,3561,2011-12-09,2026-08-11,0,0,0,4,0,True,ok
S_staging,588000,True,1392,2020-11-16,2026-08-11,0,0,0,3,0,True,ok
S_staging,512890,True,1832,2019-01-18,2026-08-11,0,0,0,0,0,True,ok
S_staging,518880,True,3170,2013-07-29,2026-08-11,0,0,0,0,0,True,ok
S_staging,164701,True,3426,2012-03-01,2026-08-11,0,0,0,0,0,True,ok
S_staging,161226,True,2666,2015-08-17,2026-08-11,0,0,0,0,0,True,ok
S_staging,161715,True,2176,2017-07-14,2026-08-11,0,0,0,0,0,True,ok
S_staging,501018,True,2457,2016-06-28,2026-08-11,0,0,0,0,0,True,ok
S_staging,162411,True,3294,2012-06-08,2026-08-11,0,0,0,0,0,True,ok
S_staging,511010,True,3252,2013-03-25,2026-08-11,0,0,0,0,0,True,ok
S_staging,511260,True,2174,2017-08-24,2026-08-11,0,0,0,0,0,True,ok
S_staging,159941,True,2693,2015-07-13,2026-08-11,0,0,0,0,0,True,ok
S_staging,513500,True,3055,2014-01-15,2026-08-11,0,0,0,0,0,True,ok
S_staging,513520,True,1731,2019-06-25,2026-08-11,0,0,0,0,0,True,ok
S_staging,513030,True,2897,2014-09-05,2026-08-11,0,0,0,0,0,True,ok
S_staging,513050,True,2321,2017-01-18,2026-08-11,0,0,0,0,0,True,ok
S_staging,513600,True,2804,2015-01-26,2026-08-11,0,0,0,0,0,True,ok
S_staging,159954,True,2041,2018-03-15,2026-08-11,0,0,0,0,0,True,ok
S_staging,513580,True,1264,2021-05-27,2026-08-11,0,0,0,0,0,True,ok
S_staging,513060,True,1303,2021-03-29,2026-08-11,0,0,0,0,0,True,ok
S_staging,512010,True,3110,2013-10-28,2026-08-11,0,0,0,0,0,True,ok
S_staging,512690,True,647,2023-12-08,2026-08-11,0,0,0,0,0,True,ok
S_staging,515030,True,1563,2020-03-04,2026-08-11,0,0,0,0,0,True,ok
S_staging,159851,True,1309,2021-03-19,2026-08-11,0,0,0,0,0,True,ok
S_staging,159852,True,1332,2021-02-09,2026-08-11,0,0,0,0,0,True,ok
S_staging,501059,True,1739,2018-07-26,2026-08-11,0,0,0,7,0,True,ok
S_staging,501225,True,806,2023-04-14,2026-08-11,0,0,0,0,0,True,ok
S_staging,159616,True,972,2022-08-08,2026-08-11,0,0,0,0,0,True,ok
