selector,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum
all_priority_bias_min3,1513,0.6021150033046927,0.03498610365863658,52.93397483551714,2.898754584213066,6.616746854439643,-0.2337857970941662
no_quality_priority_bias_min3,1513,0.6021150033046927,0.03498610365863658,52.93397483551714,2.898754584213066,6.616746854439643,-0.2337857970941662
priority_only_priority_bias_min3,1513,0.6021150033046927,0.03498610365863658,52.93397483551714,2.898754584213066,6.616746854439643,-0.2337857970941662
all_priority_bias_min2,1445,0.6055363321799307,0.03498577742372901,50.55444837728842,2.915676366758004,6.319306047161052,-0.2337857970941662
no_quality_priority_bias_min2,1445,0.6055363321799307,0.03498577742372901,50.55444837728842,2.915676366758004,6.319306047161052,-0.2337857970941662
priority_only_priority_bias_min2,1445,0.6055363321799307,0.03498577742372901,50.55444837728842,2.915676366758004,6.319306047161052,-0.2337857970941662
all_priority_bias_min5,1513,0.5994712491738269,0.03287230827782368,49.73580242434723,2.7151588740812342,6.2169753030434025,-0.2337857970941662
no_quality_priority_bias_min5,1513,0.5994712491738269,0.03287230827782368,49.73580242434723,2.7151588740812342,6.2169753030434025,-0.2337857970941662
priority_only_priority_bias_min5,1513,0.5994712491738269,0.03287230827782368,49.73580242434723,2.7151588740812342,6.2169753030434025,-0.2337857970941662
priority_only_minimax_min3,1513,0.6100462656972901,0.032483903455634185,49.148145928374525,2.8415180600540766,6.143518241046816,-0.2337857970941662
priority_only_simple_sum_min3,1513,0.6100462656972901,0.032483903455634185,49.148145928374525,2.8415180600540766,6.143518241046816,-0.2337857970941662
all_minimax_min3,1513,0.6014540647719762,0.031986119947459785,48.394999480506655,2.7821502019894404,6.049374935063332,-0.2337857970941662
all_simple_sum_min3,1513,0.6014540647719762,0.031986119947459785,48.394999480506655,2.7821502019894404,6.049374935063332,-0.2337857970941662
priority_only_minimax_min5,1513,0.6093853271645737,0.03192723541174876,48.30590717797587,2.7968331711708654,6.038238397246983,-0.2337857970941662
priority_only_simple_sum_min5,1513,0.6093853271645737,0.03192723541174876,48.30590717797587,2.7968331711708654,6.038238397246983,-0.2337857970941662
priority_only_recent2_min3,1513,0.6113681427627231,0.031900346916269175,48.265224884315266,2.7539140094685055,6.033153110539407,-1.1167068411534284
all_minimax_min2,1513,0.6014540647719762,0.031892407668526156,48.25321280248008,2.776928894837939,6.03165160031001,-0.2337857970941662
no_quality_minimax_min3,1513,0.6040978189028421,0.031437700614551194,47.56524102981596,2.7280987371094505,5.945655128726994,-0.2337857970941662
no_quality_simple_sum_min3,1513,0.6040978189028421,0.031437700614551194,47.56524102981596,2.7280987371094505,5.945655128726994,-0.2337857970941662
all_recent2_min3,1513,0.6027759418374091,0.03140256340809477,47.51207843644738,2.697766414293664,5.939009804555924,-1.1167068411534284
priority_only_recent2_min5,1513,0.6107072042300066,0.03134367887238375,47.42298613391661,2.711183190425354,5.927873266739575,-1.1167068411534284
all_recent2_min2,1513,0.6027759418374091,0.03130885112916115,47.37029175842082,2.6926998992543405,5.921286469802602,-1.1167068411534284
priority_only_minimax_min2,1445,0.613840830449827,0.03236582662293828,46.76861947014581,2.8558579629955263,5.846077433768225,-0.2337857970941662
priority_only_simple_sum_min2,1445,0.613840830449827,0.03236582662293828,46.76861947014581,2.8558579629955263,5.846077433768225,-0.2337857970941662
all_minimax_min5,1513,0.6034368803701256,0.030881032570665764,46.7230022794173,2.685558797813824,5.840375284927162,-0.2337857970941662
all_simple_sum_min5,1513,0.6034368803701256,0.030881032570665764,46.7230022794173,2.685558797813824,5.840375284927162,-0.2337857970941662
no_quality_minimax_min5,1513,0.6034368803701256,0.030881032570665764,46.7230022794173,2.685558797813824,5.840375284927162,-0.2337857970941662
no_quality_simple_sum_min5,1513,0.6034368803701256,0.030881032570665764,46.7230022794173,2.685558797813824,5.840375284927162,-0.2337857970941662
no_quality_recent2_min3,1513,0.6054196959682749,0.030854144075186187,46.6823199857567,2.6463952937627298,5.8352899982195865,-1.1167068411534284
all_simple_sum_min2,1445,0.6048442906574395,0.03184976808282946,46.02291487968857,2.793076778389457,5.752864359961071,-0.2337857970941662
priority_only_recent2_min2,1445,0.6152249134948097,0.03175480859936785,45.88569842608654,2.7627877117087247,5.735712303260817,-1.1167068411534284
all_recent2_min5,1513,0.6047587574355585,0.030297476031300754,45.84008123535804,2.605649593199951,5.7300101544197535,-1.1167068411534284
no_quality_recent2_min5,1513,0.6047587574355585,0.030297476031300754,45.84008123535804,2.605649593199951,5.7300101544197535,-1.1167068411534284
no_quality_minimax_min2,1445,0.6076124567474048,0.03127039070698079,45.18571457158724,2.7354946242233256,5.648214321448403,-0.2337857970941662
no_quality_simple_sum_min2,1445,0.6076124567474048,0.03127039070698079,45.18571457158724,2.7354946242233256,5.648214321448403,-0.2337857970941662
no_quality_recent2_min2,1445,0.6089965397923875,0.030659372683410364,44.302793527527975,2.6490363479872197,5.537849190940996,-1.1167068411534284
