symbol,selected_source,selected_path,passed
159666,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159666.csv,True
512660,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\512660.csv,True
516970,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\516970.csv,True
512950,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\512950.csv,True
560080,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\560080.csv,True
159992,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159992.csv,True
159883,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159883.csv,True
516750,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\516750.csv,True
512400,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\512400.csv,True
159611,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159611.csv,True
159930,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159930.csv,True
515210,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\515210.csv,True
159902,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159902.csv,True
510880,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\510880.csv,True
515790,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\515790.csv,True
159870,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159870.csv,True
159663,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159663.csv,True
159565,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159565.csv,True
159755,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159755.csv,True
512980,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\512980.csv,True
159825,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159825.csv,True
159996,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159996.csv,True
159766,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159766.csv,True
515170,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\515170.csv,True
159811,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159811.csv,True
159813,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159813.csv,True
512720,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\512720.csv,True
159768,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159768.csv,True
512880,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\512880.csv,True
159887,C_existing,C:\Users\10619\Desktop\gsqh\C\raw\etf\159887.csv,True
