artifact,path,exists,passed,excluded_symbols
C_hybrid_formal,C:\Users\10619\Desktop\gsqh\C\fit\hybrid_formal\final_trades.csv,True,True,
S_selector_formal,C:\Users\10619\Desktop\gsqh\S\fit\selector\final_trades.csv,True,True,
