symbol,overlap_returns,return_correlation,max_abs_return_difference,passed,selected_path,reference_path
159666,847,0.9999999999999998,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159666.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159666.csv
512660,2428,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\512660.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\512660.csv
516970,1236,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\516970.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\516970.csv
512950,1831,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\512950.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\512950.csv
560080,926,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\560080.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\560080.csv
159992,1535,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159992.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159992.csv
159883,1278,0.9999999999999998,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159883.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159883.csv
516750,1154,0.9999999999999998,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\516750.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\516750.csv
512400,2167,0.9999891216363626,0.0029414687468944933,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\512400.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\512400.csv
159611,1110,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159611.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159611.csv
