stage,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,meaningful_worst_year
train,175,175,0,130,0.7428571428571429,0.06500029657433841,0.042241379310344884,1137.5051900509222,0.0,1137.5051900509222,3,0.0,0.37328839318095713,0.6796116504854369
validation,26,26,0,26,1.0,0.042751214149520184,0.04468223665429627,111.15315678875248,0.0,111.15315678875248,1,1.0,0.0,1.0
shadow,21,2,19,2,1.0,0.14448815236394752,0.14448815236394752,28.897630472789505,-421.7910288094067,-392.8933983366172,1,1.0,0.0,
validation_plus_shadow,47,28,19,28,1.0,0.05001813830769357,0.04732495898001454,140.05078726154198,-421.7910288094067,-281.74024154786474,2,1.0,0.0,1.0
