period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
all,0.3,40,60,70.0,1,fear,10000.0,11256.400000000003,1256.4000000000033,0.12564000000000042,0.02151220909235496,13,13,0.5384615384615384,0.01703735015811986,0,11256.400000000003,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,40,60,70.0,1,fear,10000.0,8487.6,-1512.3999999999996,-0.15123999999999993,-0.09991004282751492,4,4,0.5,-0.029856008328856556,0,8487.6,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,40,60,75.0,1,fear,10000.0,11744.300000000001,1744.300000000001,0.17443000000000008,0.02933689326942024,13,13,0.5384615384615384,0.020382058294195114,0,11744.300000000001,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,40,60,75.0,1,fear,10000.0,8908.699999999999,-1091.300000000001,-0.10913000000000006,-0.07149331213012278,4,4,0.5,-0.015681518668324998,0,8908.699999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,40,90,65.0,1,fear,10000.0,9708.300000000005,-291.69999999999527,-0.029169999999999474,-0.005309745699676127,14,13,0.5384615384615384,0.025017239943963075,1,84.50000000000546,9623.8,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,40,90,65.0,1,fear,10000.0,8335.3,-1664.7000000000007,-0.16647000000000012,-0.11031123962903144,4,3,0.6666666666666666,0.04018448930674517,1,98.69999999999891,8236.6,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,40,90,70.0,1,fear,10000.0,14759.7,4759.700000000001,0.47597,0.07252267691580583,12,12,0.5,0.038134137648604294,0,14759.7,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,40,90,70.0,1,fear,10000.0,12658.8,2658.7999999999993,0.2658799999999999,0.16339547946593602,3,3,0.6666666666666666,0.08522614984826431,0,12658.8,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,40,90,75.0,1,fear,10000.0,14924.800000000003,4924.800000000003,0.49248000000000025,0.07467037417384592,12,12,0.5,0.03939944448817487,0,14924.800000000003,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,40,90,75.0,1,fear,10000.0,13019.699999999999,3019.699999999999,0.30196999999999985,0.18457935621739519,3,3,0.6666666666666666,0.09668063030076252,0,13019.699999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,45,60,65.0,1,fear,10000.0,10670.1,670.1000000000004,0.06701000000000001,0.011738430272204337,12,11,0.6363636363636364,0.022109798602235966,1,76.69999999999891,10593.400000000001,2026-07-31,万三，单边最低5元；100股整数手
