qvix_weight,entry_threshold,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,meaningful_worst_year,selection_score
0.2,45.0,90.0,70.0,175.0,175.0,0.0,130.0,0.7428571428571429,0.06500029657433841,0.042241379310344884,1137.5051900509222,0.0,1137.5051900509222,3.0,0.0,0.37328839318095713,0.6796116504854369,0.5597573216904951
0.2,45.0,60.0,70.0,175.0,175.0,0.0,127.0,0.7257142857142858,0.06575104093401314,0.04044750430292621,1150.64321634523,0.0,1150.64321634523,3.0,0.0,0.3692742012124782,0.6504854368932039,0.5473257825276284
0.2,35.0,90.0,70.0,236.0,236.0,0.0,164.0,0.6949152542372882,0.055482720842803354,0.03407576605613205,1309.3922118901592,0.0,1309.3922118901592,3.0,0.0,0.3342242469459104,0.6793893129770993,0.5364987645202369
0.3,40.0,90.0,70.0,194.0,194.0,0.0,139.0,0.7164948453608248,0.05583135555809352,0.038659793814433074,1083.1282978270144,0.0,1083.1282978270144,3.0,0.0,0.37365529619479654,0.6239316239316239,0.5359025814640956
0.2,50.0,90.0,70.0,134.0,134.0,0.0,97.0,0.7238805970149254,0.062406861586675716,0.03512016724065259,836.2519452614546,0.0,836.2519452614546,3.0,0.0,0.37821208923929145,0.6463414634146342,0.5335695996105169
0.2,40.0,90.0,70.0,212.0,212.0,0.0,146.0,0.6886792452830188,0.056494666990815644,0.03696887334908561,1197.6869402052916,0.0,1197.6869402052916,3.0,0.0,0.33356790965417077,0.6638655462184874,0.5313576885496527
0.3,35.0,90.0,70.0,229.0,229.0,0.0,159.0,0.6943231441048034,0.051635179436751534,0.03299293008641002,1182.44560910161,0.0,1182.44560910161,3.0,0.0,0.34417479980041776,0.6390977443609023,0.5284010445816916
0.2,35.0,60.0,70.0,236.0,236.0,0.0,161.0,0.6822033898305084,0.055818803400960876,0.03326482077504089,1317.3237602626766,0.0,1317.3237602626766,3.0,0.0,0.32962014716921,0.6564885496183206,0.5271600664347057
0.3,40.0,60.0,70.0,194.0,194.0,0.0,136.0,0.7010309278350515,0.056712435498241655,0.03404561456509414,1100.221248665888,0.0,1100.221248665888,3.0,0.0,0.3711280860699912,0.5982905982905983,0.5247469156500766
0.2,40.0,60.0,70.0,212.0,212.0,0.0,143.0,0.6745283018867925,0.05722647920183457,0.03393425238600223,1213.2013590788927,0.0,1213.2013590788927,3.0,0.0,0.3288480971529912,0.6386554621848739,0.5210612422993467
0.0,55.0,90.0,70.0,144.0,144.0,0.0,98.0,0.6805555555555556,0.035759716215359935,0.03254974029602353,514.9399135011831,0.0,514.9399135011831,3.0,0.0,0.32762703104262947,0.6716417910447762,0.5197538130049238
0.3,35.0,60.0,70.0,229.0,229.0,0.0,156.0,0.6812227074235808,0.051934572796529514,0.031044214487300215,1189.3017170405258,0.0,1189.3017170405258,3.0,0.0,0.3408090789449069,0.6165413533834586,0.5188114736028491
0.2,50.0,60.0,70.0,134.0,134.0,0.0,94.0,0.7014925373134329,0.06394104254341268,0.03326482077504089,856.80997008173,0.0,856.80997008173,3.0,0.0,0.3743430115847524,0.6097560975609756,0.5175808363332691
0.4,35.0,90.0,70.0,212.0,212.0,0.0,140.0,0.660377358490566,0.046589067601800226,0.02659073055773764,987.6882331581647,0.0,987.6882331581647,3.0,0.0,0.3258807988377175,0.6287878787878788,0.5100836640568974
0.0,55.0,60.0,70.0,144.0,144.0,0.0,94.0,0.6527777777777778,0.03940593502645947,0.03254974029602353,567.4454643810163,0.0,567.4454643810163,3.0,0.0,0.3144044260080136,0.6621621621621622,0.506412342889187
0.0,60.0,90.0,70.0,113.0,113.0,0.0,78.0,0.6902654867256637,0.03773781448664184,0.03181336161187698,426.4373036990528,0.0,426.4373036990528,3.0,0.0,0.33455460313221175,0.6730769230769231,0.5040977005287872
0.4,35.0,60.0,70.0,212.0,212.0,0.0,137.0,0.6462264150943396,0.04683325454263131,0.026075827867541257,992.8649963037838,0.0,992.8649963037838,3.0,0.0,0.32202542150991825,0.6060606060606061,0.49996857837112507
0.0,50.0,90.0,70.0,180.0,180.0,0.0,117.0,0.65,0.032854340393864735,0.03142392218524881,591.3781270895653,0.0,591.3781270895653,3.0,0.0,0.3141887263502551,0.6,0.49807848699044577
0.0,60.0,60.0,70.0,113.0,113.0,0.0,75.0,0.6637168141592921,0.04138187208219539,0.03181336161187698,467.61515452880786,0.0,467.61515452880786,3.0,0.0,0.32127033261498233,0.6730769230769231,0.4927971202858681
0.5,35.0,60.0,70.0,167.0,167.0,0.0,105.0,0.6287425149700598,0.0447958006037765,0.024836601307189454,748.0898700830675,0.0,748.0898700830675,3.0,0.0,0.323847108924441,0.6124031007751938,0.4915229040382978
0.5,35.0,90.0,70.0,167.0,167.0,0.0,105.0,0.6287425149700598,0.04027752649191899,0.024836601307189454,672.6346924150471,0.0,672.6346924150471,3.0,0.0,0.323847108924441,0.6124031007751938,0.4903933355103335
0.0,65.0,90.0,70.0,66.0,66.0,0.0,44.0,0.6666666666666666,0.037840899830308326,0.025121555915721183,249.74993888003496,0.0,249.74993888003496,2.0,0.6666666666666666,0.0,0.6666666666666666,0.48679355829091037
