source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,entry_year,source_type,win,ret_pct,holding_calendar_days,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,decision_date,mom20,mom60,mom120,vol20,amount20,history,dist,score,ret_raw
主策略,宽基/风格指数,510880,红利ETF,2014-10-27,2014-12-22,0.43712995105896857,1000.0,1437.1299510589686,,2014.0,主策略,True,43.713,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4371299510589685
主策略,宽基/风格指数,159902,中小板ETF,2014-12-25,2015-03-02,0.22173343109155974,1437.1299510589686,1755.789706031719,,2014.0,主策略,True,22.1733,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2217334310915597
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-03-04,2015-03-18,0.11489191353082462,1755.789706031719,1957.5157451154273,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,True,11.4892,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1148919135308246
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-03-20,2015-04-03,0.09119943222143378,1957.5157451154273,2136.0400696344714,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,True,9.1199,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0911994322214337
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-04-08,2015-04-22,0.08851748684617777,2136.0400696344714,2325.1169684012493,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,True,8.8517,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0885174868461777
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-04-24,2015-05-11,-0.029386343993085373,2325.1169684012493,2256.7902813436503,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,False,-2.9386,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0293863439930854
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-05-13,2015-05-27,0.12148980195093118,2256.7902813436503,2530.9672856688767,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,True,12.149,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1214898019509311
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-05-29,2015-06-12,0.17577129917916778,2530.9672856688767,2975.838693650867,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,True,17.5771,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1757712991791677
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2015-06-16,2015-07-01,-0.16628930817610055,2975.838693650867,2480.9885360399935,red_ma_idle20_hold10_ma60_mom20,2015.0,空仓补偿,False,-16.6289,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1662893081761006
主策略,宽基/风格指数,510880,红利ETF,2015-08-26,2015-10-30,0.15840717233712964,2480.9885360399935,2873.9949146349236,,2015.0,主策略,True,15.8407,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1584071723371296
