policy,year,line,q,threshold,train_n,train_win,train_avg,train_sum,train_annual_count,test_candidates,test_kept
profit,2021,C,0.0,0.0,487,0.6529774127310062,0.04077021129183234,19.855092899122347,243.5,243,243
profit,2021,D,0.0,29.463931405895693,487,0.6570841889117043,0.0364081641008306,17.730775917104502,243.5,243,243
profit,2022,C,0.0,0.0,730,0.6602739726027397,0.0445891351553821,32.55006866342893,243.33333333333334,242,242
profit,2022,D,0.0,29.463931405895693,730,0.6465753424657534,0.03716607887447005,27.131237578363137,243.33333333333334,242,242
profit,2023,C,0.0,0.0,972,0.5997942386831275,0.029360875947778368,28.538771421240572,243.0,242,242
profit,2023,D,0.0,29.463931405895693,972,0.6162551440329218,0.03112198989603661,30.250574178947584,243.0,242,242
profit,2024,C,0.0,0.0,1214,0.514827018121911,0.01386603462827634,16.833366038727476,242.8,242,242
profit,2024,S,0.25,0.837215909090909,180,0.4722222222222222,0.003068697518568875,0.5523655533423975,180.0,242,190
profit,2024,D,0.0,29.463931405895693,1214,0.5971993410214168,0.026192658543527453,31.797887471842326,242.8,242,242
profit,2025,C,0.0,0.0,1456,0.5054945054945055,0.0132312700633485,19.264729212235416,242.66666666666666,243,243
profit,2025,S,0.8,0.9114285714285716,99,0.48484848484848486,0.006013646751869627,0.5953510284350931,49.5,243,38
profit,2025,D,0.0,29.463931405895693,1456,0.6092032967032966,0.03190124237831889,46.448208902832306,242.66666666666666,243,237
profit,2026,C,0.0,0.0,1699,0.5485579752795762,0.018296851165611392,31.086350130373752,242.71428571428572,144,144
profit,2026,S,0.6,0.8937672413793103,290,0.5,0.023337279732659224,6.767811122471175,96.66666666666667,144,54
profit,2026,D,0.0,25.83097127739985,1699,0.607416127133608,0.029551378235945745,50.207791622871824,242.71428571428572,143,143
balanced,2021,C,0.0,0.0,487,0.6529774127310062,0.04077021129183234,19.855092899122347,243.5,243,243
balanced,2021,D,0.0,29.463931405895693,487,0.6570841889117043,0.0364081641008306,17.730775917104502,243.5,243,243
balanced,2022,C,0.0,0.0,730,0.6602739726027397,0.0445891351553821,32.55006866342893,243.33333333333334,242,242
balanced,2022,D,0.0,29.463931405895693,730,0.6465753424657534,0.03716607887447005,27.131237578363137,243.33333333333334,242,242
balanced,2023,C,0.0,0.0,972,0.5997942386831275,0.029360875947778368,28.538771421240572,243.0,242,242
balanced,2023,D,0.0,29.463931405895693,972,0.6162551440329218,0.03112198989603661,30.250574178947584,243.0,242,242
balanced,2024,C,0.0,0.0,1214,0.514827018121911,0.01386603462827634,16.833366038727476,242.8,242,242
balanced,2024,S,0.25,0.837215909090909,180,0.4722222222222222,0.003068697518568875,0.5523655533423975,180.0,242,190
balanced,2024,D,0.0,29.463931405895693,1214,0.5971993410214168,0.026192658543527453,31.797887471842326,242.8,242,242
balanced,2025,C,0.0,0.0,1456,0.5054945054945055,0.0132312700633485,19.264729212235416,242.66666666666666,243,243
balanced,2025,S,0.8,0.9114285714285716,99,0.48484848484848486,0.006013646751869627,0.5953510284350931,49.5,243,38
balanced,2025,D,0.0,29.463931405895693,1456,0.6092032967032966,0.03190124237831889,46.448208902832306,242.66666666666666,243,237
balanced,2026,C,0.0,0.0,1699,0.5485579752795762,0.018296851165611392,31.086350130373752,242.71428571428572,144,144
balanced,2026,S,0.6,0.8937672413793103,290,0.5,0.023337279732659224,6.767811122471175,96.66666666666667,144,54
balanced,2026,D,0.0,25.83097127739985,1699,0.607416127133608,0.029551378235945745,50.207791622871824,242.71428571428572,143,143
win_tradefloor,2021,C,0.9,0.8,58,0.8275862068965517,0.06384648470996836,3.703096113178165,29.0,243,47
win_tradefloor,2021,D,0.7,70.58820059052978,146,0.678082191780822,0.039207244201776764,5.724257653459407,73.0,243,66
win_tradefloor,2022,C,0.25,0.25,550,0.68,0.045516839081526775,25.034261494839726,183.33333333333334,242,242
win_tradefloor,2022,D,0.75,72.2166020194432,183,0.6666666666666666,0.03513522524093598,6.4297462190912835,61.0,242,96
win_tradefloor,2023,C,0.8,0.75,228,0.6228070175438597,0.030956732415818578,7.058134990806636,57.0,242,203
win_tradefloor,2023,D,0.75,73.87654364045956,243,0.6748971193415638,0.041004669702437706,9.964134737692362,60.75,242,9
win_tradefloor,2024,C,0.0,0.0,1214,0.514827018121911,0.01386603462827634,16.833366038727476,242.8,242,242
win_tradefloor,2024,S,0.25,0.837215909090909,180,0.4722222222222222,0.003068697518568875,0.5523655533423975,180.0,242,190
win_tradefloor,2024,D,0.75,71.69224353425949,304,0.6513157894736842,0.039102373625056946,11.887121582017311,60.8,242,53
win_tradefloor,2025,C,0.7,0.8,449,0.5456570155902004,0.02035544624418906,9.139595363640888,74.83333333333333,243,36
win_tradefloor,2025,S,0.25,0.8418181818181818,362,0.44751381215469616,-0.0010939414012883333,-0.3960067872663766,181.0,243,209
