policy,combo,signals,closed,open,win,avg,sum,pnl_per_1000
profit,C,1356,1315,41,0.4897338403041825,0.006031908964940827,7.931960288897187,7931.960288897188
profit,S,282,274,8,0.4635036496350365,0.0019676094577871814,0.5391249914336878,539.1249914336878
profit,D,1349,1263,86,0.5732383214568487,0.02201363345832524,27.803219057864776,27803.219057864775
profit,C+S,1638,1589,49,0.4852108244178729,0.00533107947157387,4.2355426401654395,4235.5426401654395
profit,C+D,2705,2578,127,0.5306439100077579,0.013861590126750182,17.867589673380984,17867.589673380982
profit,S+D,1631,1537,94,0.5536759921925829,0.01844004167163205,14.17117202464923,14171.172024649231
profit,C+S+D,2987,2852,135,0.5241935483870968,0.012718900539339292,12.09143477939855,12091.43477939855
balanced,C,1356,1315,41,0.4897338403041825,0.006031908964940827,7.931960288897187,7931.960288897188
balanced,S,282,274,8,0.4635036496350365,0.0019676094577871814,0.5391249914336878,539.1249914336878
balanced,D,1349,1263,86,0.5732383214568487,0.02201363345832524,27.803219057864776,27803.219057864775
balanced,C+S,1638,1589,49,0.4852108244178729,0.00533107947157387,4.2355426401654395,4235.5426401654395
balanced,C+D,2705,2578,127,0.5306439100077579,0.013861590126750182,17.867589673380984,17867.589673380982
balanced,S+D,1631,1537,94,0.5536759921925829,0.01844004167163205,14.17117202464923,14171.172024649231
balanced,C+S+D,2987,2852,135,0.5241935483870968,0.012718900539339292,12.09143477939855,12091.43477939855
win_tradefloor,C,811,800,11,0.39875,-0.009713922905115082,-7.771138324092065,-7771.138324092065
win_tradefloor,S,428,423,5,0.4799054373522459,0.012710079208017606,5.376363504991447,5376.363504991447
win_tradefloor,D,337,270,67,0.6407407407407407,0.042985748468346685,11.606152086453605,11606.152086453605
win_tradefloor,C+S,1239,1223,16,0.4268192968111202,-0.001958115142355371,-1.19738740955031,-1197.3874095503102
win_tradefloor,C+D,1148,1070,78,0.45981308411214955,0.003584125011552842,1.9175068811807723,1917.5068811807723
win_tradefloor,S+D,765,693,72,0.5425685425685426,0.024505794504249712,8.491257795722525,8491.257795722526
win_tradefloor,C+S+D,1576,1493,83,0.4655056932350971,0.006169710158977217,3.070459089117662,3070.459089117662
stable_profit,C,1127,1086,41,0.425414364640884,-0.002690211248998676,-2.921569416412562,-2921.569416412562
stable_profit,S,282,274,8,0.4635036496350365,0.0019676094577871814,0.5391249914336878,539.1249914336878
stable_profit,D,1349,1263,86,0.5732383214568487,0.02201363345832524,27.803219057864776,27803.219057864775
stable_profit,C+S,1409,1360,49,0.43308823529411766,-0.0017517973713079948,-1.191222212489436,-1191.222212489436
stable_profit,C+D,2476,2349,127,0.5048957002979991,0.010592443440379826,12.440824820726107,12440.824820726106
stable_profit,S+D,1631,1537,94,0.5536759921925829,0.01844004167163205,14.17117202464923,14171.172024649231
stable_profit,C+S+D,2758,2623,135,0.5005718642775447,0.009691488613376247,8.473591544295303,8473.591544295303
baseline_forced_2021_2026,C,1356,1315,41,0.4897338403041825,0.006031908964940827,7.931960288897187,7931.960288897188
baseline_forced_2021_2026,S,869,858,11,0.46503496503496505,0.006173963866220978,5.297260997217599,5297.260997217599
baseline_forced_2021_2026,D,1355,1269,86,0.5736800630417652,0.02195183487682653,27.85687845869287,27856.878458692867
baseline_forced_2021_2026,C+S,2225,2173,52,0.47998159226875287,0.006087998751088258,6.614610643057395,6614.610643057395
baseline_forced_2021_2026,C+D,2711,2584,127,0.5309597523219814,0.013850169793959003,17.89441937379503,17894.41937379503
baseline_forced_2021_2026,S+D,2224,2127,97,0.5298542548189938,0.015587277600334027,16.577069727955234,16577.069727955233
baseline_forced_2021_2026,C+S+D,3580,3442,138,0.5145264381173736,0.011936693708543774,13.695366581602553,13695.366581602553
