year,trades,win_rate,gross_return
2014,2,1.0,0.7571948998178504
2015,1,1.0,0.15887062789717654
2016,1,0.0,-0.0635644768856447
2017,1,1.0,0.0024038461538462563
2018,3,1.0,0.16551618878252272
2019,3,0.6666666666666666,0.16035454549876316
2020,3,1.0,0.19194787935585134
2021,4,1.0,0.4184680881731113
2022,5,0.6,0.2782822565330274
2023,6,0.5,-0.016293924978743157
2024,10,0.6,0.6469495309223552
2025,6,0.8333333333333334,0.2000562678146658
2026,5,0.4,-0.04073690578670808
