symbol,name,candidate_date,signal_date,signal_year,close,score,threshold,predicted
159565,,2025-12-25,2026-01-05,2026.0,1.587,5.832000378774097e-05,0.0325145936415612,False
159663,机床ETF,2025-12-22,2026-01-05,2026.0,0.748,2.9509668481462288e-05,0.0325145936415612,False
159666,,2025-12-25,2026-01-05,2026.0,1.027,8.12303506870687e-05,0.0325145936415612,False
159870,,2025-12-24,2026-01-05,2026.0,0.796,2.4895867324704408e-05,0.0325145936415612,False
159883,,2025-12-25,2026-01-05,2026.0,0.503,3.831010117267926e-05,0.0325145936415612,False
159902,中小板ETF,2025-12-22,2026-01-05,2026.0,4.28,2.256777040815741e-05,0.0325145936415612,False
159996,,2025-12-25,2026-01-05,2026.0,1.54,2.8888631573652194e-05,0.0325145936415612,False
512660,,2025-12-25,2026-01-05,2026.0,1.317,3.3333953409464395e-05,0.0325145936415612,False
512880,,2025-12-25,2026-01-05,2026.0,1.221,3.2541996090068574e-05,0.0325145936415612,False
512950,,2025-12-25,2026-01-05,2026.0,1.454,4.80999879694482e-05,0.0325145936415612,False
512980,,2025-12-25,2026-01-05,2026.0,0.966,3.3521648729505864e-05,0.0325145936415612,False
515170,,2025-12-25,2026-01-05,2026.0,0.563,0.29947134428791594,0.0325145936415612,True
516750,,2025-12-25,2026-01-05,2026.0,0.72,3.2819978170739305e-05,0.0325145936415612,False
516970,,2025-12-22,2026-01-05,2026.0,1.17,2.52820847603439e-05,0.0325145936415612,False
159611,,2025-12-26,2026-01-06,2026.0,1.036,0.13910312884835727,0.0325145936415612,True
159663,机床ETF,2025-12-23,2026-01-06,2026.0,0.75,2.4624343945330404e-05,0.0325145936415612,False
159666,,2025-12-26,2026-01-06,2026.0,1.03,0.02663743750685575,0.0325145936415612,False
159755,,2025-12-26,2026-01-06,2026.0,1.084,3.089235116432324e-05,0.0325145936415612,False
159768,,2025-12-26,2026-01-06,2026.0,0.562,4.1389689827206147e-05,0.0325145936415612,False
159870,,2025-12-25,2026-01-06,2026.0,0.803,2.703726657760682e-05,0.0325145936415612,False
159902,中小板ETF,2025-12-23,2026-01-06,2026.0,4.304,2.89877497105457e-05,0.0325145936415612,False
510880,,2025-12-26,2026-01-06,2026.0,3.187,4.6375200432693076e-05,0.0325145936415612,False
512400,,2025-12-26,2026-01-06,2026.0,1.92,6.174833820718099e-05,0.0325145936415612,False
512660,,2025-12-26,2026-01-06,2026.0,1.332,3.108108932775054e-05,0.0325145936415612,False
512880,,2025-12-26,2026-01-06,2026.0,1.229,3.7131595648997235e-05,0.0325145936415612,False
512950,,2025-12-26,2026-01-06,2026.0,1.457,3.209554941455818e-05,0.0325145936415612,False
512980,,2025-12-26,2026-01-06,2026.0,0.967,3.6151504245661386e-05,0.0325145936415612,False
515790,,2025-12-25,2026-01-06,2026.0,0.97,2.2731742389111164e-05,0.0325145936415612,False
516970,,2025-12-23,2026-01-06,2026.0,1.176,2.9236971595385024e-05,0.0325145936415612,False
159565,,2025-12-29,2026-01-07,2026.0,1.596,2.6196525743046423e-05,0.0325145936415612,False
159663,机床ETF,2025-12-24,2026-01-07,2026.0,0.757,2.5379975647490863e-05,0.0325145936415612,False
159902,中小板ETF,2025-12-24,2026-01-07,2026.0,4.332,2.8779591307156756e-05,0.0325145936415612,False
159930,,2025-12-29,2026-01-07,2026.0,1.457,1.937952446811087e-05,0.0325145936415612,False
512660,,2025-12-29,2026-01-07,2026.0,1.35,3.245509332308243e-05,0.0325145936415612,False
159565,,2025-12-30,2026-01-08,2026.0,1.654,3.715979136178582e-05,0.0325145936415612,False
159663,机床ETF,2025-12-25,2026-01-08,2026.0,0.769,1.4892457893486791e-05,0.0325145936415612,False
159813,半导体ETF鹏华,2025-12-30,2026-01-08,2026.0,0.562,3.829863331649568e-05,0.0325145936415612,False
159825,,2025-12-30,2026-01-08,2026.0,0.838,2.791390012490474e-05,0.0325145936415612,False
159870,,2025-12-30,2026-01-08,2026.0,0.826,4.109527998025607e-05,0.0325145936415612,False
159902,中小板ETF,2025-12-25,2026-01-08,2026.0,4.359,3.4519644531843146e-05,0.0325145936415612,False
159930,,2025-12-30,2026-01-08,2026.0,1.464,1.3040651227068831e-05,0.0325145936415612,False
159996,,2025-12-30,2026-01-08,2026.0,1.554,2.1078174049179617e-05,0.0325145936415612,False
510880,,2025-12-30,2026-01-08,2026.0,3.188,5.266871439660873e-05,0.0325145936415612,False
512720,,2025-12-25,2026-01-08,2026.0,1.175,3.453323338376199e-05,0.0325145936415612,False
512950,,2025-12-30,2026-01-08,2026.0,1.463,2.9113494659559753e-05,0.0325145936415612,False
159766,,2025-12-31,2026-01-09,2026.0,0.809,7.4504316575848125e-06,0.0325145936415612,False
159996,,2025-12-31,2026-01-09,2026.0,1.565,2.67106617703799e-05,0.0325145936415612,False
512400,,2025-12-31,2026-01-09,2026.0,1.927,3.183752860093641e-05,0.0325145936415612,False
512660,,2025-12-31,2026-01-09,2026.0,1.373,3.1035621385014505e-05,0.0325145936415612,False
512720,,2025-12-26,2026-01-09,2026.0,1.181,3.782120127526663e-05,0.0325145936415612,False
512950,,2025-12-31,2026-01-09,2026.0,1.466,3.689197908788491e-05,0.0325145936415612,False
159565,,2026-01-05,2026-01-12,2026.0,1.675,2.9354405831887444e-05,0.0325145936415612,False
159755,,2026-01-05,2026-01-12,2026.0,1.091,3.926441127488005e-05,0.0325145936415612,False
159811,,2026-01-05,2026-01-12,2026.0,2.33,3.5470250436070045e-05,0.0325145936415612,False
159825,,2026-01-05,2026-01-12,2026.0,0.844,6.34896665400051e-05,0.0325145936415612,False
159870,,2026-01-05,2026-01-12,2026.0,0.833,5.2254121261120284e-05,0.0325145936415612,False
159883,,2026-01-05,2026-01-12,2026.0,0.518,5.68567525919355e-05,0.0325145936415612,False
159902,中小板ETF,2026-01-05,2026-01-12,2026.0,4.476,2.7719361402813824e-05,0.0325145936415612,False
159996,,2026-01-05,2026-01-12,2026.0,1.578,2.2549099025998712e-05,0.0325145936415612,False
512400,,2026-01-05,2026-01-12,2026.0,1.981,4.965669709134288e-05,0.0325145936415612,False
512660,,2026-01-05,2026-01-12,2026.0,1.407,6.344074319326567e-05,0.0325145936415612,False
512720,,2025-12-29,2026-01-12,2026.0,1.184,3.579326487697572e-05,0.0325145936415612,False
512880,,2026-01-05,2026-01-12,2026.0,1.235,5.417342159222795e-05,0.0325145936415612,False
512950,,2026-01-05,2026-01-12,2026.0,1.489,3.0708424040551585e-05,0.0325145936415612,False
516750,,2026-01-05,2026-01-12,2026.0,0.721,4.1040929755652324e-05,0.0325145936415612,False
159565,,2026-01-06,2026-01-13,2026.0,1.694,3.821472601975986e-05,0.0325145936415612,False
159663,机床ETF,2026-01-05,2026-01-13,2026.0,0.802,4.815008202426219e-05,0.0325145936415612,False
159755,,2026-01-06,2026-01-13,2026.0,1.109,0.8328491931409343,0.0325145936415612,True
159768,,2026-01-06,2026-01-13,2026.0,0.568,7.611059895282537e-05,0.0325145936415612,False
159813,半导体ETF鹏华,2026-01-05,2026-01-13,2026.0,0.58,0.00011139609822443434,0.0325145936415612,False
159825,,2026-01-06,2026-01-13,2026.0,0.858,0.874275512400491,0.0325145936415612,True
159870,,2026-01-06,2026-01-13,2026.0,0.865,0.19904028379016184,0.0325145936415612,True
159883,,2026-01-06,2026-01-13,2026.0,0.52,5.769786116538265e-05,0.0325145936415612,False
159902,中小板ETF,2026-01-06,2026-01-13,2026.0,4.558,2.4237510726615576e-05,0.0325145936415612,False
159930,,2026-01-06,2026-01-13,2026.0,1.481,3.0108297057732803e-05,0.0325145936415612,False
159996,,2026-01-06,2026-01-13,2026.0,1.586,4.223427482330259e-05,0.0325145936415612,False
510880,,2026-01-06,2026-01-13,2026.0,3.218,6.21814769299047e-05,0.0325145936415612,False
512400,,2026-01-06,2026-01-13,2026.0,2.06,6.565371974878015e-05,0.0325145936415612,False
512660,,2026-01-06,2026-01-13,2026.0,1.453,7.966286126974126e-05,0.0325145936415612,False
512720,,2025-12-30,2026-01-13,2026.0,1.189,3.77722826032756e-05,0.0325145936415612,False
512880,,2026-01-06,2026-01-13,2026.0,1.286,0.9532091969918982,0.0325145936415612,True
512950,,2026-01-06,2026-01-13,2026.0,1.513,3.432599835707759e-05,0.0325145936415612,False
515790,,2026-01-06,2026-01-13,2026.0,1.004,3.068315318031532e-05,0.0325145936415612,False
516750,,2026-01-06,2026-01-13,2026.0,0.729,7.773713831067658e-05,0.0325145936415612,False
560080,,2026-01-06,2026-01-13,2026.0,1.071,4.6334700215855764e-05,0.0325145936415612,False
159663,机床ETF,2026-01-06,2026-01-14,2026.0,0.808,3.436541627523239e-05,0.0325145936415612,False
159766,,2026-01-07,2026-01-14,2026.0,0.812,8.505737866524656e-05,0.0325145936415612,False
159811,,2026-01-07,2026-01-14,2026.0,2.343,0.00011977149284755034,0.0325145936415612,False
159813,半导体ETF鹏华,2026-01-06,2026-01-14,2026.0,0.592,4.524007271533946e-05,0.0325145936415612,False
159902,中小板ETF,2026-01-07,2026-01-14,2026.0,4.565,2.9240291999812118e-05,0.0325145936415612,False
159930,,2026-01-07,2026-01-14,2026.0,1.481,2.3420934176311993e-05,0.0325145936415612,False
159992,,2026-01-05,2026-01-14,2026.0,0.866,5.136346318871564e-05,0.0325145936415612,False
510880,,2026-01-07,2026-01-14,2026.0,3.232,0.00021129641736959175,0.0325145936415612,False
512400,,2026-01-07,2026-01-14,2026.0,2.068,4.060074395222437e-05,0.0325145936415612,False
515790,,2026-01-07,2026-01-14,2026.0,1.009,2.6073905809337902e-05,0.0325145936415612,False
516750,,2026-01-07,2026-01-14,2026.0,0.73,0.00015151907710244476,0.0325145936415612,False
159663,机床ETF,2026-01-07,2026-01-15,2026.0,0.815,4.813459037119738e-05,0.0325145936415612,False
159768,,2026-01-08,2026-01-15,2026.0,0.568,4.347817396753789e-05,0.0325145936415612,False
159813,半导体ETF鹏华,2026-01-07,2026-01-15,2026.0,0.604,4.4251085146643426e-05,0.0325145936415612,False
159883,,2026-01-08,2026-01-15,2026.0,0.524,5.096960633447639e-05,0.0325145936415612,False
159992,,2026-01-06,2026-01-15,2026.0,0.869,3.989609014175206e-05,0.0325145936415612,False
512660,,2026-01-08,2026-01-15,2026.0,1.505,0.00012410055736720248,0.0325145936415612,False
512950,,2026-01-08,2026-01-15,2026.0,1.522,5.3560079810117434e-05,0.0325145936415612,False
512980,,2025-12-30,2026-01-15,2026.0,0.972,5.835537295331586e-05,0.0325145936415612,False
515790,,2026-01-08,2026-01-15,2026.0,1.02,2.201203511620552e-05,0.0325145936415612,False
516750,,2026-01-08,2026-01-15,2026.0,0.739,8.726175238136002e-05,0.0325145936415612,False
516970,,2026-01-06,2026-01-15,2026.0,1.205,5.778739906203402e-05,0.0325145936415612,False
159565,,2026-01-09,2026-01-16,2026.0,1.721,3.1974171680323463e-05,0.0325145936415612,False
159663,机床ETF,2026-01-08,2026-01-16,2026.0,0.816,4.826592410188081e-05,0.0325145936415612,False
159768,,2026-01-09,2026-01-16,2026.0,0.573,0.9902652599043144,0.0325145936415612,True
159813,半导体ETF鹏华,2026-01-08,2026-01-16,2026.0,0.607,3.0032456016472697e-05,0.0325145936415612,False
159883,,2026-01-09,2026-01-16,2026.0,0.534,8.071049495292708e-05,0.0325145936415612,False
159902,中小板ETF,2026-01-09,2026-01-16,2026.0,4.606,3.8174642954025914e-05,0.0325145936415612,False
159930,,2026-01-09,2026-01-16,2026.0,1.5,0.935435691966549,0.0325145936415612,True
159992,,2026-01-07,2026-01-16,2026.0,0.882,6.124200918717047e-05,0.0325145936415612,False
159996,,2026-01-09,2026-01-16,2026.0,1.604,2.8437205382993912e-05,0.0325145936415612,False
510880,,2026-01-09,2026-01-16,2026.0,3.234,0.8664196178769151,0.0325145936415612,True
512400,,2026-01-09,2026-01-16,2026.0,2.094,3.690647597025157e-05,0.0325145936415612,False
512660,,2026-01-09,2026-01-16,2026.0,1.567,0.0002570253461362198,0.0325145936415612,False
512720,,2026-01-09,2026-01-16,2026.0,1.293,5.3929513952504936e-05,0.0325145936415612,False
512950,,2026-01-09,2026-01-16,2026.0,1.533,7.411211806283147e-05,0.0325145936415612,False
512980,,2025-12-31,2026-01-16,2026.0,0.998,6.596944868303577e-05,0.0325145936415612,False
516970,,2026-01-07,2026-01-16,2026.0,1.214,3.375635739184059e-05,0.0325145936415612,False
560080,,2026-01-09,2026-01-16,2026.0,1.071,5.193212035727217e-05,0.0325145936415612,False
159565,,2026-01-12,2026-01-19,2026.0,1.746,3.9724288885964366e-05,0.0325145936415612,False
159663,机床ETF,2026-01-09,2026-01-19,2026.0,0.84,5.1790624935810014e-05,0.0325145936415612,False
159666,,2026-01-12,2026-01-19,2026.0,1.037,0.4873417384679124,0.0325145936415612,True
159766,,2026-01-12,2026-01-19,2026.0,0.815,3.5724347316101876e-05,0.0325145936415612,False
159811,,2026-01-12,2026-01-19,2026.0,2.366,7.781920400714075e-05,0.0325145936415612,False
159813,半导体ETF鹏华,2026-01-09,2026-01-19,2026.0,0.609,2.873855035660372e-05,0.0325145936415612,False
159883,,2026-01-12,2026-01-19,2026.0,0.547,0.0002599484735767069,0.0325145936415612,False
159902,中小板ETF,2026-01-12,2026-01-19,2026.0,4.676,3.663005706547019e-05,0.0325145936415612,False
159992,,2026-01-08,2026-01-19,2026.0,0.882,4.104151095120148e-05,0.0325145936415612,False
159996,,2026-01-12,2026-01-19,2026.0,1.621,3.406700778724752e-05,0.0325145936415612,False
512400,,2026-01-12,2026-01-19,2026.0,2.118,6.489573097302695e-05,0.0325145936415612,False
512660,,2026-01-12,2026-01-19,2026.0,1.682,0.6852735318681313,0.0325145936415612,True
512720,,2026-01-12,2026-01-19,2026.0,1.402,0.0001739954251563146,0.0325145936415612,False
512950,,2026-01-12,2026-01-19,2026.0,1.55,0.09311263913474699,0.0325145936415612,True
512980,,2026-01-05,2026-01-19,2026.0,1.043,3.621028181962459e-05,0.0325145936415612,False
515170,,2026-01-12,2026-01-19,2026.0,0.562,0.002003488534641449,0.0325145936415612,False
515210,,2026-01-07,2026-01-19,2026.0,1.48,1.831086826768178e-05,0.0325145936415612,False
515790,,2026-01-12,2026-01-19,2026.0,1.037,2.8204763557235512e-05,0.0325145936415612,False
516750,,2026-01-12,2026-01-19,2026.0,0.74,0.10299869291183956,0.0325145936415612,True
516970,,2026-01-08,2026-01-19,2026.0,1.232,3.717270771238009e-05,0.0325145936415612,False
560080,,2026-01-12,2026-01-19,2026.0,1.073,0.00032652648781417637,0.0325145936415612,False
159883,,2026-01-13,2026-01-20,2026.0,0.548,0.00023866587339438068,0.0325145936415612,False
159992,,2026-01-09,2026-01-20,2026.0,0.897,0.7802696855172759,0.0325145936415612,True
512400,,2026-01-13,2026-01-20,2026.0,2.141,5.9448630421747056e-05,0.0325145936415612,False
512980,,2026-01-06,2026-01-20,2026.0,1.065,5.6058398520327935e-05,0.0325145936415612,False
560080,,2026-01-13,2026-01-20,2026.0,1.073,0.0023579070628078876,0.0325145936415612,False
159883,,2026-01-14,2026-01-21,2026.0,0.554,0.9737354508316383,0.0325145936415612,True
512400,,2026-01-14,2026-01-21,2026.0,2.148,5.0341905597200885e-05,0.0325145936415612,False
512720,,2026-01-14,2026-01-21,2026.0,1.413,0.9352637493614159,0.0325145936415612,True
512980,,2026-01-07,2026-01-21,2026.0,1.072,6.694802782026341e-05,0.0325145936415612,False
159755,,2026-01-15,2026-01-22,2026.0,1.109,4.031970891587084e-05,0.0325145936415612,False
159870,,2026-01-15,2026-01-22,2026.0,0.865,2.6359763074049474e-05,0.0325145936415612,False
512400,,2026-01-15,2026-01-22,2026.0,2.206,4.7659901560669536e-05,0.0325145936415612,False
515790,,2026-01-15,2026-01-22,2026.0,1.045,4.09119063941728e-05,0.0325145936415612,False
159663,机床ETF,2026-01-16,2026-01-23,2026.0,0.866,4.534789084466769e-05,0.0325145936415612,False
159755,,2026-01-16,2026-01-23,2026.0,1.112,3.912253419503478e-05,0.0325145936415612,False
159811,,2026-01-16,2026-01-23,2026.0,2.373,0.2318519124984794,0.0325145936415612,True
159813,半导体ETF鹏华,2026-01-16,2026-01-23,2026.0,0.636,4.6031632389552705e-05,0.0325145936415612,False
515790,,2026-01-16,2026-01-23,2026.0,1.058,3.559293520787705e-05,0.0325145936415612,False
159565,,2026-01-19,2026-01-26,2026.0,1.748,0.9762237942787936,0.0325145936415612,True
159611,,2026-01-19,2026-01-26,2026.0,1.044,3.549566040504498e-05,0.0325145936415612,False
159663,机床ETF,2026-01-19,2026-01-26,2026.0,0.879,5.358296423406862e-05,0.0325145936415612,False
159755,,2026-01-19,2026-01-26,2026.0,1.113,8.065274986842578e-05,0.0325145936415612,False
159766,,2026-01-19,2026-01-26,2026.0,0.825,0.00017725251988130134,0.0325145936415612,False
