symbol,name,candidate_date,signal_date,signal_year,close,score,threshold,predicted
515170,,2025-12-25,2026-01-05,2026.0,0.563,0.29947134428791594,0.0325145936415612,True
159611,,2025-12-26,2026-01-06,2026.0,1.036,0.13910312884835727,0.0325145936415612,True
159755,,2026-01-06,2026-01-13,2026.0,1.109,0.8328491931409343,0.0325145936415612,True
159825,,2026-01-06,2026-01-13,2026.0,0.858,0.874275512400491,0.0325145936415612,True
159870,,2026-01-06,2026-01-13,2026.0,0.865,0.19904028379016184,0.0325145936415612,True
512880,,2026-01-06,2026-01-13,2026.0,1.286,0.9532091969918982,0.0325145936415612,True
159768,,2026-01-09,2026-01-16,2026.0,0.573,0.9902652599043144,0.0325145936415612,True
159930,,2026-01-09,2026-01-16,2026.0,1.5,0.935435691966549,0.0325145936415612,True
510880,,2026-01-09,2026-01-16,2026.0,3.234,0.8664196178769151,0.0325145936415612,True
159666,,2026-01-12,2026-01-19,2026.0,1.037,0.4873417384679124,0.0325145936415612,True
512660,,2026-01-12,2026-01-19,2026.0,1.682,0.6852735318681313,0.0325145936415612,True
512950,,2026-01-12,2026-01-19,2026.0,1.55,0.09311263913474699,0.0325145936415612,True
516750,,2026-01-12,2026-01-19,2026.0,0.74,0.10299869291183956,0.0325145936415612,True
159992,,2026-01-09,2026-01-20,2026.0,0.897,0.7802696855172759,0.0325145936415612,True
159883,,2026-01-14,2026-01-21,2026.0,0.554,0.9737354508316383,0.0325145936415612,True
512720,,2026-01-14,2026-01-21,2026.0,1.413,0.9352637493614159,0.0325145936415612,True
159811,,2026-01-16,2026-01-23,2026.0,2.373,0.2318519124984794,0.0325145936415612,True
159565,,2026-01-19,2026-01-26,2026.0,1.748,0.9762237942787936,0.0325145936415612,True
159611,,2026-01-20,2026-01-27,2026.0,1.054,0.8673620953178115,0.0325145936415612,True
159666,,2026-01-20,2026-01-27,2026.0,1.042,0.5157969552402198,0.0325145936415612,True
159766,,2026-01-20,2026-01-27,2026.0,0.835,0.9841488460975659,0.0325145936415612,True
159996,,2026-01-21,2026-01-28,2026.0,1.636,0.9977901188965118,0.0325145936415612,True
159755,,2026-01-23,2026-01-30,2026.0,1.121,0.9948607245211433,0.0325145936415612,True
159902,中小板ETF,2026-01-23,2026-01-30,2026.0,4.716,0.9699052715080958,0.0325145936415612,True
515790,,2026-01-23,2026-01-30,2026.0,1.155,0.9926132626871268,0.0325145936415612,True
516970,,2026-01-26,2026-02-02,2026.0,1.269,0.9979231304232502,0.0325145936415612,True
560080,,2026-01-26,2026-02-02,2026.0,1.078,0.4389826766994089,0.0325145936415612,True
159663,机床ETF,2026-01-27,2026-02-03,2026.0,0.903,0.7453695421734046,0.0325145936415612,True
