symbol,name,display_name,enabled,category,sub_category,trade_class,source,keep_reason,note,rows,start,end,amount20,max_abs_day_return,t1_tradeable,data_dedup_drop
512890,红利低波ETF,红利低波ETF,True,宽基/风格指数,红利低波,ETF,manual_known,保留差异化红利因子,与普通红利不等价,1809,2019-01-18,2026-07-09,905199383.5,0.09429065743944631,True,False
518880,黄金ETF,黄金ETF,True,商品/贵金属/能源,黄金,ETF,manual_known,正式黄金主线,商品扩池核心,3147,2013-07-29,2026-07-09,3285138500.2,0.10000908347715509,True,False
164701,贵金属LOF,贵金属LOF,True,商品/贵金属/能源,贵金属篮子,LOF,manual_known,补足贵金属篮子,增加金银协同,3404,2012-03-01,2026-07-10,31218874.45625,0.10053619302949057,True,False
161226,白银LOF,白银LOF,True,商品/贵金属/能源,白银,LOF,manual_known,补足白银主线,与黄金不完全同步,2644,2015-08-17,2026-07-10,289631754.40875,0.10019417475728165,True,False
501018,南方原油LOF,南方原油LOF,True,商品/贵金属/能源,原油,QDII-LOF,wiki_sse,正式原油主线,补足能源商品,2435,2016-06-28,2026-07-10,552489763.9087499,0.10022779043280194,True,False
162411,华宝油气LOF,华宝油气LOF,True,商品/贵金属/能源,油气股,QDII-LOF,manual_known,保留油气股线,与原油期货不等价,3272,2012-06-08,2026-07-10,80257943.70125,0.10093457943925221,True,False
511010,国债ETF,国债ETF,True,债券/防守资产,国债,Bond-ETF,manual_known,补足防守资产,可做风险偏好对照,3220,2013-04-09,2026-07-09,815768992.4,0.016768154139780056,True,False
511260,十年国债ETF,十年国债ETF,True,债券/防守资产,长久期国债,Bond-ETF,manual_known,补足久期线,可做利率敏感对照,2151,2017-08-24,2026-07-09,3383897663.5,0.012466124661246525,True,False
159941,纳指ETF,纳指ETF,True,海外/港股/跨境,纳斯达克100,QDII-ETF,wiki_szse,补足美股成长,研究强趋势市场,2670,2015-07-13,2026-07-09,1931453436.5,0.10006373486297016,True,False
513500,标普500,标普500ETF,True,海外/港股/跨境,标普500,QDII-ETF,wiki_sse,补足美股大盘,研究海外宽基,3032,2014-01-15,2026-07-09,396656455.4,0.10015814443858717,True,False
513520,日经ETF,日经ETF,True,海外/港股/跨境,日本股市,QDII-ETF,wiki_sse,补足日本市场,增加国家分散,1708,2019-06-25,2026-07-09,655143016.1,0.09331373989713443,True,False
513030,德国30,德国30ETF,True,海外/港股/跨境,欧洲股市,QDII-ETF,wiki_sse,补足欧洲市场,增加国家分散,2874,2014-09-05,2026-07-09,80069632.45,0.10017678255745444,True,False
513050,中概互联,中概互联网ETF,True,海外/港股/跨境,中概互联网,QDII-ETF,wiki_sse,补足离岸中概互联网,与A股科技分离,2299,2017-01-18,2026-07-10,2440346250.9,0.10057803468208082,True,False
513600,恒指ETF,恒生指数ETF,True,海外/港股/跨境,恒生宽基,QDII-ETF,wiki_sse,补足港股宽基,与A股宽基区分,2781,2015-01-26,2026-07-09,156515038.9,0.10018132366273802,True,False
513060,恒生医疗,恒生医疗ETF,True,海外/港股/跨境,港股医疗,QDII-ETF,wiki_sse,补足港股医疗,和A股医药不同市场,1280,2021-03-29,2026-07-09,754672558.85,0.10123456790123453,True,False
512690,酒ETF,酒ETF,True,补充行业/风格,白酒,ETF,manual_known,补足白酒高弹性,与食品饮料区分,1742,2019-05-06,2026-07-09,681297745.25,0.10077519379844957,True,False
159851,金融科技ETF,金融科技ETF,True,补充行业/风格,金融科技,ETF,wiki_szse,补足金融科技,与券商银行区分,1286,2021-03-19,2026-07-09,357146109.25,0.10011001100109995,True,False
159852,软件ETF,软件ETF,True,补充行业/风格,软件,ETF,wiki_szse,补足软件应用层,与计算机总线互补,1309,2021-02-09,2026-07-09,382148968.8,0.10074074074074058,True,False
501225,全球芯片,全球芯片LOF,True,海外/港股/跨境,全球半导体,LOF,wiki_sse,补足全球半导体,与A股半导体区分,784,2023-04-14,2026-07-10,41759304.6925,0.10023677979479084,True,False
