year,selector,chosen_rule,train_score,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum
2019,stable_profit,base_original,,178,0.7808988764044944,0.03505542501174948,6.239865652091407,5.113946294560537,6.239865652091407,6.239865652091407
2020,stable_profit,line_tp_C20%_S12%_D15%_next_close,34.51642878049532,80,0.85,0.10021482926807102,8.017186341445681,19.45899366764386,8.017186341445681,8.017186341445681
2021,stable_profit,line_tp_C20%_S12%_D18%_next_close,41.1669610956721,225,0.6266666666666667,0.04010271449413691,9.023110761180805,3.266204632285601,9.023110761180806,9.023110761180806
2022,stable_profit,line_tp_C20%_S12%_D18%_next_close,49.25459413653099,227,0.5242290748898678,0.024128110125635788,5.477080998519324,1.8571255669830031,5.477080998519325,5.477080998519325
2023,stable_profit,tp14%_D+S_same_close,51.34535825707972,242,0.5330578512396694,0.015310551728245641,3.7051535182354454,1.9528196327992027,3.705153518235446,3.705153518235446
2024,stable_profit,line_tp_Craw_S12%_D15%_same_close,48.187470944024,242,0.6198347107438017,0.06472203873377924,15.662733373574577,4.679909260077422,15.662733373574577,15.662733373574577
2025,stable_profit,line_tp_C25%_S12%_D15%_next_close,67.58709170547301,243,0.5843621399176955,0.026470794898779952,6.4324031604035286,2.3766892424579122,6.4324031604035286,6.4324031604035286
2026,stable_profit,line_tp_C25%_S20%_D15%_next_close,74.10573454105175,76,0.4473684210526316,-0.0002345178392054331,-0.017823355779612915,0.9932994667031952,-0.017823355779612915,-0.017823355779612915
