year,selector,chosen_rule,train_score,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum,selector_family,score_mode
2019,profit_first,base_original,,178,0.7808988764044944,0.03505542501174948,6.239865652091407,5.113946294560537,6.239865652091407,6.239865652091407,simple,profit_first
2020,profit_first,tp15%_D+S_next_close,25.72391100355428,80,0.85,0.10021482926807102,8.017186341445681,19.45899366764386,8.017186341445681,8.017186341445681,simple,profit_first
2021,profit_first,tp18%_D+S_next_close,32.68661898055968,225,0.6266666666666667,0.04010271449413691,9.023110761180805,3.266204632285601,9.023110761180806,9.023110761180806,simple,profit_first
2022,profit_first,tp18%_D+S_next_close,41.34483195831231,227,0.5242290748898678,0.025172570713902137,5.714173552055785,1.894228923576109,5.714173552055786,5.714173552055786,simple,profit_first
2023,profit_first,tp14%_D+S_same_close,44.75062377457907,242,0.5330578512396694,0.015310551728245641,3.7051535182354454,1.9528196327992027,3.705153518235446,3.705153518235446,simple,profit_first
2024,profit_first,tp14%_D+S_same_close,43.42295059195157,242,0.6198347107438017,0.06346083832136404,15.357522873770098,4.608201026417625,15.357522873770098,15.357522873770098,simple,profit_first
2025,profit_first,tp15%_all_next_close,61.75095020153105,243,0.5802469135802469,0.025964120222061127,6.309281213960854,2.3342997977148743,6.309281213960854,6.309281213960854,simple,profit_first
2026,profit_first,tp18%_all_next_close,68.19619074632163,76,0.4473684210526316,-0.0011196004993137758,-0.08508963794784696,0.9683931166612858,-0.08508963794784696,-0.08508963794784696,simple,profit_first
