year,selector,chosen_rule,train_score,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum,selector_family,score_mode
2019,stable_profit,base_original,,178,0.7808988764044944,0.03505542501174948,6.239865652091407,5.113946294560537,6.239865652091407,6.239865652091407,tp_only,stable_profit
2020,stable_profit,tp15%_D+S_next_close,34.51642878049532,80,0.85,0.10021482926807102,8.017186341445681,19.45899366764386,8.017186341445681,8.017186341445681,tp_only,stable_profit
2021,stable_profit,tp18%_D+S_next_close,41.1669610956721,225,0.6266666666666667,0.04010271449413691,9.023110761180805,3.266204632285601,9.023110761180806,9.023110761180806,tp_only,stable_profit
2022,stable_profit,tp18%_D+S_next_close,49.25459413653099,227,0.5242290748898678,0.025172570713902137,5.714173552055785,1.894228923576109,5.714173552055786,5.714173552055786,tp_only,stable_profit
2023,stable_profit,tp14%_D+S_same_close,51.34535825707972,242,0.5330578512396694,0.015310551728245641,3.7051535182354454,1.9528196327992027,3.705153518235446,3.705153518235446,tp_only,stable_profit
2024,stable_profit,tp14%_D+S_same_close,48.17144333634533,242,0.6198347107438017,0.06346083832136404,15.357522873770098,4.608201026417625,15.357522873770098,15.357522873770098,tp_only,stable_profit
2025,stable_profit,tp15%_all_next_close,66.46281359947594,243,0.5802469135802469,0.025964120222061127,6.309281213960854,2.3342997977148743,6.309281213960854,6.309281213960854,tp_only,stable_profit
2026,stable_profit,tp18%_all_next_close,72.71608832819955,76,0.4473684210526316,-0.0011196004993137758,-0.08508963794784696,0.9683931166612858,-0.08508963794784696,-0.08508963794784696,tp_only,stable_profit
