model,period,n_total,n_active,active_rate,win,avg_active,sum
exit_guard,all,1513,1507,0.9960343688037012,0.6184472461844724,0.037468043572488285,56.464341663739845
exit_guard,2026,76,76,1.0,0.4868421052631579,0.01233696354842583,0.9376092296803631
exit_guard,recent_3m,12,12,1.0,0.75,0.05731778695167242,0.687813443420069
exit_guard_plus_s_overheat,all,1513,1435,0.9484467944481163,0.6229965156794425,0.038407673366928075,55.115011281541776
exit_guard_plus_s_overheat,2026,76,63,0.8289473684210527,0.5079365079365079,0.013143203887905129,0.8280218449380229
exit_guard_plus_s_overheat,recent_3m,12,12,1.0,0.75,0.05731778695167242,0.687813443420069
