selector,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum
conservative_tp_center15_profit_first,1513,0.6159947124917383,0.037319459130032956,56.46434166373986,3.051837955505565,7.058042707967482,0.9376092296803631
conservative_tp_profit_first,1513,0.6140118968935889,0.036997661686113084,55.9774621310891,3.028267756608621,6.997182766386137,0.9376092296803631
conservative_tp_stable_profit,1513,0.6140118968935889,0.036997661686113084,55.9774621310891,3.028267756608621,6.997182766386137,0.9376092296803631
conservative_tp_win_first,1513,0.6140118968935889,0.036997661686113084,55.9774621310891,3.028267756608621,6.997182766386137,0.9376092296803631
all_win_first,1513,0.6120290812954395,0.03674341725895723,55.59279031280229,3.0095188618175994,6.949098789100287,1.3404670071559988
simple_win_first,1513,0.6107072042300066,0.03655248059644444,55.30390314242044,2.9906419176574763,6.912987892802555,0.9376092296803631
tp_only_win_first,1513,0.6107072042300066,0.03655248059644444,55.30390314242044,2.9906419176574763,6.912987892802555,0.9376092296803631
all_stable_profit,1513,0.6093853271645737,0.03604739619938609,54.53971044967116,2.961860079335965,6.817463806208895,-0.017823355779612915
simple_profit_first,1513,0.6087243886318572,0.03587653950746347,54.28120427479223,2.9463794227633393,6.785150534349029,-0.08508963794784696
simple_stable_profit,1513,0.6087243886318572,0.03587653950746347,54.28120427479223,2.9463794227633393,6.785150534349029,-0.08508963794784696
tp_only_profit_first,1513,0.6087243886318572,0.03587653950746347,54.28120427479223,2.9463794227633393,6.785150534349029,-0.08508963794784696
tp_only_stable_profit,1513,0.6087243886318572,0.03587653950746347,54.28120427479223,2.9463794227633393,6.785150534349029,-0.08508963794784696
all_profit_first,1513,0.6093853271645737,0.03584567081947566,54.234499949866674,2.950881284428113,6.779312493733334,-0.017823355779612915
