rule_id,scope,exec_mode,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum
line_tp_C25%_S12%_D15%_next_close,all,next_close,1513,0.6173165895571712,0.04265832833515748,64.54205077109327,3.3554039153553226,8.067756346386659,1.3404670071559988
line_tp_C20%_S12%_D15%_next_close,all,next_close,1513,0.6173165895571712,0.042510849880483904,64.31891586917214,3.3472608084140596,8.039864483646518,1.3404670071559988
line_tp_C25%_S12%_D12%_next_close,all,next_close,1513,0.627230667547918,0.04230599712717865,64.0089736534213,3.3884677154938627,8.00112170667766,1.7297184488154675
line_tp_C25%_S15%_D15%_next_close,all,next_close,1513,0.6159947124917383,0.042277717325576974,63.96618631359796,3.324444863429013,7.995773289199745,0.9376092296803631
line_tp_C25%_S20%_D15%_next_close,all,next_close,1513,0.6133509583608724,0.04225621145774182,63.93364793556337,3.315678396961206,7.991705991945421,-0.017823355779612915
line_tp_C25%_S18%_D15%_next_close,all,next_close,1513,0.6140118968935889,0.0422169917568575,63.874308528125404,3.3163038368893902,7.9842885660156755,0.13087280336670692
line_tp_C20%_S12%_D12%_next_close,all,next_close,1513,0.627230667547918,0.042158518672505065,63.785838751500165,3.3801415312259477,7.97322984393752,1.7297184488154675
line_tp_C20%_S15%_D15%_next_close,all,next_close,1513,0.6159947124917383,0.0421302388709034,63.74305141167684,3.316336442300395,7.967881426459606,0.9376092296803631
line_tp_C20%_S20%_D15%_next_close,all,next_close,1513,0.6133509583608724,0.042108733003068236,63.71051303364224,3.307596444989568,7.963814129205281,-0.017823355779612915
line_tp_C20%_S18%_D15%_next_close,all,next_close,1513,0.6140118968935889,0.04206951330218393,63.65117362620428,3.3082121918857306,7.956396703275535,0.13087280336670692
line_tp_C30%_S12%_D15%_next_close,all,next_close,1513,0.6173165895571712,0.04199384669664233,63.53669005201984,3.3187141829133138,7.9420862565024795,1.3404670071559988
line_tp_C25%_S12%_D18%_next_close,all,next_close,1513,0.6113681427627231,0.04198316927630798,63.520535115053974,3.290684779323204,7.940066889381747,1.1245045658414448
line_tp_C25%_S15%_D12%_next_close,all,next_close,1513,0.6259087904824852,0.041925386117598135,63.43310919592598,3.3566716692958685,7.929138649490747,1.326860671339832
line_tp_C25%_S20%_D12%_next_close,all,next_close,1513,0.6232650363516193,0.041903880249762986,63.40057081789139,3.3476020756948444,7.925071352236423,0.3714280858798561
line_tp_C25%_S18%_D12%_next_close,all,next_close,1513,0.6239259748843358,0.04186466054887867,63.341231410453425,3.3482806288955747,7.917653926306677,0.5201242450261759
line_tp_C20%_S12%_D18%_next_close,all,next_close,1513,0.6113681427627231,0.0418356908216344,63.297400213132846,3.282638063050416,7.912175026641606,1.1245045658414448
line_tp_C20%_S15%_D12%_next_close,all,next_close,1513,0.6259087904824852,0.04177790766292456,63.20997429400486,3.34838174454751,7.901246786750606,1.326860671339832
line_tp_C20%_S20%_D12%_next_close,all,next_close,1513,0.6232650363516193,0.0417564017950894,63.177435915970264,3.3393398163468233,7.897179489496283,0.3714280858798561
tp14%_all_next_close,all,next_close,1513,0.619960343688037,0.04174229454686732,63.15609164941026,3.320344620899806,7.894511456176282,1.2570008267892656
line_tp_C30%_S12%_D15%_same_close,all,same_close,1513,0.6173165895571712,0.04172835989983606,63.13500852845196,3.304055178093444,7.891876066056496,1.6106746725700165
line_tp_C20%_S18%_D12%_next_close,all,next_close,1513,0.6239259748843358,0.041717182094205094,63.118096508532304,3.340008238919187,7.889762063566537,0.5201242450261759
line_tp_C25%_S12%_D15%_same_close,all,same_close,1513,0.6173165895571712,0.04170297710771041,63.09660436396585,3.3026536527573906,7.887075545495732,1.6106746725700165
line_tp_C30%_S15%_D15%_same_close,all,same_close,1513,0.6159947124917383,0.041698618894557234,63.0900103874651,3.292605813012984,7.886251298433138,1.4021304713598106
line_tp_C25%_S15%_D15%_same_close,all,same_close,1513,0.6159947124917383,0.041673236102431586,63.05160622297899,3.2912102575168913,7.881450777872375,1.4021304713598106
tp15%_all_next_close,all,next_close,1513,0.6159947124917383,0.04164182693029217,63.00408414553205,3.289483369371967,7.875510518191506,0.9376092296803631
line_tp_C30%_S12%_D12%_next_close,all,next_close,1513,0.627230667547918,0.04164151548866349,63.003612934347856,3.350953106480846,7.875451616793482,1.7297184488154675
line_tp_C30%_S15%_D15%_next_close,all,next_close,1513,0.6159947124917383,0.04161323568706182,62.960825594524536,3.2879114120225665,7.870103199315567,0.9376092296803631
line_tp_C25%_S15%_D18%_next_close,all,next_close,1513,0.6100462656972901,0.04160255826672747,62.94467065755867,3.2603630735353613,7.868083832194833,0.7216467883658092
line_tp_C30%_S20%_D15%_next_close,all,next_close,1513,0.6133509583608724,0.04159172981922666,62.928287216489935,3.2792642054753998,7.866035902061243,-0.017823355779612915
line_tp_C25%_S20%_D18%_next_close,all,next_close,1513,0.6074025115664243,0.041581052398892315,62.91213227952407,3.251906337342326,7.864016534940509,-0.2337857970941668
line_tp_C30%_S18%_D15%_next_close,all,next_close,1513,0.6140118968935889,0.04155251011834235,62.868947809051974,3.2798459723001825,7.858618476131497,0.13087280336670692
line_tp_C25%_S18%_D18%_next_close,all,next_close,1513,0.6080634500991408,0.041541832698008006,62.85279287208611,3.252448835251121,7.856599109010764,-0.08508963794784696
line_tp_C20%_S15%_D18%_next_close,all,next_close,1513,0.6100462656972901,0.041455079812053895,62.72153575563754,3.252350228485089,7.840191969454692,0.7216467883658092
line_tp_C20%_S20%_D18%_next_close,all,next_close,1513,0.6074025115664243,0.04143357394421873,62.688997377602945,3.243919342123568,7.836124672200368,-0.2337857970941668
line_tp_C30%_S18%_D15%_same_close,all,same_close,1513,0.6140118968935889,0.04140833414691591,62.65080956428377,3.271935523404968,7.831351195535471,0.522366274793184
line_tp_C20%_S18%_D18%_next_close,all,next_close,1513,0.6080634500991408,0.04139435424333442,62.629657970164985,3.244452373567088,7.828707246270623,-0.08508963794784696
line_tp_C25%_S18%_D15%_same_close,all,same_close,1513,0.6140118968935889,0.041382951354790254,62.61240539979766,3.2705428552790567,7.826550674974707,0.522366274793184
tp13%_all_next_close,all,next_close,1513,0.6232650363516193,0.041347272861921705,62.55842384008754,3.3134938047221985,7.819802980010943,1.7113956478235899
tp16%_all_next_close,all,next_close,1513,0.6120290812954395,0.041337925354475814,62.54428106132191,3.2595664871392342,7.818035132665241,0.5983653909753991
line_tp_C30%_S12%_D18%_next_close,all,next_close,1513,0.6113681427627231,0.041318687637792825,62.515174395980544,3.2544293464503604,7.814396799497568,1.1245045658414448
tp18%_all_next_close,all,next_close,1513,0.6080634500991408,0.041290378716272585,62.47234299772042,3.2388146936763715,7.809042874715052,-0.08508963794784696
line_tp_C30%_S15%_D12%_next_close,all,next_close,1513,0.6259087904824852,0.04126090447908298,62.42774847685256,3.319320431841226,7.803468559606568,1.326860671339832
line_tp_C30%_S20%_D12%_next_close,all,next_close,1513,0.6232650363516193,0.04123939861124782,62.395210098817955,3.3103754879769185,7.7994012623522435,0.3714280858798561
line_tp_C30%_S18%_D12%_next_close,all,next_close,1513,0.6239259748843358,0.04120017891036351,62.335870691379995,3.3110083964321078,7.791983836422498,0.5201242450261759
