year,selector,raw_chosen_rule,chosen_rule,train_score,n,win,avg,sum,pf,annual_avg_sum,worst_year_sum
2019,conservative_tp_center15_profit_first,base_original,base_original,,178,0.7808988764044944,0.03505542501174948,6.239865652091407,5.113946294560537,6.239865652091407,6.239865652091407
2020,conservative_tp_center15_profit_first,tp15%_D+S_next_close,tp15%_D+S_next_close,25.72391100355428,80,0.85,0.10021482926807102,8.017186341445681,19.45899366764386,8.017186341445681,8.017186341445681
2021,conservative_tp_center15_profit_first,tp16%_D+S_next_close,tp15%_D+S_next_close,31.452439967545818,225,0.6355555555555555,0.04131949497837343,9.296886370134022,3.3945863417269595,9.29688637013402,9.29688637013402
2022,conservative_tp_center15_profit_first,tp16%_D+S_next_close,tp15%_D+S_next_close,40.23239858355109,227,0.5506607929515418,0.027734035086420743,6.295625964617509,2.0111576607147152,6.295625964617509,6.295625964617509
2023,conservative_tp_center15_profit_first,tp14%_D+S_same_close,tp15%_D+S_same_close,44.75062377457907,242,0.5330578512396694,0.015310551728245641,3.7051535182354454,1.9528196327992027,3.705153518235446,3.705153518235446
2024,conservative_tp_center15_profit_first,tp14%_D+S_same_close,tp15%_D+S_same_close,43.42295059195157,242,0.6198347107438017,0.06472203873377924,15.662733373574577,4.679909260077422,15.662733373574577,15.662733373574577
2025,conservative_tp_center15_profit_first,tp15%_all_next_close,tp15%_all_next_close,61.75095020153105,243,0.5802469135802469,0.025964120222061127,6.309281213960854,2.3342997977148743,6.309281213960854,6.309281213960854
2026,conservative_tp_center15_profit_first,tp15%_all_next_close,tp15%_all_next_close,68.01968468979565,76,0.4868421052631579,0.01233696354842583,0.9376092296803631,1.3626031139021406,0.9376092296803631,0.9376092296803631
