family,rule_id,win,avg,sum,pf,worst_year_sum
????,line_tp_C25%_S12%_D15%_next_close,0.6173165895571712,0.0426583283351574,64.54205077109327,3.3554039153553226,1.3404670071559988
???,tp14%_all_next_close,0.619960343688037,0.0417422945468673,63.15609164941026,3.320344620899806,1.2570008267892656
??+??,tp20%_trail12%_8%_all_next_close,0.6206212822207535,0.0403366291329726,61.02931987818761,3.249059133405045,-0.005028417735163
